Timestamp,Epoch,s,u,v
20200220-132733.786829,0,[0.02226241 0.00779676],"[[ 0.04729531 -0.31371292]
 [ 0.74796695 -0.61813194]
 [ 0.66204894  0.72076154]]","[[ 0.9991885  -0.04027933]
 [ 0.04027933  0.9991885 ]]"
20200220-132733.786829,1,[0.02979467 0.00415872],"[[ 0.02061389 -0.6274885 ]
 [ 0.8536865  -0.3941639 ]
 [ 0.5203793   0.6714859 ]]","[[ 0.9751638  -0.22148496]
 [ 0.22148496  0.9751638 ]]"
20200220-132733.786829,2,[0.03903274 0.00279536],"[[ 0.00654833 -0.9642074 ]
 [ 0.9141255  -0.10168535]
 [ 0.40537825  0.2448754 ]]","[[ 0.9366425  -0.35028657]
 [ 0.35028657  0.9366425 ]]"
20200220-132733.786829,3,[0.04899488 0.00282934],"[[ 0.00154207 -0.95808375]
 [ 0.94656146  0.09379543]
 [ 0.32252002 -0.27069905]]","[[ 0.90190667 -0.4319308 ]
 [ 0.4319308   0.90190667]]"
20200220-132733.786829,4,[0.0594271  0.00326294],"[[ 1.4077872e-04 -8.2947415e-01]
 [ 9.6432060e-01  1.4798030e-01]
 [ 2.6473734e-01 -5.3858578e-01]]","[[ 0.87408686 -0.48576978]
 [ 0.48576978  0.87408686]]"
20200220-132733.786829,5,[0.07008933 0.00369638],"[[-8.9760683e-04 -7.3490947e-01]
 [ 9.7445554e-01  1.5165843e-01]
 [ 2.2457819e-01 -6.6098976e-01]]","[[ 0.85249364 -0.52273756]
 [ 0.52273756  0.85249364]]"
20200220-132733.786829,6,[0.08112494 0.00405486],"[[-0.00106397 -0.67156863]
 [ 0.98076266  0.14393198]
 [ 0.19520116 -0.7268281 ]]","[[ 0.83530325 -0.5497894 ]
 [ 0.5497894   0.83530325]]"
20200220-132733.786829,7,[0.09188697 0.00434524],"[[-8.9438073e-04 -6.2821954e-01]
 [ 9.8489851e-01  1.3414767e-01]
 [ 1.7312947e-01 -7.6638395e-01]]","[[ 0.82209516 -0.56935006]
 [ 0.56935006  0.82209516]]"
20200220-132733.786829,8,[0.10278842 0.00458751],"[[ 3.4788810e-04 -5.9355813e-01]
 [ 9.8790020e-01  1.2501967e-01]
 [ 1.5509056e-01 -7.9502147e-01]]","[[ 0.8113047 -0.5846237]
 [ 0.5846237  0.8113047]]"
20200220-132733.786829,9,[0.1136624  0.00479046],"[[ 0.00171061 -0.5670111 ]
 [ 0.99005795  0.11681467]
 [ 0.14064932 -0.815385  ]]","[[ 0.80246663 -0.596697  ]
 [ 0.596697    0.80246663]]"
20200220-132733.786829,10,[0.12453806 0.00496204],"[[ 0.00282145 -0.5471316 ]
 [ 0.9916201   0.10964145]
 [ 0.12915702 -0.8298348 ]]","[[ 0.79508936 -0.6064923 ]
 [ 0.6064923   0.79508936]]"
20200220-132733.786829,11,[0.13567394 0.00510834],"[[ 0.00399761 -0.53127843]
 [ 0.992787    0.10362405]
 [ 0.11982457 -0.8408359 ]]","[[ 0.78871083 -0.61476433]
 [ 0.61476433  0.78871083]]"
20200220-132733.786829,12,[0.14619124 0.00523307],"[[ 0.00454956 -0.5201161 ]
 [ 0.9936391   0.09845312]
 [ 0.11251812 -0.848402  ]]","[[ 0.7835441 -0.621336 ]
 [ 0.621336   0.7835441]]"
20200220-132733.786829,13,[0.15627816 0.0053479 ],"[[ 0.00570632 -0.5084902 ]
 [ 0.99439335  0.09380656]
 [ 0.10559005 -0.85594267]]","[[ 0.77921224 -0.62676007]
 [ 0.62676007  0.77921224]]"
