Timestamp,Epoch,s,u,v
20200227-134226.977296,0,[1.6303562  1.357894   0.6479115  0.03139983],"[[-0.4544364  -0.36643687  0.4474777   0.08753175]
 [-0.72135675  0.31949967  0.25325432 -0.3502661 ]
 [-0.24123995  0.67826515 -0.23632307  0.5856941 ]
 [ 0.012099    0.26300636 -0.4009785  -0.712848  ]
 [-0.46345347 -0.4841774  -0.72041214  0.13587482]]","[[-0.64946467 -0.07350997  0.43712303  0.6178312 ]
 [ 0.36861664  0.7934011  -0.00352024  0.48438007]
 [-0.40331307  0.5659477   0.36858425 -0.6174039 ]
 [ 0.5288252  -0.21169364  0.8204005  -0.0497291 ]]"
20200227-134226.977296,1,[1.6211163  1.3632902  0.65086055 0.03101687],"[[-0.45988846 -0.35799822  0.44212234  0.06138852]
 [-0.7159703   0.33609885  0.25677857 -0.33259797]
 [-0.2257313   0.68236095 -0.24036056  0.5732331 ]
 [ 0.01984646  0.2609631  -0.40393266 -0.7332423 ]
 [-0.47385716 -0.47450683 -0.719484    0.139176  ]]","[[-0.646928   -0.05699833  0.44134885  0.6192305 ]
 [ 0.3884134   0.78457576 -0.00734691  0.4832411 ]
 [-0.3884207   0.57568616  0.3704455  -0.6168347 ]
 [ 0.5289125  -0.22310911  0.817268   -0.05046418]]"
20200227-134226.977296,2,[1.6145542  1.3711005  0.65184796 0.03065328],"[[-0.46264896 -0.35296503  0.43669778  0.03502167]
 [-0.7126054   0.34697178  0.2606802  -0.31479526]
 [-0.21541567  0.6847021  -0.2439492   0.56002045]
 [ 0.02521091  0.25948977 -0.40659437 -0.7521556 ]
 [-0.48073807 -0.4678395  -0.7186865   0.14253582]]","[[-0.6444108  -0.04463276  0.44431362  0.62074804]
 [ 0.40165228  0.7786936  -0.01239919  0.4818276 ]
 [-0.378084    0.5823597   0.37136737 -0.6164381 ]
 [ 0.5295872  -0.22913137  0.8151796  -0.05018216]]"
20200227-134226.977296,3,[1.6095374 1.371126  0.6537848 0.0304139],"[[-0.4705374   0.34297466  0.4303424   0.00503144]
 [-0.70407027 -0.36744493  0.26477456 -0.29490352]
 [-0.19543156 -0.6900428  -0.24615441  0.5439451 ]
 [ 0.03423221 -0.25750583 -0.4088511  -0.7716988 ]
 [-0.49347168  0.45264104 -0.7189913   0.14700821]]","[[-0.64255536  0.02754912  0.44672185  0.62193507]
 [ 0.425066   -0.7662911  -0.01188364  0.48163828]
 [-0.36006036 -0.5923136   0.37532395 -0.6153478 ]
 [ 0.5261161   0.24739328  0.812053   -0.05067838]]"
20200227-134226.977296,4,[1.6036129  1.3731043  0.65566003 0.03025254],"[[-0.47806576  0.331989    0.42463776 -0.02371341]
 [-0.6946981  -0.38796836  0.26859125 -0.27624395]
 [-0.1751609  -0.69483787 -0.2485869   0.5277444 ]
 [ 0.04325482 -0.25507486 -0.41136163 -0.78845453]
 [-0.5062559   0.43749353 -0.71869826  0.15150064]]","[[-0.63953954  0.0089694   0.44992414  0.6232793 ]
 [ 0.44879597 -0.7530185  -0.01338814  0.48100537]
 [-0.3409429  -0.602418    0.37856528 -0.61444193]
 [ 0.52280897  0.2645284   0.8087506  -0.05116811]]"
20200227-134226.977296,5,[1.5966153  1.3781201  0.6563434  0.03004839],"[[-0.4849199   0.32076472  0.4187739  -0.05372591]
 [-0.68461794 -0.40820175  0.2732556  -0.25663352]
 [-0.15482739 -0.6990009  -0.2511632   0.5101544 ]
 [ 0.05198375 -0.2527841  -0.41378585 -0.8041593 ]
 [-0.5191118   0.42187592 -0.7180933   0.1559578 ]]","[[-0.6353334  -0.01083881  0.45348126  0.62497103]
 [ 0.47237027 -0.7391441  -0.01715486  0.47983128]
 [-0.32096016 -0.61233354  0.3814023  -0.6136485 ]
 [ 0.5198099   0.28035015  0.8053525  -0.05107592]]"
20200227-134226.977296,6,[1.5928261  1.3810055  0.6587266  0.02998475],"[[-0.49172243  0.30984896  0.41318637 -0.08384425]
 [-0.6748828  -0.42712742  0.2761623  -0.23715746]
 [-0.13559376 -0.7021222  -0.25434807  0.491566  ]
 [ 0.06038449 -0.24965368 -0.4163609  -0.81805354]
 [-0.52982074  0.40774095 -0.7176085   0.16086686]]","[[-0.631906   -0.02855108  0.45602384  0.6260368 ]
 [ 0.49353287 -0.7256316  -0.01923287  0.47907645]
 [-0.3029166  -0.6209672   0.38306236 -0.6131104 ]
 [ 0.5151326   0.295031    0.80307895 -0.05156915]]"
20200227-134226.977296,7,[1.5897164  1.3837625  0.66124564 0.02997712],"[[-0.49886906  0.29795623  0.4076701  -0.11335456]
 [-0.66392803 -0.44679052  0.2787925  -0.21817432]
 [-0.11516141 -0.7049614  -0.25738835  0.47252488]
 [ 0.06909367 -0.24621369 -0.41880977 -0.8299271 ]
 [-0.540641    0.3924387  -0.7172375   0.16580653]]","[[-0.62801707 -0.04703113  0.45845708  0.6270564 ]
 [ 0.5153826  -0.71073043 -0.02114646  0.47832602]
 [-0.2837427  -0.62948817  0.3846365  -0.61260873]
 [ 0.5093773   0.3104753   0.80088985 -0.05210684]]"
20200227-134226.977296,8,[1.5894823  1.3881235  0.6625759  0.03002041],"[[-0.50239205  0.29276755  0.4018848  -0.14202529]
 [-0.6587637  -0.45689806  0.28099033 -0.19945858]
 [-0.10439564 -0.70596534 -0.2602459   0.45327342]
 [ 0.07413886 -0.24381329 -0.42107952 -0.83987445]
 [-0.5451948   0.38431635 -0.7172845   0.17087723]]","[[-0.6263792  -0.05679839  0.4586169   0.62776875]
 [ 0.52605224 -0.7032299  -0.02254583  0.47773287]
 [-0.27445874 -0.63365895  0.38490105 -0.6123722 ]
 [ 0.50555974  0.317361    0.8006331  -0.05174876]]"
20200227-134226.977296,9,[1.5846492  1.3899368  0.6640989  0.03006658],"[[-0.511752    0.2749436   0.39663506 -0.17072453]
 [-0.6409611  -0.4835162   0.28479052 -0.1813394 ]
 [-0.07565375 -0.7091423  -0.262419    0.4332987 ]
 [ 0.08527569 -0.23944679 -0.42324162 -0.8481478 ]
 [-0.56061006  0.36111072 -0.7166436   0.1756892 ]]","[[-0.61903757 -0.08240984  0.4625411   0.62933046]
 [ 0.556121   -0.68030745 -0.02554676  0.47671655]
 [-0.24599718 -0.64417684  0.38802922 -0.6115188 ]
 [ 0.49699834  0.33974543  0.7967663  -0.05224304]]"
20200227-134226.977296,10,[1.5840005  1.387545   0.6664961  0.03023019],"[[-0.51915145  0.26200262  0.3908128  -0.19926533]
 [-0.6270394  -0.5035383   0.28747785 -0.1630859 ]
 [-0.05325767 -0.71075207 -0.26434565  0.41227117]
 [ 0.09410927 -0.23522982 -0.4251833  -0.8549624 ]
 [-0.5706228   0.34249395 -0.7169116   0.18101908]]","[[-0.61417556 -0.09973033  0.464399    0.6302188 ]
 [ 0.5779809  -0.66192925 -0.02458715  0.4766371 ]
 [-0.2250317  -0.65070677  0.39128223 -0.61060596]
 [ 0.4879415   0.35844648  0.79412043 -0.05293232]]"
20200227-134226.977296,11,[1.5804292  1.3884215  0.66973037 0.03041391],"[[-0.5285259   0.24096411  0.38579735 -0.22747163]
 [-0.60524714 -0.5317384   0.29012764 -0.14563689]
 [-0.02144325 -0.711618   -0.26740128  0.39117667]
 [ 0.10590505 -0.22884108 -0.42774773 -0.8598884 ]
 [-0.5853725   0.31689447 -0.7159018   0.18606319]]","[[-0.60453886 -0.12724379  0.46862927  0.6314496 ]
 [ 0.6088436  -0.6343008  -0.02766828  0.47561163]
 [-0.19324976 -0.6600735   0.39346504 -0.6100352 ]
 [ 0.47591704  0.38180408  0.7904469  -0.0540566 ]]"
20200227-134226.977296,12,[1.5773734  1.3878491  0.6724847  0.03061896],"[[-0.5377117   0.21793678  0.38082594 -0.25521162]
 [-0.5800672  -0.56088364  0.2932973  -0.12851696]
 [ 0.01283575 -0.71118987 -0.26998746  0.36969364]
 [ 0.11803295 -0.22179261 -0.43003783 -0.86325264]
 [-0.6002433   0.28797582 -0.71492827  0.19097556]]","[[-0.59264207 -0.15595818  0.473217    0.632865  ]
 [ 0.6407288  -0.6027581  -0.03086853  0.47454873]
 [-0.15832396 -0.66829205  0.39632672 -0.6092983 ]
 [ 0.4617094   0.40711838  0.78615373 -0.0551453 ]]"
20200227-134226.977296,13,[1.5788139  1.3829157  0.6752242  0.03092625],"[[-0.54268783  0.20789534  0.37504244 -0.28116423]
 [-0.5675294  -0.57525307  0.29552096 -0.11195465]
 [ 0.03055385 -0.7103413  -0.27162027  0.3482244 ]
 [ 0.12466722 -0.2172693  -0.43172687 -0.8652321 ]
 [-0.6057432   0.27216288 -0.7154337   0.19628045]]","[[-0.58771205 -0.16762453  0.47451857  0.63350517]
 [ 0.655893   -0.5861432  -0.02856988  0.47478864]
 [-0.14169    -0.67082936  0.39974472 -0.6083717 ]
 [ 0.45202112  0.42228672  0.78372204 -0.05595353]]"
20200227-134226.977296,14,[1.5791378  1.3793572  0.67757934 0.03121276],"[[-0.54822975  0.1937754   0.36969566 -0.30599162]
 [-0.5503684  -0.5931232   0.29823345 -0.09638628]
 [ 0.05306488 -0.70873755 -0.27324495  0.32729694]
 [ 0.13263771 -0.21187851 -0.43337443 -0.8657427 ]
 [-0.61329496  0.25190282 -0.7154763   0.20110962]]","[[-0.57952875 -0.18404172  0.477107    0.6345424 ]
 [ 0.675169   -0.5640965  -0.02853235  0.47447658]
 [-0.11916646 -0.6739738   0.40317795 -0.607459  ]
 [ 0.44055954  0.44009456  0.78038615 -0.05675737]]"
20200227-134226.977296,15,[1.5784305  1.3757129  0.6799605  0.03154308],"[[-0.5549872   0.17190759  0.36459392 -0.33150846]
 [-0.52381384 -0.61788946  0.30186364 -0.08095986]
 [ 0.08515197 -0.70528    -0.27500868  0.3055314 ]
 [ 0.14317845 -0.20424052 -0.4354076  -0.86474353]
 [-0.6243858   0.22254498 -0.7146609   0.20595415]]","[[-0.5655691  -0.20845777  0.4818058   0.63603497]
 [ 0.7019599  -0.53105384 -0.03094218  0.4735788 ]
 [-0.0854869  -0.6775733   0.4071276  -0.6064928 ]
 [ 0.42435378  0.4641353   0.7753406  -0.05787349]]"
20200227-134226.977296,16,[1.5799266  1.3730831  0.6817638  0.03191267],"[[-0.5594387   0.15696901  0.35948548 -0.35420758]
 [-0.5048056  -0.63459337  0.30468997 -0.06717165]
 [ 0.10780267 -0.7020193  -0.27643782  0.2855019 ]
 [ 0.15071723 -0.19823758 -0.43721157 -0.8626521 ]
 [-0.6307636   0.20130272 -0.71439666  0.21058185]]","[[-0.5553913  -0.2248216   0.48468697  0.6372396 ]
 [ 0.7198219  -0.5070842  -0.03219712  0.47295386]
 [-0.06202381 -0.6789841   0.41026333 -0.60565454]
 [ 0.41176444  0.48093817  0.7718329  -0.05850485]]"
20200227-134226.977296,17,[1.581785   1.3675722  0.68485385 0.03233961],"[[-0.56318843  0.14355834  0.35446352 -0.37620816]
 [-0.48710442 -0.6494852   0.30714297 -0.05390936]
 [ 0.12834732 -0.69827724 -0.27808723  0.2652712 ]
 [ 0.15741774 -0.19203848 -0.43905035 -0.85956675]
 [-0.6358414   0.18190758 -0.7140877   0.21526025]]","[[-0.5456515  -0.23840646  0.48796     0.63821745]
 [ 0.7355246  -0.48434255 -0.03230976  0.47262204]
 [-0.040502   -0.67923915  0.4138331  -0.60476106]
 [ 0.39953375  0.49720097  0.7678496  -0.05975679]]"
20200227-134226.977296,18,[1.5841626  1.361707   0.687922   0.03278117],"[[-0.5660774   0.13294871  0.3495817  -0.39642328]
 [-0.47249588 -0.661289    0.3093558  -0.0417653 ]
 [ 0.14513828 -0.69479716 -0.279522    0.24608296]
 [ 0.16292799 -0.18656848 -0.44069812 -0.85574144]
 [-0.6392912   0.16574275 -0.7139641   0.2196684 ]]","[[-0.5372809  -0.24869162  0.4909105   0.6391311 ]
 [ 0.74797714 -0.46514508 -0.03201776  0.47238228]
 [-0.02282929 -0.6786961   0.41737607 -0.60386056]
 [ 0.38902178  0.51104194  0.7640544  -0.06098327]]"
20200227-134226.977296,19,[1.5866581  1.3604844  0.6867185  0.03321943],"[[-0.56902456  0.11972274  0.34426346 -0.4161521 ]
 [-0.4538789  -0.67432994  0.31358004 -0.03025524]
 [ 0.16551669 -0.6907823  -0.27936885  0.22774161]
 [ 0.16935267 -0.18149641 -0.44224307 -0.8508029 ]
 [-0.6435287   0.14430767 -0.71380985  0.22398728]]","[[-0.52600944 -0.26254687  0.4935442   0.6409348 ]
 [ 0.7624212  -0.4419353  -0.03467907  0.47138584]
 [-0.00094849 -0.67763144  0.42129123 -0.60276747]
 [ 0.37686518  0.52590716  0.7600824  -0.06057474]]"
