Timestamp,Epoch,s,u,v
20200221-102942.527405,0,[1.7269256 1.0024947],"[[ 4.0377447e-01  7.0714277e-01]
 [ 8.2086235e-01  8.9436769e-05]
 [ 4.0391946e-01 -7.0707059e-01]]","[[ 0.70705056  0.7071629 ]
 [ 0.7071629  -0.70705056]]"
20200221-102942.527405,1,[1.7220571 1.0050049],"[[ 3.9947993e-01 -7.0710576e-01]
 [ 8.2512707e-01  2.4437904e-06]
 [ 3.9947602e-01  7.0710778e-01]]","[[ 0.70710826 -0.7071052 ]
 [ 0.7071052   0.70710826]]"
20200221-102942.527405,2,[1.7226254 1.0074471],"[[ 0.393402    0.7082277 ]
 [ 0.8288844   0.00261551]
 [ 0.39772552 -0.7059792 ]]","[[ 0.7056277  0.7085828]
 [ 0.7085828 -0.7056277]]"
20200221-102942.527405,3,[1.728487  1.0098268],"[[ 0.3900432   0.7081791 ]
 [ 0.83214337  0.00253001]
 [ 0.39421296 -0.70602846]]","[[ 0.7056852  0.7085255]
 [ 0.7085255 -0.7056852]]"
20200221-102942.527405,4,[1.7240752 1.0123554],"[[ 0.38571593  0.7081919 ]
 [ 0.836136    0.00261286]
 [ 0.38999975 -0.70601493]]","[[ 0.70563644  0.708574  ]
 [ 0.708574   -0.70563644]]"
20200221-102942.527405,5,[1.7198967 1.0148993],"[[ 0.38158187  0.7081333 ]
 [ 0.8400319   0.00250167]
 [ 0.3856706  -0.7060745 ]]","[[ 0.7057079   0.70850295]
 [ 0.70850295 -0.7057079 ]]"
20200221-102942.527405,6,[1.7210048 1.0173633],"[[ 0.37563598  0.70920295]
 [ 0.84341204  0.00521928]
 [ 0.3841275  -0.704985  ]]","[[ 0.70418507  0.7100164 ]
 [ 0.7100164  -0.70418507]]"
20200221-102942.527405,7,[1.7171862 1.0199269],"[[ 0.37144375  0.70919234]
 [ 0.847126    0.00528765]
 [ 0.38000903 -0.704995  ]]","[[ 0.7041477   0.71005356]
 [ 0.71005356 -0.7041477 ]]"
20200221-102942.527405,8,[1.7135831 1.0225048],"[[ 0.3672946   0.70918167]
 [ 0.8507466   0.00535521]
 [ 0.37593246 -0.70500565]]","[[ 0.7041106  0.7100904]
 [ 0.7100904 -0.7041106]]"
20200221-102942.527405,9,[1.7150985 1.0250188],"[[ 0.3660549   0.708046  ]
 [ 0.85388124  0.00244424]
 [ 0.36998713 -0.70616186]]","[[ 0.70575464  0.7084564 ]
 [ 0.7084564  -0.70575464]]"
20200221-102942.527405,10,[1.7167143 1.02753  ],"[[ 3.6483425e-01 -7.0693886e-01]
 [ 8.5692668e-01  4.5901537e-04]
 [ 3.6410511e-01  7.0727438e-01]]","[[ 0.70738095 -0.70683247]
 [ 0.70683247  0.70738095]]"
20200221-102942.527405,11,[1.7184228 1.0300406],"[[ 0.35900703  0.70801926]
 [ 0.8598876   0.00244507]
 [ 0.36291486 -0.70618874]]","[[ 0.70576173  0.70844936]
 [ 0.70844936 -0.70576173]]"
20200221-102942.527405,12,[1.720245  1.0325588],"[[ 0.3533692   0.70900744]
 [ 0.8627608   0.00518265]
 [ 0.36162674 -0.70518214]]","[[ 0.7042456   0.70995635]
 [ 0.70995635 -0.7042456 ]]"
20200221-102942.527405,13,[1.7269987 1.0349594],"[[ 0.34607637  0.7109437 ]
 [ 0.86511785  0.01068181]
 [ 0.3630457  -0.7031677 ]]","[[ 0.7012003   0.71296436]
 [ 0.71296436 -0.7012003 ]]"
20200221-102942.527405,14,[1.7288127 1.037502 ],"[[ 0.34516728  0.7098198 ]
 [ 0.8678987   0.00760853]
 [ 0.35722718 -0.704342  ]]","[[ 0.70292974  0.7112593 ]
 [ 0.7112593  -0.70292974]]"
20200221-102942.527405,15,[1.7259912 1.0401185],"[[ 0.341487    0.709723  ]
 [ 0.87098277  0.00743183]
 [ 0.35323596 -0.7044418 ]]","[[ 0.7030404   0.71114993]
 [ 0.71114993 -0.7030404 ]]"
20200221-102942.527405,16,[1.723349  1.0427469],"[[ 0.3376844   0.70969474]
 [ 0.8739828   0.00747398]
 [ 0.34946167 -0.70446974]]","[[ 0.7030185  0.7111715]
 [ 0.7111715 -0.7030185]]"
20200221-102942.527405,17,[1.7208767 1.0453901],"[[ 0.33410484  0.7095998 ]
 [ 0.8769033   0.00728977]
 [ 0.3455641  -0.7045672 ]]","[[ 0.7031329  0.7110585]
 [ 0.7110585 -0.7031329]]"
20200221-102942.527405,18,[1.71857   1.0480465],"[[ 0.3305753   0.70950705]
 [ 0.8797445   0.00710285]
 [ 0.3417155  -0.70466256]]","[[ 0.7032483  0.7109443]
 [ 0.7109443 -0.7032483]]"
20200221-102942.527405,19,[1.7210263 1.0506408],"[[ 0.32985544  0.70847976]
 [ 0.8821323   0.00405291]
 [ 0.33621144 -0.7057197 ]]","[[ 0.70494574  0.70926124]
 [ 0.70926124 -0.70494574]]"
20200221-102942.527405,20,[1.7189604 1.0533141],"[[ 0.32638738  0.70841384]
 [ 0.8848313   0.00389314]
 [ 0.33248305 -0.7057866 ]]","[[ 0.7050428  0.7091648]
 [ 0.7091648 -0.7050428]]"
20200221-102942.527405,21,[1.7215995 1.0559155],"[[ 3.2575071e-01  7.0741832e-01]
 [ 8.8707554e-01  8.3273649e-04]
 [ 3.2708320e-01 -7.0679462e-01]]","[[ 0.7067339  0.7074795]
 [ 0.7074795 -0.7067339]]"
20200221-102942.527405,22,[1.7242879 1.0584925],"[[ 0.32032758  0.7084068 ]
 [ 0.8892442   0.00399736]
 [ 0.3265501  -0.70579314]]","[[ 0.70498633  0.7092209 ]
 [ 0.7092209  -0.70498633]]"
20200221-102942.527405,23,[1.7270507 1.0610827],"[[ 0.31509316  0.7093125 ]
 [ 0.89134765  0.00697774]
 [ 0.32590765 -0.70485973]]","[[ 0.7033529   0.71084094]
 [ 0.71084094 -0.7033529 ]]"
20200221-102942.527405,24,[1.7359589 1.0637823],"[[ 0.31259358  0.70923996]
 [ 0.89323807  0.0068064 ]
 [ 0.3231272  -0.7049345 ]]","[[ 0.7034683  0.7107266]
 [ 0.7107266 -0.7034683]]"
20200221-102942.527405,25,[1.7342409 1.0664754],"[[ 0.3093657   0.7091562 ]
 [ 0.89563686  0.00660688]
 [ 0.3195737  -0.7050203 ]]","[[ 0.7035879   0.71060824]
 [ 0.71060824 -0.7035879 ]]"
20200221-102942.527405,26,[1.7370856 1.0690548],"[[ 0.30433935  0.70998627]
 [ 0.8975696   0.00950533]
 [ 0.31897712 -0.7041514 ]]","[[ 0.7020071  0.7121699]
 [ 0.7121699 -0.7020071]]"
20200221-102942.527405,27,[1.7355628 1.0717658],"[[ 0.30123532  0.70988435]
 [ 0.8998486   0.00926745]
 [ 0.3154834  -0.70425725]]","[[ 0.7021492   0.71202976]
 [ 0.71202976 -0.7021492 ]]"
20200221-102942.527405,28,[1.738467  1.0743974],"[[ 0.30097622  0.70894194]
 [ 0.9017222   0.00608748]
 [ 0.31033933 -0.7052405 ]]","[[ 0.703905   0.7102941]
 [ 0.7102941 -0.703905 ]]"
20200221-102942.527405,29,[1.7371283 1.0771239],"[[ 0.2979277   0.70886666]
 [ 0.90388525  0.00588632]
 [ 0.30697006 -0.70531803]]","[[ 0.7040242  0.710176 ]
 [ 0.710176  -0.7040242]]"
20200221-102942.527405,30,[1.7445803 1.0795941],"[[ 0.29096562  0.71062493]
 [ 0.90520024  0.01230454]
 [ 0.30976084 -0.70346344]]","[[ 0.7005154  0.7136373]
 [ 0.7136373 -0.7005154]]"
20200221-102942.527405,31,[1.7537004 1.0823194],"[[ 0.2887406   0.7105564 ]
 [ 0.90673614  0.01219589]
 [ 0.307341   -0.7035345 ]]","[[ 0.7006065  0.7135479]
 [ 0.7135479 -0.7006065]]"
