Timestamp,Epoch,s,u,v
20200220-202035.212277,0,[1.7152433 1.0015981],"[[ 0.42080176 -0.7015046 ]
 [ 0.81786567  0.01908037]
 [ 0.3924558   0.7124094 ]]","[[ 0.72368413 -0.6901313 ]
 [ 0.6901313   0.72368413]]"
20200220-202035.212277,1,[1.7154663 1.0041144],"[[ 0.4146503  -0.7028522 ]
 [ 0.82184696  0.0165562 ]
 [ 0.39068234  0.71114326]]","[[ 0.72221565 -0.69166785]
 [ 0.69166785  0.72221565]]"
20200220-202035.212277,2,[1.7107741 1.0066434],"[[ 0.41044343 -0.7029147 ]
 [ 0.8260738   0.01682749]
 [ 0.38618422  0.71107507]]","[[ 0.7223429  -0.69153506]
 [ 0.69153506  0.7223429 ]]"
20200220-202035.212277,3,[1.7063214 1.0091914],"[[ 0.4061176  -0.703055  ]
 [ 0.8302034   0.01690295]
 [ 0.38187793  0.7109346 ]]","[[ 0.72235084 -0.6915268 ]
 [ 0.6915268   0.72235084]]"
20200220-202035.212277,4,[1.7071084 1.0117404],"[[ 0.40015286 -0.70430684]
 [ 0.8338776   0.01440072]
 [ 0.38016528  0.7097495 ]]","[[ 0.7209108 -0.6930279]
 [ 0.6930279  0.7209108]]"
20200220-202035.212277,5,[1.7030392 1.0143044],"[[ 0.3960693  -0.7043469 ]
 [ 0.8378154   0.01467228]
 [ 0.3757586   0.7097043 ]]","[[ 0.7210437  -0.69288963]
 [ 0.69288963  0.7210437 ]]"
20200220-202035.212277,6,[1.699191  1.0168866],"[[ 0.39186466 -0.70446444]
 [ 0.8416589   0.01473877]
 [ 0.37155414  0.7095864 ]]","[[ 0.72105205 -0.69288087]
 [ 0.69288087  0.72105205]]"
20200220-202035.212277,7,[1.7004354 1.019454 ],"[[ 0.3858695  -0.70572996]
 [ 0.8450489   0.01198271]
 [ 0.3701314   0.7083797 ]]","[[ 0.71947527 -0.6945181 ]
 [ 0.6945181   0.71947527]]"
20200220-202035.212277,8,[1.6969359 1.022052 ],"[[ 0.38192582 -0.7057451 ]
 [ 0.8487086   0.01226357]
 [ 0.3658228   0.7083597 ]]","[[ 0.71961844 -0.69436973]
 [ 0.69436973  0.71961844]]"
20200220-202035.212277,9,[1.6936394 1.0246674],"[[ 0.377859   -0.7058373 ]
 [ 0.85227764  0.01233023]
 [ 0.3617257   0.70826674]]","[[ 0.7196322 -0.6943554]
 [ 0.6943554  0.7196322]]"
20200220-202035.212277,10,[1.6955221 1.0271475],"[[ 0.37650406 -0.70484185]
 [ 0.85530704  0.01512948]
 [ 0.35594228  0.70920336]]","[[ 0.7211418  -0.69278747]
 [ 0.69278747  0.7211418 ]]"
20200220-202035.212277,11,[1.6925339 1.0297828],"[[ 0.3724941  -0.70495695]
 [ 0.85870445  0.01516557]
 [ 0.35195845  0.7090879 ]]","[[ 0.72113675 -0.6927928 ]
 [ 0.6927928   0.72113675]]"
20200220-202035.212277,12,[1.6944311 1.0323979],"[[ 0.3666311  -0.7061968 ]
 [ 0.86166334  0.0122101 ]
 [ 0.35088164  0.7079103 ]]","[[ 0.71946156 -0.6945322 ]
 [ 0.6945322   0.71946156]]"
20200220-202035.212277,13,[1.69663   1.0348969],"[[ 0.3656451  -0.7051314 ]
 [ 0.86444616  0.01531816]
 [ 0.3450167   0.70891106]]","[[ 0.7211414  -0.69278795]
 [ 0.69278795  0.7211414 ]]"
