Timestamp,Epoch,s,u,v
20200222-072737.903974,0,[1.3926586  1.0203184  0.15977378],"[[ 0.51519066 -0.13102378  0.26423872]
 [-0.7264553   0.18356611 -0.29630145]
 [ 0.21133503  0.9741567   0.07967682]
 [ 0.40271428 -0.01246211 -0.9143493 ]]","[[ 0.8556109   0.48567706 -0.17901868]
 [-0.13091037  0.5376442   0.8329473 ]
 [-0.5007917   0.68924344 -0.5235944 ]]"
20200222-072737.903974,1,[1.3934197  1.0222509  0.15998335],"[[ 0.51456255 -0.12490958  0.26609027]
 [-0.73143464  0.16854544 -0.29548666]
 [ 0.1952333   0.9777127   0.07720276]
 [ 0.40263212 -0.00826652 -0.9142883 ]]","[[ 0.8457587   0.5027077  -0.17882209]
 [-0.14216566  0.535345    0.83258295]
 [-0.5142775   0.67874193 -0.52424043]]"
20200222-072737.903974,2,[1.3943672  1.0271794  0.16017905],"[[ 0.51364714 -0.12025032  0.2678627 ]
 [-0.7354605   0.15608174 -0.2947558 ]
 [ 0.18192644  0.98038685  0.07561341]
 [ 0.4027002  -0.00447    -0.91413975]]","[[ 0.83727044  0.51679    -0.17862365]
 [-0.1516097   0.5332842   0.8322394 ]
 [-0.5253503   0.66972846 -0.52485347]]"
20200222-072737.903974,3,[1.3963995  1.0275162  0.16039008],"[[ 0.512515   -0.1188139   0.27007073]
 [-0.7378684   0.14729445 -0.29435247]
 [ 0.17429341  0.98192286  0.07322081]
 [ 0.4031132  -0.00388202 -0.91381454]]","[[ 0.83247584  0.52451545 -0.17851505]
 [-0.15694201  0.5322281   0.8319269 ]
 [-0.53136927  0.66454256 -0.5253857 ]]"
20200222-072737.903974,4,[1.3980863  1.0281885  0.16058527],"[[ 0.51144344 -0.11656497  0.2720453 ]
 [-0.7405935   0.13734153 -0.29389516]
 [ 0.1647406   0.98363954  0.07162871]
 [ 0.40349415 -0.00177134 -0.9135022 ]]","[[ 0.8263295   0.53422254 -0.17828609]
 [-0.1635945   0.5306037   0.8316831 ]
 [-0.5389032   0.6580776  -0.5258492 ]]"
20200222-072737.903974,5,[1.3987279  1.0280988  0.16078436],"[[ 0.5109003  -0.10738346  0.2735511 ]
 [-0.7460553   0.11691205 -0.29280925]
 [ 0.14151978  0.9873024   0.06985047]
 [ 0.40293252  0.00586267 -0.9135389 ]]","[[ 0.8108308   0.5575958  -0.177878  ]
 [-0.17928676  0.52593845  0.8314114 ]
 [-0.5571444   0.64224285 -0.52641654]]"
20200222-072737.903974,6,[1.4013988  1.0321671  0.16097717],"[[ 0.50958455 -0.10739759  0.2758262 ]
 [-0.7474709   0.11092767 -0.29244265]
 [ 0.13685258  0.9879903   0.06839199]
 [ 0.40358743  0.00603186 -0.91308266]]","[[ 0.8076642   0.5621995  -0.17779326]
 [-0.18267229  0.5252623   0.831102  ]
 [-0.5606332   0.6387733  -0.5269338 ]]"
20200222-072737.903974,7,[1.4034137 1.032723  0.1611842],"[[ 0.5086644  -0.10236131  0.2777745 ]
 [-0.750747    0.09654345 -0.29168627]
 [ 0.12169261  0.9899998   0.06646949]
 [ 0.40352207  0.01009013 -0.91287565]]","[[ 0.7971929   0.5770307  -0.17753598]
 [-0.19286965  0.5220735   0.83080715]
 [-0.5720881   0.62807226 -0.527485  ]]"
20200222-072737.903974,8,[1.4060291  1.0282776  0.16139328],"[[ 0.507673   -0.09789326  0.27985165]
 [-0.7537288   0.08189651 -0.29090005]
 [ 0.10687266  0.9917299   0.06404891]
 [ 0.4034095   0.01347693 -0.91266537]]","[[ 0.7867251   0.5913117  -0.17723995]
 [-0.20275036  0.51870733  0.830563  ]
 [-0.5830573   0.6174894  -0.5279688 ]]"
20200222-072737.903974,9,[1.4085153  1.0268482  0.16159181],"[[ 0.5065469  -0.09451883  0.28179136]
 [-0.7561504   0.06942987 -0.29022476]
 [ 0.09425566  0.99295676  0.06257236]
 [ 0.40343887  0.01682048 -0.91238594]]","[[ 0.7775246   0.603454   -0.17691492]
 [-0.21126132  0.5156365   0.83035403]
 [-0.5923043   0.60824543 -0.52840644]]"
20200222-072737.903974,10,[1.4111646  1.0327129  0.16179584],"[[ 0.5053569  -0.08985222  0.2838417 ]
 [-0.7585739   0.05686061 -0.28936353]
 [ 0.08065029  0.99411434  0.06123412]
 [ 0.40333042  0.0207392  -0.9121147 ]]","[[ 0.7673998   0.6163246  -0.17675222]
 [-0.22035927  0.5124027   0.82999104]
 [-0.60211223  0.59798604 -0.5290306 ]]"
20200222-072737.903974,11,[1.4144925  1.0279102  0.16200532],"[[ 0.5041377  -0.08701715  0.2859929 ]
 [-0.7605685   0.04433044 -0.2886387 ]
 [ 0.06856872  0.99494934  0.05914633]
 [ 0.40333495  0.02321296 -0.91181016]]","[[ 0.7581517   0.62775683 -0.17642923]
 [-0.22849965  0.5091697   0.8297797 ]
 [-0.61073226  0.5887848  -0.5294701 ]]"
20200222-072737.903974,12,[1.4176075 1.0281224 0.1621923],"[[ 0.5029098  -0.08250683  0.28784817]
 [-0.76272875  0.0303055  -0.28781924]
 [ 0.05353878  0.99573517  0.05827091]
 [ 0.40306368  0.02802994 -0.91154176]]","[[ 0.7464991   0.6416749  -0.17604676]
 [-0.23840863  0.50495166  0.8295694 ]
 [-0.62120897  0.57730156 -0.5299269 ]]"
20200222-072737.903974,13,[1.4208418  1.0283282  0.16238497],"[[ 0.50160426 -0.08245207  0.29005027]
 [-0.7637215   0.02320641 -0.2873452 ]
 [ 0.04757288  0.99590284  0.05723944]
 [ 0.40355837  0.02900084 -0.91105825]]","[[ 0.7417398   0.64723736 -0.17580132]
 [-0.2425889   0.5032815   0.8293724 ]
 [-0.62527823  0.572531   -0.5303165 ]]"
20200222-072737.903974,14,[1.4240649  1.0273094  0.16256739],"[[ 0.50029606 -0.08370471  0.29219285]
 [-0.76445585  0.01773864 -0.28700304]
 [ 0.04370023  0.9958963   0.05662348]
 [ 0.40422902  0.02948002 -0.91051984]]","[[ 0.7385521   0.65095526 -0.17549388]
 [-0.24548829  0.5020827   0.8292457 ]
 [-0.6279143   0.5693593  -0.5306161 ]]"
20200222-072737.903974,15,[1.4279374  1.0274037  0.16275077],"[[ 0.49900785 -0.08006352  0.2941127 ]
 [-0.7661014   0.0048498  -0.28615844]
 [ 0.0301278   0.99620473  0.05591451]
 [ 0.4039452   0.03380184 -0.9102115 ]]","[[ 0.72755915  0.6633198  -0.17511266]
 [-0.25443628  0.4979406   0.8290461 ]
 [-0.63711834  0.558625   -0.5310539 ]]"
20200222-072737.903974,16,[1.4313096  1.0260066  0.16295414],"[[ 0.49765596 -0.0788596   0.29614007]
 [-0.7672139  -0.00458393 -0.28554568]
 [ 0.02129662  0.99622804  0.0549269 ]
 [ 0.40406424  0.0359144  -0.90980643]]","[[ 0.7201131   0.67148656 -0.17476512]
 [-0.2604945   0.4950862   0.8288741 ]
 [-0.64310163  0.55135775 -0.5314366 ]]"
20200222-072737.903974,17,[1.4354874  1.0315598  0.16313869],"[[ 0.49633485 -0.07433891  0.29803514]
 [-0.76857835 -0.01749807 -0.2846339 ]
 [ 0.00690902  0.9962344   0.05470998]
 [ 0.40359777  0.04104397 -0.9094864 ]]","[[ 0.70825547  0.68405586 -0.17447568]
 [-0.26970863  0.49059284  0.8285988 ]
 [-0.6524044   0.539802   -0.53196084]]"
20200222-072737.903974,18,[1.4388493  1.0270816  0.16334157],"[[ 0.49498767 -0.07695353  0.30027637]
 [-0.7690193  -0.02170761 -0.2843643 ]
 [ 0.00513346  0.9959848   0.05374671]
 [ 0.40443864  0.04026491 -0.9088909 ]]","[[ 0.7063152   0.6861523  -0.17410906]
 [-0.27152318  0.4897348   0.82851386]
 [-0.65375394  0.5379172  -0.5322134 ]]"
20200222-072737.903974,19,[1.4425062 1.024057  0.1635329],"[[ 4.9362922e-01 -7.7529766e-02  3.0231860e-01]
 [-7.6971322e-01 -2.8789850e-02 -2.8390902e-01]
 [-7.1724912e-04  9.9570721e-01  5.3249326e-02]
 [ 4.0481025e-01  4.1563559e-02 -9.0838528e-01]]","[[ 0.70099014  0.6917002  -0.17367727]
 [-0.27578682  0.48749775  0.8284248 ]
 [-0.6576889   0.5328195  -0.532493  ]]"
20200222-072737.903974,20,[1.4471383  1.0203911  0.16373341],"[[ 0.49217346 -0.07563948  0.30444434]
 [-0.7706616  -0.03987113 -0.28306913]
 [-0.01143849  0.99535656  0.05212171]
 [ 0.4046175   0.04420464 -0.9080029 ]]","[[ 0.69135946  0.7014301  -0.17325702]
 [-0.2830774   0.4835959   0.8282525 ]
 [-0.6647476   0.52357507 -0.53289765]]"
20200222-072737.903974,21,[1.450111   1.0207229  0.16394195],"[[ 0.49085227 -0.07702525  0.30657235]
 [-0.77110136 -0.04466851 -0.28275532]
 [-0.01477084  0.9950305   0.05168002]
 [ 0.40527594  0.04456603 -0.90740967]]","[[ 0.68820864  0.7046001  -0.17293794]
 [-0.28568     0.48228914  0.82812095]
 [-0.66690016  0.5205151  -0.53320575]]"
20200222-072737.903974,22,[1.454541  1.0194284 0.1641407],"[[ 0.48949608 -0.0771013   0.30879748]
 [-0.77165383 -0.05208992 -0.282168  ]
 [-0.02115686  0.99460614  0.05094839]
 [ 0.40558136  0.0458308  -0.906879  ]]","[[ 0.682288    0.7104204  -0.17258641]
 [-0.2902116   0.4798595   0.8279566 ]
 [-0.6710145   0.5148183  -0.5335746 ]]"
20200222-072737.903974,23,[1.4592383  1.0147499  0.16433385],"[[ 0.48801672 -0.07703897  0.310894  ]
 [-0.7723205  -0.06058298 -0.28147978]
 [-0.02865123  0.99404925  0.05029645]
 [ 0.40563527  0.04754905 -0.9064129 ]]","[[ 0.6750371   0.7174315  -0.17209701]
 [-0.29560804  0.47672603  0.8278577 ]
 [-0.67597413  0.5079612  -0.53388625]]"
20200222-072737.903974,24,[1.4633853 1.0130588 0.164539 ],"[[ 0.48662016 -0.07742925  0.3130852 ]
 [-0.7727912  -0.06748454 -0.2809371 ]
 [-0.03445273  0.99352014  0.04968961]
 [ 0.40596467  0.04866599 -0.9058604 ]]","[[ 0.6694184   0.7227695  -0.17170715]
 [-0.2998203   0.47432908  0.82771957]
 [-0.67969614  0.5026093  -0.5342256 ]]"
