Timestamp,Epoch,s,u,v
20200228-203331.322625,0,[1.6698266  1.1159428  0.53641737 0.4566568 ],"[[-0.52715015  0.37274045  0.31693882  0.6443897 ]
 [ 0.6750673   0.14273223 -0.24147797  0.3530467 ]
 [ 0.34217736  0.3145514   0.8184297  -0.33128807]
 [ 0.3651573  -0.2999438   0.25099385  0.59181756]
 [-0.12638012 -0.80733126  0.32926193  0.01097698]]","[[ 0.38280296  0.80655885  0.1502728   0.42466822]
 [ 0.690518   -0.4542093   0.5613831   0.04157037]
 [-0.05452352 -0.37748873 -0.3030267   0.8733296 ]
 [-0.6112891   0.02567591  0.7552763   0.23499899]]"
20200228-203331.322625,1,[1.6672015  1.1199307  0.531295   0.44814143],"[[-0.53047204  0.38008854  0.24975353  0.662592  ]
 [ 0.67341954  0.14040095 -0.27721283  0.3240505 ]
 [ 0.34273317  0.313899    0.8455175  -0.25317287]
 [ 0.36006868 -0.30096713  0.20228074  0.62489516]
 [-0.13412762 -0.8041809   0.3239752   0.03705258]]","[[ 0.38421378  0.80806845  0.10660021  0.43363786]
 [ 0.685457   -0.45467177  0.55940455  0.10241535]
 [-0.06042103 -0.37295634 -0.38338897  0.84277254]
 [-0.6155305   0.03468142  0.7271288   0.3019993 ]]"
20200228-203331.322625,2,[1.6656002  1.1240909  0.52799803 0.43823794],"[[-0.5339661   0.3840308   0.19268224  0.6721342 ]
 [ 0.6715087   0.13914867 -0.30580318  0.29537225]
 [ 0.34310114  0.3127414   0.86288536 -0.18494917]
 [ 0.3559655  -0.30281532  0.15820193  0.65095437]
 [-0.13973877 -0.80228055  0.31584677  0.05516865]]","[[ 0.3847081   0.80816513  0.07121266  0.44022498]
 [ 0.6817435  -0.4559374   0.55157804  0.15201552]
 [-0.0650796  -0.37075743 -0.4493226   0.8101933 ]
 [-0.61886233  0.03911053  0.69914204  0.35592195]]"
20200228-203331.322625,3,[1.6708182  1.1283885  0.52551925 0.42748338],"[[-0.5339325   0.3873375   0.14478716  0.67718154]
 [ 0.67042315  0.13838874 -0.3308414   0.26418075]
 [ 0.34523234  0.31166527  0.87237954 -0.1272271 ]
 [ 0.35470408 -0.3046038   0.11816335  0.6714016 ]
 [-0.14299998 -0.8005622   0.3075265   0.06831916]]","[[ 0.38856092  0.8081468   0.03934861  0.44087535]
 [ 0.681947   -0.45713386  0.5388129   0.18883294]
 [-0.06516168 -0.3689231  -0.5033999   0.7786132 ]
 [-0.61621654  0.04270061  0.67433023  0.40463907]]"
20200228-203331.322625,4,[1.671856   1.1326147  0.52308613 0.41650173],"[[-0.5360231   0.39018652  0.09932321  0.6769433 ]
 [ 0.6690245   0.13743062 -0.3506615   0.23431909]
 [ 0.34577486  0.31021604  0.8784436  -0.0722922 ]
 [ 0.35179767 -0.3068291   0.07997721  0.6895883 ]
 [-0.1475258  -0.7990554   0.29851604  0.07799815]]","[[ 0.3902783   0.80761766  0.01023392  0.4419635 ]
 [ 0.6797981  -0.45888436  0.52554     0.22606944]
 [-0.06773306 -0.36755916 -0.55349207  0.7442842 ]
 [-0.61722755  0.04559558  0.6460258   0.44676828]]"
20200228-203331.322625,5,[1.6761037  1.1370417  0.52187407 0.40572006],"[[-0.53705597  0.39093602  0.06689136  0.6738532 ]
 [ 0.66768104  0.13734572 -0.36547744  0.20739052]
 [ 0.34695143  0.3087029   0.880335   -0.0326801 ]
 [ 0.3506169  -0.30946147  0.05143987  0.7038557 ]
 [-0.1498846  -0.79827374  0.2903725   0.0801894 ]]","[[ 0.39258108  0.80628663 -0.01047395  0.44234842]
 [ 0.67995393 -0.46103746  0.51291806  0.24904282]
 [-0.06795102 -0.36779225 -0.588528    0.7167609 ]
 [-0.61556935  0.04555217  0.62485206  0.47807866]]"
20200228-203331.322625,6,[1.6781354 1.1409608 0.5215889 0.394425 ],"[[-0.5373906   0.39833274  0.04243989  0.66520995]
 [ 0.6665762   0.13477494 -0.3762363   0.18421759]
 [ 0.34920418  0.3078835   0.87976885 -0.00591744]
 [ 0.34706572 -0.31033564  0.03195199  0.71893483]
 [-0.15649179 -0.7950265   0.2857119   0.08159439]]","[[ 0.39677468  0.8077491  -0.02743609  0.4351538 ]
 [ 0.6771492  -0.4613732   0.5052196   0.27084526]
 [-0.07115057 -0.36283    -0.61115843  0.6998414 ]
 [-0.61561084  0.05505338  0.6086759   0.4975004 ]]"
20200228-203331.322625,7,[1.6784227  1.1454893  0.5220047  0.38347435],"[[-0.53948015  0.4015044   0.02676935  0.65613765]
 [ 0.6648167   0.13363692 -0.38370624  0.16603088]
 [ 0.35055098  0.30647194  0.8790685   0.01207041]
 [ 0.34376183 -0.31243902  0.01922327  0.7320769 ]
 [-0.16100258 -0.7933427   0.2809309   0.0763854 ]]","[[ 0.39834744  0.8073416  -0.03660987  0.43379596]
 [ 0.6747741  -0.4629833   0.49956304  0.2841891 ]
 [-0.07446726 -0.36114198 -0.6253459   0.68773085]
 [-0.61680967  0.05850513  0.59836364  0.5080197 ]]"
20200228-203331.322625,8,[1.6776212 1.1497563 0.5215323 0.3735214],"[[-0.5412993   0.4063546   0.00575169  0.64560217]
 [ 0.6635486   0.131873   -0.39122966  0.1443871 ]
 [ 0.35117304  0.3052367   0.8779226   0.03581694]
 [ 0.339899   -0.31400883  0.00135326  0.74541575]
 [-0.16686735 -0.7910214   0.27596456  0.07363869]]","[[ 0.40026033  0.8077065  -0.05085542  0.42990202]
 [ 0.671252   -0.46397007  0.49114382  0.30484492]
 [-0.07837472 -0.35802734 -0.64644384  0.669167  ]
 [-0.6189266   0.06448645  0.58163726  0.5238985 ]]"
20200228-203331.322625,9,[1.6810873 1.1542804 0.5219124 0.3619977],"[[-0.5422554   0.40882096  0.00698513  0.6353648 ]
 [ 0.6621586   0.13115692  0.39753184  0.12404886]
 [ 0.35275462  0.30379298 -0.8763749   0.04989987]
 [ 0.33775058 -0.31612617  0.01022121  0.75773084]
 [-0.17027527 -0.78958035 -0.27162895  0.06540317]]","[[ 0.40289503  0.8071537   0.05892299  0.42744163]
 [ 0.6705117  -0.4655837  -0.48481646  0.31400466]
 [-0.07962003 -0.3567078   0.65851873  0.6578552 ]
 [-0.6178596   0.06703804 -0.572568    0.5347162 ]]"
