Timestamp,Epoch,s,u,v
20200225-121106.298213,0,[1.7388134  0.38378006],"[[-0.788785    0.39069143]
 [-0.2029489   0.5631764 ]
 [-0.58019847 -0.72814316]]","[[ 0.7316475  0.6816831]
 [-0.6816831  0.7316475]]"
20200225-121106.298213,1,[1.7434059  0.38910228],"[[-0.78853047  0.37699848]
 [-0.20679013  0.58153874]
 [-0.57918715 -0.7208918 ]]","[[ 0.72859365  0.68494624]
 [-0.68494624  0.72859365]]"
20200225-121106.298213,2,[1.7454342  0.39697897],"[[-0.7884038   0.3634982 ]
 [-0.21026677  0.59891415]
 [-0.5781068  -0.71356213]]","[[ 0.72695726  0.68668276]
 [-0.68668276  0.72695726]]"
20200225-121106.298213,3,[1.7476487  0.40330353],"[[-0.78811324  0.35057157]
 [-0.21353924  0.6151935 ]
 [-0.57730293 -0.7061423 ]]","[[ 0.72532207  0.6884097 ]
 [-0.6884097   0.72532207]]"
20200225-121106.298213,4,[1.7468356  0.40900204],"[[-0.7876967   0.33874238]
 [-0.21602124  0.6303595 ]
 [-0.57694775 -0.69849885]]","[[ 0.7251579  0.6885826]
 [-0.6885826  0.7251579]]"
20200225-121106.298213,5,[1.7482977  0.41566288],"[[-0.7873955   0.3263024 ]
 [-0.21934104  0.64459527]
 [-0.5761057  -0.69139266]]","[[ 0.72346306  0.690363  ]
 [-0.690363    0.72346306]]"
20200225-121106.298213,6,[1.747359   0.42331925],"[[-0.78712857  0.31457055]
 [-0.222047    0.6579701 ]
 [-0.5754335  -0.6841934 ]]","[[ 0.72319126  0.6906478 ]
 [-0.6906478   0.72319126]]"
20200225-121106.298213,7,[1.7465824 0.4292362],"[[-0.7867135   0.3034902 ]
 [-0.2244623   0.67056817]
 [-0.575064   -0.67692834]]","[[ 0.72296196  0.69088775]
 [-0.69088775  0.72296196]]"
20200225-121106.298213,8,[1.7481058  0.43612564],"[[-0.786397    0.29176491]
 [-0.2277833   0.68234485]
 [-0.57419056 -0.6702825 ]]","[[ 0.72117084  0.69275725]
 [-0.69275725  0.72117084]]"
20200225-121106.298213,9,[1.744134   0.44309166],"[[-0.78599566  0.28159416]
 [-0.22956946  0.69365233]
 [-0.57402843 -0.6629866 ]]","[[ 0.72237676  0.69149965]
 [-0.69149965  0.72237676]]"
20200225-121106.298213,10,[1.74343    0.44915095],"[[-0.7855886   0.27126724]
 [-0.23192179  0.7041563 ]
 [-0.5736401  -0.65618443]]","[[ 0.7220713  0.6918187]
 [-0.6918187  0.7220713]]"
20200225-121106.298213,11,[1.7426172  0.45719147],"[[-0.7853242   0.26077402]
 [-0.23457716  0.71398515]
 [-0.57292175 -0.6497863 ]]","[[ 0.72164446  0.69226384]
 [-0.69226384  0.72164446]]"
20200225-121106.298213,12,[1.7387618 0.4642923],"[[-0.7849416   0.25138706]
 [-0.23626347  0.72347355]
 [-0.5727533  -0.6429547 ]]","[[ 0.72277826  0.69108   ]
 [-0.69108     0.72277826]]"
20200225-121106.298213,13,[1.7381526  0.47034255],"[[-0.7845227   0.2417422 ]
 [-0.23855172  0.73235536]
 [-0.5723785  -0.63656616]]","[[ 0.7223978  0.6914777]
 [-0.6914777  0.7223978]]"
20200225-121106.298213,14,[1.7374254  0.47844583],"[[-0.78423953  0.23190477]
 [-0.24117182  0.7406517 ]
 [-0.57166815 -0.6305988 ]]","[[ 0.72188807  0.6920098 ]
 [-0.6920098   0.72188807]]"
20200225-121106.298213,15,[1.7336782 0.4856275],"[[-0.78387487  0.22326334]
 [-0.24276733  0.7486402 ]
 [-0.5714927  -0.6242527 ]]","[[ 0.72295517  0.69089496]
 [-0.69089496  0.72295517]]"
