Timestamp,Epoch,s,u,v
20200225-123155.046183,0,[0.9536917  0.83157295],"[[ 0.14452401 -0.9355474 ]
 [-0.9482782  -0.03792119]
 [ 0.28263295  0.35115972]]","[[ 0.91225195 -0.4096298 ]
 [ 0.4096298   0.91225195]]"
20200225-123155.046183,1,[0.9421303 0.833932 ],"[[ 0.15456846 -0.93300766]
 [-0.948314   -0.04783922]
 [ 0.2771446   0.3566621 ]]","[[ 0.9181256  -0.39628956]
 [ 0.39628956  0.9181256 ]]"
20200225-123155.046183,2,[0.93354577 0.83654964],"[[ 0.1598832  -0.93110996]
 [-0.9482279  -0.05254495]
 [ 0.2744109   0.36093384]]","[[ 0.9217002  -0.38790312]
 [ 0.38790312  0.9217002 ]]"
20200225-123155.046183,3,[0.92433953 0.83866847],"[[ 0.17949703 -0.9267107 ]
 [-0.9471954  -0.07216337]
 [ 0.26571     0.3687815 ]]","[[ 0.9306189  -0.36598986]
 [ 0.36598986  0.9306189 ]]"
20200225-123155.046183,4,[0.9160356 0.8412443],"[[ 0.19130781 -0.92333084]
 [-0.9464097  -0.08359414]
 [ 0.2602112   0.374796  ]]","[[ 0.93642586 -0.35086536]
 [ 0.35086536  0.93642586]]"
20200225-123155.046183,5,[0.90721285 0.8431093 ],"[[ 0.22222814 -0.9155377 ]
 [-0.94335514 -0.115015  ]
 [ 0.24636498  0.38543764]]","[[ 0.94852746 -0.31669483]
 [ 0.31669483  0.94852746]]"
20200225-123155.046183,6,[0.8987366 0.8447934],"[[ 0.26444083 -0.9033854 ]
 [-0.9372889  -0.15832686]
 [ 0.22706915  0.39853105]]","[[ 0.96291465 -0.26980615]
 [ 0.26980615  0.96291465]]"
20200225-123155.046183,7,[0.8925963  0.84596574],"[[ 0.32090396 -0.88415253]
 [-0.9255557  -0.2167008 ]
 [ 0.20091577  0.4139018 ]]","[[ 0.9783116  -0.20713846]
 [ 0.20713846  0.9783116 ]]"
20200225-123155.046183,8,[0.8852487  0.84673417],"[[ 0.40230107 -0.84929377]
 [-0.9014597  -0.30231914]
 [ 0.15976354  0.43278533]]","[[ 0.99372816 -0.11182271]
 [ 0.11182271  0.99372816]]"
20200225-123155.046183,9,[0.880662  0.8465472],"[[ 0.49842563 -0.7958534 ]
 [-0.86026275 -0.4049438 ]
 [ 0.10733131  0.45015356]]","[[ 0.9999809   0.00618858]
 [-0.00618858  0.9999809 ]]"
20200225-123155.046183,10,[0.8757134 0.8464502],"[[ 0.6108156  -0.71188974]
 [-0.7908928  -0.52794605]
 [ 0.03732155  0.46312636]]","[[ 0.9873912   0.15829927]
 [-0.15829927  0.9873912 ]]"
20200225-123155.046183,11,[0.8736557 0.8452071],"[[ 0.7101387  -0.61145365]
 [-0.70324314 -0.63991654]
 [-0.03394674  0.46543688]]","[[ 0.95182663  0.30663684]
 [-0.30663684  0.95182663]]"
20200225-123155.046183,12,[0.87243825 0.84032935],"[[ 0.8041427  -0.4795194 ]
 [-0.58307886 -0.75126505]
 [-0.11564418  0.45349947]]","[[ 0.883681   0.4680897]
 [-0.4680897  0.883681 ]]"
20200225-123155.046183,13,[0.87328094 0.8350828 ],"[[ 0.84763145 -0.39592534]
 [-0.50521505 -0.80565596]
 [-0.16210735  0.44063768]]","[[ 0.8315672  0.5554242]
 [-0.5554242  0.8315672]]"
20200225-123155.046183,14,[0.8746404 0.8266335],"[[ 0.87565494 -0.32753125]
 [-0.44041    -0.843113  ]
 [-0.19816023  0.42647824]]","[[ 0.78425914  0.6204334 ]
 [-0.6204334   0.78425914]]"
20200225-123155.046183,15,[0.8761338 0.8193627],"[[ 0.89300436 -0.2738646 ]
 [-0.38940397 -0.8680209 ]
 [-0.22562748  0.41417143]]","[[ 0.7439024   0.66828823]
 [-0.66828823  0.7439024 ]]"
20200225-123155.046183,16,[0.87771654 0.811867  ],"[[-0.90739787 -0.21647611]
 [ 0.33452237 -0.8908869 ]
 [ 0.2544091   0.3993231 ]]","[[-0.6969502  0.7171196]
 [ 0.7171196  0.6969502]]"
20200225-123155.046183,17,[0.8798951 0.8054049],"[[-0.91386926 -0.18190396]
 [ 0.30163828 -0.9026107 ]
 [ 0.27176675  0.39013425]]","[[-0.66712517  0.7449456 ]
 [ 0.7449456   0.66712517]]"
20200225-123155.046183,18,[0.8822869  0.79905105],"[[-0.9155122  -0.16952324]
 [ 0.2902647  -0.9062665 ]
 [ 0.27853796  0.38722417]]","[[-0.65640897  0.7544052 ]
 [ 0.7544052   0.65640897]]"
20200225-123155.046183,19,[0.88471615 0.79017377],"[[-0.916399   -0.1609757 ]
 [ 0.28232953 -0.90896046]
 [ 0.28373066  0.38454902]]","[[-0.6485004  0.7612144]
 [ 0.7612144  0.6485004]]"
20200225-123155.046183,20,[0.8871751 0.7839171],"[[-0.9170388  -0.15293512]
 [ 0.2752272  -0.9110515 ]
 [ 0.2885999   0.3828786 ]]","[[-0.64124054  0.7673399 ]
 [ 0.7673399   0.64124054]]"
20200225-123155.046183,21,[0.8897405  0.77743983],"[[-0.918641   -0.1357587 ]
 [ 0.25928706 -0.91574097]
 [ 0.29810917  0.37813765]]","[[-0.62454563  0.78098834]
 [ 0.78098834  0.62454563]]"
20200225-123155.046183,22,[0.8922533 0.7699416],"[[-0.91901726 -0.12694517]
 [ 0.25134164 -0.9180387 ]
 [ 0.30370224  0.37561965]]","[[-0.61548084  0.7881519 ]
 [ 0.7881519   0.61548084]]"
20200225-123155.046183,23,[0.8949887  0.76485693],"[[-0.9192625  -0.1177932 ]
 [ 0.24341062 -0.9199857 ]
 [ 0.3093664   0.37383288]]","[[-0.6063435  0.7952028]
 [ 0.7952028  0.6063435]]"
20200225-123155.046183,24,[0.89737   0.7578155],"[[-0.91850144 -0.11973539]
 [ 0.24593504 -0.91927016]
 [ 0.30963057  0.3749745 ]]","[[-0.60820407  0.79378074]
 [ 0.79378074  0.60820407]]"
20200225-123155.046183,25,[0.8999301 0.7494259],"[[-0.91796565 -0.11883375]
 [ 0.24558306 -0.91948736]
 [ 0.31149328  0.37472832]]","[[-0.60665655  0.794964  ]
 [ 0.794964    0.60665655]]"
20200225-123155.046183,26,[0.90249544 0.7411502 ],"[[-0.91741145 -0.118049  ]
 [ 0.2453615  -0.91965604]
 [ 0.31329536  0.37456262]]","[[-0.60522646  0.79605335]
 [ 0.79605335  0.60522646]]"
20200225-123155.046183,27,[0.9050935 0.7352854],"[[-0.916969   -0.1157372 ]
 [ 0.2439569  -0.9198916 ]
 [ 0.3156787   0.37470555]]","[[-0.6027429  0.7979354]
 [ 0.7979354  0.6027429]]"
20200225-123155.046183,28,[0.90789825 0.7280847 ],"[[-0.91657317 -0.11180657]
 [ 0.24089025 -0.9207299 ]
 [ 0.31916353  0.37383932]]","[[-0.5978622  0.8015989]
 [ 0.8015989  0.5978622]]"
20200225-123155.046183,29,[0.91054183 0.7223201 ],"[[-0.9160476  -0.10999119]
 [ 0.24001253 -0.92079586]
 [ 0.32132685  0.37421525]]","[[-0.5958341  0.8031077]
 [ 0.8031077  0.5958341]]"
20200225-123155.046183,30,[0.9133975 0.7152511],"[[-0.91553605 -0.10676265]
 [ 0.23767713 -0.92140454]
 [ 0.32450482  0.3736516 ]]","[[-0.59157014  0.80625355]
 [ 0.80625355  0.59157014]]"
20200225-123155.046183,31,[0.9160283 0.7073948],"[[-0.9148476  -0.10704541]
 [ 0.23857409 -0.9212233 ]
 [ 0.32578576  0.37401772]]","[[-0.5911912  0.8065315]
 [ 0.8065315  0.5911912]]"
20200225-123155.046183,32,[0.918869 0.698296],"[[-0.9141549  -0.10618529]
 [ 0.23826317 -0.9215252 ]
 [ 0.32795045  0.3735187 ]]","[[-0.58882165  0.808263  ]
 [ 0.808263    0.58882165]]"
20200225-123155.046183,33,[0.9215923 0.6915894],"[[-0.913556   -0.1036061 ]
 [ 0.236586   -0.92194057]
 [ 0.33082107  0.37321764]]","[[-0.58514297  0.8109302 ]
 [ 0.8109302   0.58514297]]"
20200225-123155.046183,34,[0.9242347 0.6840089],"[[-0.9128443  -0.10421658]
 [ 0.23782413 -0.92164403]
 [ 0.33189604  0.37377918]]","[[-0.5851466  0.8109275]
 [ 0.8109275  0.5851466]]"
20200225-123155.046183,35,[0.927018   0.67743045],"[[-0.91219157 -0.1019575 ]
 [ 0.23651095 -0.9219339 ]
 [ 0.3346184   0.37368786]]","[[-0.581785   0.8133427]
 [ 0.8133427  0.581785 ]]"
20200225-123155.046183,36,[0.93012685 0.67172426],"[[-0.9115184  -0.09741166]
 [ 0.23321964 -0.9226559 ]
 [ 0.33873695  0.37311807]]","[[-0.5755478  0.8177681]
 [ 0.8177681  0.5755478]]"
20200225-123155.046183,37,[0.93280506 0.6643856 ],"[[-0.9107826  -0.09830683]
 [ 0.23477924 -0.9222471 ]
 [ 0.33963805  0.37389314]]","[[-0.5758971   0.81752217]
 [ 0.81752217  0.5758971 ]]"
20200225-123155.046183,38,[0.9358943 0.659917 ],"[[-0.9100919  -0.09517589]
 [ 0.2329956  -0.9223872 ]
 [ 0.34270343  0.37435704]]","[[-0.5719851  0.8202639]
 [ 0.8202639  0.5719851]]"
20200225-123155.046183,39,[0.9390942  0.65435576],"[[-0.90929806 -0.09139168]
 [ 0.23049818 -0.9228735 ]
 [ 0.3464788   0.37410173]]","[[-0.5664156  0.8241197]
 [ 0.8241197  0.5664156]]"
20200225-123155.046183,40,[0.9423503  0.64884317],"[[-0.90845126 -0.08784699]
 [ 0.22826728 -0.9232716 ]
 [ 0.3501577   0.37396866]]","[[-0.56105036  0.8277817 ]
 [ 0.8277817   0.56105036]]"
20200225-123155.046183,41,[0.94553614 0.6444639 ],"[[-0.9076622  -0.08531371]
 [ 0.22710934 -0.9232259 ]
 [ 0.35294592  0.37466717]]","[[-0.5576734  0.8300604]
 [ 0.8300604  0.5576734]]"
20200225-123155.046183,42,[0.94846946 0.63829   ],"[[-0.90684    -0.08435193]
 [ 0.22715911 -0.92310464]
 [ 0.35502103  0.37518334]]","[[-0.5555618  0.8314752]
 [ 0.8314752  0.5555618]]"
20200225-123155.046183,43,[0.95194834 0.6318159 ],"[[-0.9057953  -0.08093387]
 [ 0.22499585 -0.9236386 ]
 [ 0.35904285  0.3746218 ]]","[[-0.54922193  0.83567655]
 [ 0.83567655  0.54922193]]"
20200225-123155.046183,44,[0.954789   0.62684184],"[[-0.9050623  -0.08073553]
 [ 0.22590421 -0.9231128 ]
 [ 0.3603184   0.37595764]]","[[-0.5489366   0.83586395]
 [ 0.83586395  0.5489366 ]]"
20200225-123155.046183,45,[0.9571977 0.6212201],"[[-0.9044593 -0.082394 ]
 [ 0.228356  -0.922255 ]
 [ 0.3602873  0.3776997]]","[[-0.5513079   0.83430195]
 [ 0.83430195  0.5513079 ]]"
20200225-123155.046183,46,[0.9599521 0.6145313],"[[-0.903726   -0.08346826]
 [ 0.23022588 -0.9216657 ]
 [ 0.3609366   0.37889996]]","[[-0.5521099  0.8337713]
 [ 0.8337713  0.5521099]]"
20200225-123155.046183,47,[0.96340054 0.6093451 ],"[[-0.9027369  -0.08086014]
 [ 0.22903736 -0.9217404 ]
 [ 0.36415407  0.3792837 ]]","[[-0.5476452   0.83671063]
 [ 0.83671063  0.5476452 ]]"
20200225-123155.046183,48,[0.9662986  0.60455215],"[[-0.9020078  -0.08046833]
 [ 0.22983222 -0.92118466]
 [ 0.36545736  0.38071445]]","[[-0.5472825  0.836948 ]
 [ 0.836948   0.5472825]]"
20200225-123155.046183,49,[0.96979874 0.5994561 ],"[[-0.90098566 -0.07805586]
 [ 0.22886741 -0.9211875 ]
 [ 0.36857033  0.38120952]]","[[-0.543008    0.83972746]
 [ 0.83972746  0.543008  ]]"
20200225-123155.046183,50,[0.97256225 0.59300715],"[[-0.90027946 -0.07918221]
 [ 0.23080453 -0.9205508 ]
 [ 0.36908823  0.3825134 ]]","[[-0.54400146  0.83908427]
 [ 0.83908427  0.54400146]]"
20200225-123155.046183,51,[0.9758223 0.5872675],"[[-0.8994045  -0.0786294 ]
 [ 0.23141897 -0.9201741 ]
 [ 0.3708319   0.38353223]]","[[-0.54249334  0.8400602 ]
 [ 0.8400602   0.54249334]]"
20200225-123155.046183,52,[0.97910994 0.58160704],"[[-0.8985208  -0.07801799]
 [ 0.23201579 -0.91977876]
 [ 0.3725973   0.38460392]]","[[-0.54095435  0.84105194]
 [ 0.84105194  0.54095435]]"
20200225-123155.046183,53,[0.9822166 0.5760485],"[[-0.8976507  -0.07738583]
 [ 0.23256233 -0.9194093 ]
 [ 0.37434977  0.38561386]]","[[-0.539405    0.84204644]
 [ 0.84204644  0.539405  ]]"
20200225-123155.046183,54,[0.985171  0.5715035],"[[-0.89692956 -0.07693358]
 [ 0.23337407 -0.9187856 ]
 [ 0.3755714   0.38718784]]","[[-0.5391389   0.84221685]
 [ 0.84221685  0.5391389 ]]"
20200225-123155.046183,55,[0.98866194 0.5675956 ],"[[-0.89600396 -0.07507238]
 [ 0.23313114 -0.9183717 ]
 [ 0.37792444  0.38853255]]","[[-0.5365715   0.84385484]
 [ 0.84385484  0.5365715 ]]"
