Timestamp,Epoch,s,u,v
20200224-000058.164691,0,[1.8192843  1.420968   0.76173717],"[[ 0.25856656  0.5000303   0.6580992 ]
 [ 0.6579587   0.5001934  -0.25868216]
 [ 0.6581935  -0.49980643 -0.25875697]
 [ 0.25887236 -0.49996963  0.6580532 ]]","[[ 4.9404445e-01  7.0721394e-01  5.0573552e-01]
 [ 7.1517301e-01  2.1960889e-04 -6.9894755e-01]
 [ 4.9441653e-01 -7.0699954e-01  5.0567198e-01]]"
20200224-000058.164691,1,[1.7913609 1.4276894 0.7586324],"[[ 0.24462414  0.5011891   0.6623645 ]
 [ 0.6590565   0.5045135  -0.24772821]
 [ 0.66518897 -0.49548534 -0.24854976]
 [ 0.25164884 -0.49876815  0.6619116 ]]","[[ 0.48475438  0.70952153  0.5114612 ]
 [ 0.72253084  0.00469987 -0.6913228 ]
 [ 0.49291214 -0.7046681   0.510373  ]]"
20200224-000058.164691,2,[1.7681549  1.4343026  0.75581115],"[[ 0.22773992  0.5035325   0.66627496]
 [ 0.6559878   0.51385343 -0.23738092]
 [ 0.67504936 -0.48601556 -0.2396552 ]
 [ 0.2492448  -0.4961846   0.6650517 ]]","[[ 0.4711665   0.714503    0.51719195]
 [ 0.72905344  0.01456909 -0.6843015 ]
 [ 0.49647048 -0.69948065  0.51404655]]"
20200224-000058.164691,3,[1.7423915  1.4412777  0.75240415],"[[ 0.21981585  0.5024481   0.6698957 ]
 [ 0.6623609   0.5102078  -0.22684743]
 [ 0.6763957  -0.4897611  -0.22846714]
 [ 0.23547322 -0.4973614   0.6690162 ]]","[[ 0.46876746  0.7125737   0.5220115 ]
 [ 0.7365936   0.0108319  -0.6762489 ]
 [ 0.48753148 -0.7015138   0.51979953]]"
20200224-000058.164691,4,[1.7211034  1.4481432  0.74932504],"[[ 0.20940478  0.50252104  0.6731582 ]
 [ 0.66500336  0.51105773 -0.21701436]
 [ 0.68024665 -0.48892742 -0.2186587 ]
 [ 0.22623935 -0.49723482  0.6722731 ]]","[[ 0.46270013  0.7130432   0.5267618 ]
 [ 0.7432671   0.01183084 -0.6688901 ]
 [ 0.48317945 -0.7010201   0.5245075 ]]"
20200224-000058.164691,5,[1.6943904  1.455351   0.74511516],"[[ 0.19649068  0.5026109   0.67699856]
 [ 0.66820174  0.5119183  -0.20473002]
 [ 0.6847554  -0.48804593 -0.20628905]
 [ 0.21449488 -0.49712506  0.6761685 ]]","[[ 0.4551429   0.71352786  0.5326568 ]
 [ 0.7516194   0.01286261 -0.65947175]
 [ 0.4774028  -0.7005089   0.530447  ]]"
20200224-000058.164691,6,[1.680553  1.4620756 0.741366 ],"[[ 0.17472936  0.50544435  0.68068504]
 [ 0.65980947  0.5271496  -0.19355814]
 [ 0.6983515  -0.47222477 -0.19680177]
 [ 0.21546811 -0.49360195  0.67858106]]","[[ 0.43504128  0.72156644  0.53859174]
 [ 0.7576476   0.02985634 -0.6519806 ]
 [ 0.4865277  -0.69170123  0.5337044 ]]"
20200224-000058.164691,7,[1.6699733 1.4690533 0.7380924],"[[ 0.1698423   0.5041392   0.6831832 ]
 [ 0.6657423   0.52231777 -0.18500155]
 [ 0.69780666 -0.47732624 -0.18743734]
 [ 0.20250195 -0.49516428  0.6811043 ]]","[[ 0.43520534  0.718865    0.54206055]
 [ 0.76333463  0.02463729 -0.64553356]
 [ 0.47740632 -0.6947131   0.53801227]]"
20200224-000058.164691,8,[1.6534574  1.4764252  0.73358965],"[[ 0.16324253  0.50273925  0.68598205]
 [ 0.6734286   0.51598775 -0.17395073]
 [ 0.6965688  -0.4839238  -0.17544617]
 [ 0.18611099 -0.49681726  0.68438905]]","[[ 0.43523583  0.7154544   0.5465297 ]
 [ 0.77073306  0.01766879 -0.636913  ]
 [ 0.46533874 -0.69843596  0.54373443]]"
20200224-000058.164691,9,[1.6384084 1.4837787 0.7289781],"[[ 0.15845399  0.5010898   0.6883293 ]
 [ 0.6829774   0.50689846 -0.16301684]
 [ 0.6929568  -0.4932329  -0.16350943]
 [ 0.16806431 -0.4986825   0.68767244]]","[[ 0.43793616  0.7106176   0.5506674 ]
 [ 0.7779025   0.00750731 -0.6283404 ]
 [ 0.4506437  -0.7035384   0.5495036 ]]"
