Timestamp,Epoch,s,u,v
20200228-185937.810384,0,[0.11562445 0.09653034 0.07280698 0.04345378],"[[ 0.18580534  0.05835342  0.34918824 -0.78168416]
 [-0.75300354 -0.49898687 -0.296072   -0.30019525]
 [-0.11465232  0.5073793  -0.2355805  -0.49543333]
 [-0.50393647  0.6972517   0.00820938  0.21805468]
 [-0.3624431  -0.06335241  0.85723037  0.07649139]]","[[ 0.31510216 -0.29826915  0.8185755  -0.3764046 ]
 [ 0.5792001   0.779754    0.14705296  0.18677928]
 [ 0.72430056 -0.5325522  -0.35486618  0.25660655]
 [-0.20156029 -0.1393108   0.42705938  0.8703944 ]]"
20200228-185937.810384,1,[0.11691185 0.09694279 0.06675977 0.04674444],"[[ 0.10777739  0.06992991  0.35504097 -0.79661214]
 [-0.72768116 -0.51310366 -0.36352292 -0.2655214 ]
 [-0.11648881  0.50401264 -0.2526863  -0.47747335]
 [-0.5028773   0.6890135  -0.05589071  0.24012557]
 [-0.438644   -0.05537152  0.82147586  0.09626158]]","[[ 0.26765966 -0.28625107  0.8621244  -0.32118553]
 [ 0.56668717  0.7875848   0.15485817  0.1859965 ]
 [ 0.7541719  -0.52700466 -0.33109933  0.20943739]
 [-0.19608283 -0.14155091  0.3509041   0.90464425]]"
20200228-185937.810384,2,[0.11907454 0.09733338 0.06112637 0.05001144],"[[ 0.03515631  0.07756873  0.38346308 -0.7930641 ]
 [-0.7044308  -0.52389675 -0.4069242  -0.24601059]
 [-0.11907773  0.5008554  -0.24759872 -0.4707228 ]
 [-0.49271998  0.6828276  -0.11795599  0.25743392]
 [-0.49556965 -0.04904946  0.7824003   0.15058614]]","[[ 0.23528285 -0.27739647  0.9030343  -0.22852238]
 [ 0.5612049   0.7936027   0.14447652  0.18539366]
 [ 0.77448004 -0.52252144 -0.3253848   0.14586687]
 [-0.17283525 -0.1421894   0.24037594  0.9445261 ]]"
20200228-185937.810384,3,[0.12204029 0.09772513 0.05651291 0.05282389],"[[-0.03529958  0.08266933  0.6096651  -0.6399698 ]
 [-0.68096596 -0.5339418  -0.36208966 -0.34348562]
 [-0.12434369  0.49816763 -0.10051591 -0.5127448 ]
 [-0.47860503  0.67656285 -0.24121492  0.21254034]
 [-0.53899497 -0.04651698  0.65491337  0.40543294]]","[[ 0.21491434 -0.27138606  0.9290524   0.1304733 ]
 [ 0.55857617  0.79929554  0.07497983  0.20856006]
 [ 0.78944623 -0.51650524 -0.33128387 -0.0157548 ]
 [-0.1363062  -0.14386983 -0.14659771  0.9691394 ]]"
20200228-185937.810384,4,[0.12568016 0.0981081  0.05732885 0.05044967],"[[-0.10365782  0.08555297 -0.88176703 -0.00913313]
 [-0.6571277  -0.5411768   0.04794496 -0.5213506 ]
 [-0.12715252  0.49544823 -0.28587854 -0.42621803]
 [-0.458568    0.6726773   0.35394433 -0.05728735]
 [-0.575314   -0.04295347 -0.11482649  0.7369983 ]]","[[ 0.20114815 -0.2666377  -0.49723372  0.80075115]
 [ 0.55990165  0.80337137  0.08903191  0.18214846]
 [ 0.7984054  -0.5128363   0.16130379 -0.27116236]
 [-0.09272785 -0.14317109  0.84782857  0.5020863 ]]"
20200228-185937.810384,5,[0.12992537 0.09849752 0.06039926 0.04634098],"[[-0.17149922  0.08714041 -0.87184095  0.06786754]
 [-0.6308029  -0.548129    0.03908991 -0.5472898 ]
 [-0.13134772  0.49316213 -0.31167004 -0.39569288]
 [-0.4357511   0.6685825   0.375787   -0.12032988]
 [-0.6046032  -0.04183659  0.00339021  0.72444195]]","[[ 0.19348449 -0.2636193  -0.36286506  0.8725811 ]
 [ 0.56128204  0.80726546  0.09185948  0.15762897]
 [ 0.8035129  -0.50819093  0.07326974 -0.30123192]
 [-0.0435129  -0.1434203   0.9244037   0.35073495]]"
20200228-185937.810384,6,[0.134573   0.09888294 0.06325062 0.04257276],"[[-0.23252602  0.08713083 -0.8613729   0.06170343]
 [-0.60406893 -0.5527153   0.07379746 -0.56916535]
 [-0.13214748  0.49085262 -0.3015829  -0.39351344]
 [-0.41008803  0.6666649   0.39880487 -0.14884706]
 [-0.6288062  -0.03918309  0.05092391  0.7037298 ]]","[[ 0.18980937 -0.26127332 -0.30839154  0.8947645 ]
 [ 0.5641136   0.80979633  0.07513269  0.14269061]
 [ 0.8035708  -0.50593626  0.01451389 -0.31319633]
 [ 0.00473463 -0.14140143  0.94817674  0.28450686]]"
20200228-185937.810384,7,[0.13992167 0.09926885 0.06596992 0.0391774 ],"[[-0.2910272   0.08629876 -0.8483093   0.04126231]
 [-0.57600284 -0.5561089   0.11459807 -0.58805835]
 [-0.1314761   0.4886251  -0.2866324  -0.39430517]
 [-0.38215438  0.66575605  0.42089692 -0.16996796]
 [-0.6482251  -0.03618966  0.08902753  0.68419206]]","[[ 0.18998758 -0.25949413 -0.26944622  0.9077258 ]
 [ 0.567145    0.81165475  0.05353466  0.1292172 ]
 [ 0.79957265 -0.5046712  -0.03904421 -0.3232125 ]
 [ 0.05417552 -0.13851488  0.96073306  0.23424417]]"
20200228-185937.810384,8,[0.14569512 0.09965803 0.06841639 0.03634658],"[[-0.34364912  0.08468419 -0.83280516  0.01883141]
 [-0.54849803 -0.5584861   0.15317865 -0.60311735]
 [-0.13018514  0.48654228 -0.2725246  -0.3949986 ]
 [-0.35425597  0.66565907  0.43980503 -0.18651532]
 [-0.6622763  -0.03310889  0.12358836  0.66714543]]","[[ 0.19333565 -0.25827947 -0.23841056  0.9160098 ]
 [ 0.56959885  0.8129685   0.03077138  0.11701366]
 [ 0.79246175 -0.5041399  -0.08705951 -0.33206648]
 [ 0.10091103 -0.13496861  0.9667649   0.19226614]]"
20200228-185937.810384,9,[0.15212078 0.10005916 0.07052559 0.03382437],"[[-0.38960022  0.08234204 -0.8158234  -0.00576335]
 [-0.51897794 -0.5618772   0.18853699 -0.6158147 ]
 [-0.12927379  0.4846827  -0.25866735 -0.3965976 ]
 [-0.3294508   0.66447365  0.4567331  -0.19865198]
 [-0.67351604 -0.03273404  0.1528788   0.65114295]]","[[ 0.19999072 -0.25812444 -0.2157829   0.9202246 ]
 [ 0.56950897  0.8149333   0.00941322  0.10702699]
 [ 0.7840644  -0.5015651  -0.13024712 -0.34163064]
 [ 0.14459041 -0.13299717  0.96766996  0.15817879]]"
