Timestamp,Epoch,s,u,v
20200225-141858.658880,0,[1.0146302  0.55922574],"[[ 0.09727637 -0.9722665 ]
 [ 0.2316707   0.22994864]
 [ 0.9679183   0.04267513]]","[[-0.25456178  0.9670565 ]
 [ 0.9670565   0.25456178]]"
20200225-141858.658880,1,[1.0136287 0.5606057],"[[ 0.096426   -0.969212  ]
 [ 0.23884684  0.24350281]
 [ 0.9662578   0.03652996]]","[[-0.25392458  0.967224  ]
 [ 0.967224    0.25392458]]"
20200225-141858.658880,2,[1.0148195 0.5636251],"[[ 0.09213242 -0.9662925 ]
 [ 0.24712971  0.25605914]
 [ 0.96459234  0.02669202]]","[[-0.24930407  0.9684253 ]
 [ 0.9684253   0.24930407]]"
20200225-141858.658880,3,[1.016747  0.5654921],"[[ 0.08920801 -0.9631592 ]
 [ 0.2551483   0.2683194 ]
 [ 0.96277785  0.01813522]]","[[-0.24494006  0.96953815]
 [ 0.96953815  0.24494006]]"
20200225-141858.658880,4,[1.0180235  0.56861216],"[[ 0.08483258 -0.9599677 ]
 [ 0.2634263   0.27999648]
 [ 0.9609422   0.00799002]]","[[-0.24005407  0.97075945]
 [ 0.97075945  0.24005407]]"
20200225-141858.658880,5,[1.0194724  0.57184315],"[[ 0.08021627 -0.95668584]
 [ 0.27173012  0.2911117 ]
 [ 0.9590245  -0.00246312]]","[[-0.2348148  0.9720401]
 [ 0.9720401  0.2348148]]"
20200225-141858.658880,6,[1.018104  0.5747929],"[[ 0.07724206 -0.95315707]
 [ 0.27909774  0.3022677 ]
 [ 0.957151   -0.01121908]]","[[-0.23259431  0.9725739 ]
 [ 0.9725739   0.23259431]]"
20200225-141858.658880,7,[1.0168301 0.5778017],"[[ 0.07416214 -0.94953704]
 [ 0.28645474  0.31300756]
 [ 0.9552192  -0.02014485]]","[[-0.23016666  0.9731513 ]
 [ 0.9731513   0.23016666]]"
20200225-141858.658880,8,[1.015722   0.58091015],"[[ 0.07085778 -0.9458584 ]
 [ 0.29381943  0.3232519 ]
 [ 0.953231   -0.02932791]]","[[-0.22740477  0.9738003 ]
 [ 0.9738003   0.22740477]]"
20200225-141858.658880,9,[1.0147053  0.58406574],"[[ 0.06744879 -0.9421055 ]
 [ 0.30118048  0.33307973]
 [ 0.95117855 -0.03866091]]","[[-0.22443767  0.97448844]
 [ 0.97448844  0.22443767]]"
