Timestamp,Epoch,s,u,v
20200228-194813.990268,0,[1.815473  1.5729169 1.2113459 0.5750806],"[[ 0.15198305 -0.4264609   0.45574597 -0.59894955]
 [ 0.54510707 -0.56108445  0.24104416  0.37158057]
 [ 0.66696054  0.08357228 -0.5505738   0.08066687]
 [ 0.47542867  0.58435935  0.2282222  -0.45455027]
 [ 0.09429207  0.39351666  0.61561036  0.53857625]]","[[ 0.35192564 -0.63476384  0.5420094  -0.4236142 ]
 [ 0.6578423  -0.28178695 -0.24633655  0.6535735 ]
 [ 0.6046946   0.40032867 -0.37507182 -0.5774104 ]
 [ 0.27881303  0.5978361   0.71053857  0.24492909]]"
20200228-194813.990268,1,[1.7763634 1.5809289 1.2047087 0.5751291],"[[ 0.13781486 -0.42554024  0.45768914 -0.59899217]
 [ 0.54876894 -0.5521608   0.26215342  0.37038353]
 [ 0.68269986  0.09723879 -0.5259093   0.08088867]
 [ 0.45836124  0.5922316   0.24988534 -0.45518437]
 [ 0.06071349  0.39222553  0.6186865   0.5387848 ]]","[[ 0.34311274 -0.6306507   0.5515216  -0.4247087 ]
 [ 0.6716762  -0.26954344 -0.22325803  0.65295744]
 [ 0.6097799   0.41227856 -0.35279164 -0.5776964 ]
 [ 0.24350244  0.59971046  0.72216195  0.24400018]]"
20200228-194813.990268,2,[1.7454153  1.5888057  1.1987361  0.57508594],"[[ 0.12419636 -0.4249902   0.45804206 -0.5993494 ]
 [ 0.5530218  -0.5429127   0.28229225  0.36839744]
 [ 0.6956323   0.11134735 -0.5027881   0.08073595]
 [ 0.44044644  0.5998956   0.26953918 -0.45660925]
 [ 0.02906719  0.39032888  0.62053347  0.5385666 ]]","[[ 0.33551672 -0.6264248   0.55989647 -0.42607132]
 [ 0.68442684 -0.2566434  -0.20101105  0.6521421 ]
 [ 0.6125889   0.42462575 -0.3319571  -0.57812846]
 [ 0.20910227  0.6011817   0.73206234  0.2427794 ]]"
20200228-194813.990268,3,[1.7115008  1.5969735  1.1909244  0.57504225],"[[ 0.10351825 -0.42497     0.4588807  -0.5997933 ]
 [ 0.54924095 -0.5387838   0.30687994  0.36618894]
 [ 0.7114538   0.11776605 -0.47538996  0.08057826]
 [ 0.4259664   0.6033759   0.29012272 -0.45809644]
 [-0.00228525  0.38882095  0.6205533   0.53833866]]","[[ 0.31851473 -0.62405145  0.5711076  -0.42772007]
 [ 0.6951384  -0.25033605 -0.17356992  0.6511438 ]
 [ 0.62010205  0.43080825 -0.30841297 -0.5785837 ]
 [ 0.17551216  0.6019105   0.7406692   0.24147138]]"
20200228-194813.990268,4,[1.6743062  1.6057401  1.1839335  0.57493865],"[[ 0.08178695 -0.42479688  0.45890626 -0.60054195]
 [ 0.54385865 -0.53502315  0.33213475  0.36318406]
 [ 0.7265782   0.12296249 -0.44724306  0.07991206]
 [ 0.41055456  0.60648143  0.30918473 -0.46028033]
 [-0.03253483  0.38776115  0.6192499   0.53777647]]","[[ 0.29921135 -0.6214141   0.58277416 -0.42975724]
 [ 0.7052466  -0.24467817 -0.14391837  0.6496517 ]
 [ 0.627107    0.43621805 -0.2841165  -0.579421  ]
 [ 0.14084205  0.60306776  0.7476227   0.23986067]]"
20200228-194813.990268,5,[1.6417967 1.6146165 1.1725752 0.5748864],"[[ 0.04111599 -0.42604724  0.45832962 -0.601132  ]
 [ 0.51541895 -0.54915744  0.36301702  0.36037964]
 [ 0.74794126  0.10222051 -0.4121971   0.07963318]
 [ 0.41247177  0.5958815   0.3312321  -0.46222374]
 [-0.05570953  0.389084    0.6152486   0.5373773 ]]","[[ 0.25362134 -0.62718713  0.59645927 -0.43191302]
 [ 0.7062371  -0.26333392 -0.10775927  0.6482842 ]
 [ 0.64992857  0.4195397  -0.2552234  -0.58003473]
 [ 0.12040879  0.6010642   0.75331604  0.23819835]]"
20200228-194813.990268,6,[1.6256942  1.619564   1.1621532  0.57486594],"[[ 0.31592628 -0.2893831   0.45383304 -0.6014687 ]
 [ 0.74528396 -0.03051395  0.38530186  0.35811   ]
 [ 0.46273592  0.6131807  -0.3828504   0.07950071]
 [-0.14049806  0.7029282   0.35228395 -0.46391147]
 [-0.33298424  0.2126683   0.6122908   0.5370836 ]]","[[ 0.6084287  -0.28071553  0.6026083  -0.4334477 ]
 [ 0.6875347   0.31915063 -0.07987633  0.64734757]
 [ 0.16552226  0.76364696 -0.22896022 -0.58053696]
 [-0.36015716  0.48598894  0.7603031   0.23673058]]"
20200228-194813.990268,7,[1.6310352 1.605352  1.1509668 0.5749782],"[[-0.4225993  -0.0731499   0.44983026 -0.60127515]
 [-0.6214708   0.39694208  0.40781918  0.35694247]
 [-0.01930066  0.77958757 -0.35397637  0.07991707]
 [ 0.5261611   0.4762902   0.37196514 -0.4644506 ]
 [ 0.3974499  -0.04977766  0.6063658   0.5375499 ]]","[[-0.6547039   0.10385399  0.60972893 -0.43452036]
 [-0.3723124   0.6636547  -0.05193067  0.64672226]
 [ 0.31085607  0.72438323 -0.20345086 -0.5807286 ]
 [ 0.57975453  0.15506841  0.76429176  0.23600243]]"
20200228-194813.990268,8,[1.6393113 1.5900706 1.1365429 0.5751106],"[[-0.42308244  0.08705865  0.44342765 -0.60096806]
 [-0.6113343  -0.3955532   0.4301447   0.3559968 ]
 [-0.00105189 -0.7916189  -0.3217144   0.08043969]
 [ 0.53818    -0.44860977  0.39435363 -0.4648597 ]
 [ 0.3970299   0.08971099  0.5994438   0.5380877 ]]","[[-0.65112764 -0.09335629  0.61452216 -0.43552268]
 [-0.35666597 -0.6743569  -0.02240882  0.6461656 ]
 [ 0.32791317 -0.724293   -0.17430758 -0.58093834]
 [ 0.5842048  -0.10921135  0.7690757   0.23516041]]"
20200228-194813.990268,9,[1.6481868 1.570069  1.1198512 0.575059 ],"[[-0.4231914  -0.10865556  0.433794   -0.6015307 ]
 [-0.6055266   0.38463578  0.45509374  0.35300767]
 [ 0.0094083   0.80377936 -0.2842197   0.08017515]
 [ 0.5450248   0.4218185   0.41715154 -0.46714327]
 [ 0.39636624 -0.12750414  0.5915371   0.5374908 ]]","[[-0.6489905   0.07138371  0.6181805  -0.4376856 ]
 [-0.34778106  0.68055433  0.01281187  0.6447716 ]
 [ 0.33767587  0.72636706 -0.14125127 -0.58173376]
 [ 0.5863742   0.06435239  0.7731345   0.23299617]]"
