Timestamp,Epoch,s,u,v
20200220-113739.469754,0,[0.02924823 0.00804517],"[[-0.33358276  0.6198045 ]
 [ 0.3138794   0.78351766]
 [-0.8889331   0.04406854]]","[[ 0.40840718  0.9127998 ]
 [ 0.9127998  -0.40840718]]"
20200220-113739.469754,1,[0.03456524 0.01065789],"[[-0.2580666   0.594429  ]
 [ 0.61761236  0.7077068 ]
 [-0.74293786  0.38184398]]","[[ 0.53445375  0.8451977 ]
 [ 0.8451977  -0.53445375]]"
20200220-113739.469754,2,[0.04252085 0.01194535],"[[-0.19114566  0.605001  ]
 [ 0.78681326  0.5652388 ]
 [-0.58684593  0.5607843 ]]","[[ 0.6178826  0.7862703]
 [ 0.7862703 -0.6178826]]"
20200220-113739.469754,3,[0.05196426 0.01250706],"[[-0.14598435  0.61382794]
 [ 0.8697441   0.4533352 ]
 [-0.47141716  0.6462992 ]]","[[ 0.66051775  0.7508105 ]
 [ 0.7508105  -0.66051775]]"
20200220-113739.469754,4,[0.06180648 0.01276984],"[[-0.11697754  0.61916983]
 [ 0.91439074  0.37226385]
 [-0.38756382  0.69141036]]","[[ 0.68259114  0.73080057]
 [ 0.73080057 -0.68259114]]"
20200220-113739.469754,5,[0.07220359 0.01289794],"[[-0.09665404  0.6227945 ]
 [ 0.94017744  0.31315732]
 [-0.32668683  0.7169796 ]]","[[ 0.69489926  0.71910703]
 [ 0.71910703 -0.69489926]]"
20200220-113739.469754,6,[0.08262264 0.01296233],"[[-0.08189979  0.6253345 ]
 [ 0.9561392   0.2690207 ]
 [-0.2812302   0.73251927]]","[[ 0.7020831  0.7120951]
 [ 0.7120951 -0.7020831]]"
20200220-113739.469754,7,[0.09330558 0.01299534],"[[-0.0700322   0.62724376]
 [ 0.9667405   0.23441875]
 [-0.24598536  0.7427068 ]]","[[ 0.70658284  0.7076304 ]
 [ 0.7076304  -0.70658284]]"
20200220-113739.469754,8,[0.1036007  0.01301144],"[[-0.06088535 -0.62866783]
 [ 0.9741091  -0.20685238]
 [-0.21772593 -0.74965924]]","[[ 0.7094722  -0.70473355]
 [ 0.70473355  0.7094722 ]]"
20200220-113739.469754,9,[0.11433163 0.0130182 ],"[[-0.05266343 -0.629756  ]
 [ 0.97933996 -0.18430585]
 [-0.19524345 -0.75461173]]","[[ 0.71139836 -0.70278907]
 [ 0.70278907  0.71139836]]"
20200220-113739.469754,10,[0.12478474 0.01301977],"[[-0.04617304 -0.63060814]
 [ 0.9833151  -0.1652996 ]
 [-0.17595343 -0.75829375]]","[[ 0.71272635 -0.7014422 ]
 [ 0.7014422   0.71272635]]"
20200220-113739.469754,11,[0.13574007 0.01301841],"[[-0.0401036  -0.6312501 ]
 [ 0.9862923  -0.14918037]
 [-0.16005868 -0.76109684]]","[[ 0.71363163 -0.7005211 ]
 [ 0.7005211   0.71363163]]"
20200220-113739.469754,12,[0.14579009 0.01301552],"[[-0.03491126 -0.63170993]
 [ 0.9885403  -0.13570167]
 [-0.14686525 -0.76323485]]","[[ 0.71425956 -0.69988096]
 [ 0.69988096  0.71425956]]"
20200220-113739.469754,13,[0.15671226 0.01301175],"[[-0.03028015 -0.63207877]
 [ 0.9903827  -0.1236016 ]
 [-0.13500093 -0.7649832 ]]","[[ 0.71469676 -0.69943446]
 [ 0.69943446  0.71469676]]"
20200220-113739.469754,14,[0.16657043 0.01300768],"[[-0.02687578 -0.6323877 ]
 [ 0.99186623 -0.11325966]
 [-0.12441482 -0.76632774]]","[[ 0.71501154 -0.69911265]
 [ 0.69911265  0.71501154]]"
20200220-113739.469754,15,[0.1770753  0.01300334],"[[-0.02300897 -0.6325805 ]
 [ 0.9930746  -0.10369994]
 [-0.11521089 -0.7675208 ]]","[[ 0.7152314 -0.6988877]
 [ 0.6988877  0.7152314]]"
20200220-113739.469754,16,[0.1875128  0.01299935],"[[-0.01963611 -0.6326923 ]
 [ 0.9940309  -0.09546707]
 [-0.107318   -0.7684965 ]]","[[ 0.7153631 -0.698753 ]
 [ 0.698753   0.7153631]]"
20200220-113739.469754,17,[0.19872002 0.01299553],"[[-0.01684066 -0.63280284]
 [ 0.99487245 -0.08782724]
 [-0.09972508 -0.7693157 ]]","[[ 0.7154321 -0.6986823]
 [ 0.6986823  0.7154321]]"
20200220-113739.469754,18,[0.20904073 0.01299198],"[[-0.01401553 -0.63281673]
 [ 0.99553376 -0.08112314]
 [-0.09336062 -0.7700402 ]]","[[ 0.7154762  -0.69863707]
 [ 0.69863707  0.7154762 ]]"
20200220-113739.469754,19,[0.21839952 0.0129886 ],"[[-0.01202273 -0.632863  ]
 [ 0.9961178  -0.07510246]
 [-0.08720614 -0.7706129 ]]","[[ 0.7155117 -0.6986008]
 [ 0.6986008  0.7155117]]"
20200220-113739.469754,20,[0.22813065 0.01298566],"[[-0.00972641 -0.6328083 ]
 [ 0.99657935 -0.06968196]
 [-0.08206853 -0.77116686]]","[[ 0.7155111 -0.6986014]
 [ 0.6986014  0.7155111]]"
20200220-113739.469754,21,[0.23827267 0.01298311],"[[-0.00765442 -0.6327362 ]
 [ 0.9969772  -0.06470044]
 [-0.077316   -0.77165973]]","[[ 0.7154842 -0.6986289]
 [ 0.6986289  0.7154842]]"
20200220-113739.469754,22,[0.247857   0.01298038],"[[-0.00551308 -0.6326345 ]
 [ 0.9973323  -0.05984965]
 [-0.07278796 -0.7721345 ]]","[[ 0.7154673 -0.6986462]
 [ 0.6986462  0.7154673]]"
20200220-113739.469754,23,[0.25789365 0.01297804],"[[-0.00355797 -0.6325216 ]
 [ 0.99764115 -0.05534298]
 [-0.06855349 -0.772563  ]]","[[ 0.7154301  -0.69868433]
 [ 0.69868433  0.7154301 ]]"
20200220-113739.469754,24,[0.2673137  0.01297595],"[[-0.00215513 -0.6324359 ]
 [ 0.9979164  -0.05131301]
 [-0.06448719 -0.7729113 ]]","[[ 0.71539116 -0.6987242 ]
 [ 0.6987242   0.71539116]]"
20200220-113739.469754,25,[0.27782783 0.01297392],"[[-2.4181232e-04 -6.3228846e-01]
 [ 9.9815822e-01 -4.7150500e-02]
 [-6.0663484e-02 -7.7329707e-01]]","[[ 0.7153393 -0.6987773]
 [ 0.6987773  0.7153393]]"
20200220-113739.469754,26,[0.2876684  0.01297241],"[[ 0.00128277 -0.6321227 ]
 [ 0.99835026 -0.04367144]
 [-0.05740453 -0.7736369 ]]","[[ 0.71528095 -0.6988371 ]
 [ 0.6988371   0.71528095]]"
20200220-113739.469754,27,[0.29746228 0.01297081],"[[ 0.00285645 -0.63194454]
 [ 0.99852616 -0.04019984]
 [-0.05419552 -0.77397037]]","[[ 0.7152274  -0.69889176]
 [ 0.69889176  0.7152274 ]]"
20200220-113739.469754,28,[0.30721748 0.01296938],"[[ 0.00440772 -0.6317454 ]
 [ 0.99867755 -0.03692645]
 [-0.05122349 -0.7742959 ]]","[[ 0.7151719 -0.6989487]
 [ 0.6989487  0.7151719]]"
20200220-113739.469754,29,[0.31758788 0.01296791],"[[ 0.00578878 -0.63158   ]
 [ 0.99883026 -0.03356722]
 [-0.04800516 -0.7745837 ]]","[[ 0.7151129  -0.69900894]
 [ 0.69900894  0.7151129 ]]"
20200220-113739.469754,30,[0.32651547 0.01296688],"[[ 0.00703668 -0.63136196]
 [ 0.9989379  -0.03087816]
 [-0.04554028 -0.77487344]]","[[ 0.71506006 -0.6990631 ]
 [ 0.6990631   0.71506006]]"
20200220-113739.469754,31,[0.33608046 0.01296557],"[[ 0.00821439 -0.63118887]
 [ 0.99905705 -0.02788643]
 [-0.04263172 -0.7751277 ]]","[[ 0.71500957 -0.6991146 ]
 [ 0.6991146   0.71500957]]"
20200220-113739.469754,32,[0.34560415 0.0129646 ],"[[ 0.00918738 -0.63101614]
 [ 0.9991594  -0.02520121]
 [-0.03995241 -0.7753602 ]]","[[ 0.7149539 -0.6991716]
 [ 0.6991716  0.7149539]]"
20200220-113739.469754,33,[0.3543141  0.01296388],"[[ 0.01023437 -0.63078356]
 [ 0.9992312  -0.02291469]
 [-0.03784431 -0.77562046]]","[[ 0.71490157 -0.69922507]
 [ 0.69922507  0.71490157]]"
20200220-113739.469754,34,[0.36373824 0.01296312],"[[ 0.01145359 -0.6305303 ]
 [ 0.9992961  -0.02050903]
 [-0.03572195 -0.7758937 ]]","[[ 0.71484566 -0.6992823 ]
 [ 0.6992823   0.71484566]]"
20200220-113739.469754,35,[0.37385997 0.0129625 ],"[[ 0.01264344 -0.6302753 ]
 [ 0.9993546  -0.01813787]
 [-0.03362077 -0.77615964]]","[[ 0.714783   -0.69934624]
 [ 0.69934624  0.714783  ]]"
20200220-113739.469754,36,[0.3823579 0.0129618],"[[ 0.01365174 -0.63002414]
 [ 0.9994045  -0.01601484]
 [-0.03169235 -0.7764104 ]]","[[ 0.7147372  -0.69939315]
 [ 0.69939315  0.7147372 ]]"
20200220-113739.469754,37,[0.39163986 0.01296121],"[[ 0.01453884 -0.62979627]
 [ 0.999455   -0.01386726]
 [-0.02963573 -0.77663636]]","[[ 0.7146846 -0.6994468]
 [ 0.6994468  0.7146846]]"
20200220-113739.469754,38,[0.40078536 0.0129607 ],"[[ 0.01554258 -0.6295292 ]
 [ 0.9994913  -0.01185739]
 [-0.02784955 -0.7768863 ]]","[[ 0.7146328 -0.6994998]
 [ 0.6994998  0.7146328]]"
20200220-113739.469754,39,[0.40987325 0.01296024],"[[ 0.01651106 -0.62925744]
 [ 0.999522   -0.00992841]
 [-0.02613881 -0.77713346]]","[[ 0.714582  -0.6995516]
 [ 0.6995516  0.714582 ]]"
20200220-113739.469754,40,[0.41897732 0.01295981],"[[ 0.01749662 -0.6289707 ]
 [ 0.9995461  -0.00806522]
 [-0.02452622 -0.7773874 ]]","[[ 0.7145317 -0.6996031]
 [ 0.6996031  0.7145317]]"
20200220-113739.469754,41,[0.42795074 0.01295945],"[[ 0.01839836 -0.6286919 ]
 [ 0.9995673  -0.00628255]
 [-0.02295018 -0.77762914]]","[[ 0.7144831  -0.69965273]
 [ 0.69965273  0.7144831 ]]"
20200220-113739.469754,42,[0.43783364 0.01295889],"[[ 0.01945478 -0.628398  ]
 [ 0.9995847  -0.00431255]
 [-0.02125783 -0.77787995]]","[[ 0.71443164 -0.6997052 ]
 [ 0.6997052   0.71443164]]"
