Timestamp,Epoch,s,u,v
20200222-002129.121009,0,[1.7321972 1.0024151],"[[ 0.4063605  -0.70597863]
 [ 0.8204586   0.00252607]
 [ 0.40214297  0.70822877]]","[[ 0.70853376 -0.705677  ]
 [ 0.705677    0.70853376]]"
20200222-002129.121009,1,[1.7272353 1.0049167],"[[ 0.40189952 -0.7060375 ]
 [ 0.82473135  0.00242642]
 [ 0.39786315  0.7081704 ]]","[[ 0.7084683  -0.70574254]
 [ 0.70574254  0.7084683 ]]"
20200222-002129.121009,2,[1.7329382 1.0072845],"[[ 0.39833957 -0.70608485]
 [ 0.8280908   0.00234494]
 [ 0.39445055  0.7081234 ]]","[[ 0.7084138  -0.70579743]
 [ 0.70579743  0.7084138 ]]"
20200222-002129.121009,3,[1.7282894 1.0097988],"[[ 0.3939414  -0.7061417 ]
 [ 0.8321813   0.00224116]
 [ 0.39023638  0.708067  ]]","[[ 0.70834684 -0.70586455]
 [ 0.70586455  0.70834684]]"
20200222-002129.121009,4,[1.7341609 1.0121748],"[[ 0.39056492 -0.7061485 ]
 [ 0.83535236  0.00226334]
 [ 0.3868403   0.7080602 ]]","[[ 0.70835274 -0.7058586 ]
 [ 0.7058586   0.70835274]]"
20200222-002129.121009,5,[1.7349031 1.0146217],"[[ 3.8457564e-01  7.0726901e-01]
 [ 8.3885735e-01  4.2197108e-04]
 [ 3.8525283e-01 -7.0694423e-01]]","[[ 0.70684946  0.70736396]
 [ 0.70736396 -0.70684946]]"
20200222-002129.121009,6,[1.7357628 1.0170692],"[[ 0.38302097 -0.70617354]
 [ 0.8422699   0.00227228]
 [ 0.37931058  0.70803523]]","[[ 0.7083501 -0.7058612]
 [ 0.7058612  0.7083501]]"
20200222-002129.121009,7,[1.7316924 1.0196077],"[[ 0.37891263 -0.70615804]
 [ 0.8460125   0.00235695]
 [ 0.37508392  0.70805025]]","[[ 0.7083998 -0.7058114]
 [ 0.7058114  0.7083998]]"
20200222-002129.121009,8,[1.727843  1.0221608],"[[ 0.37484574 -0.7061436 ]
 [ 0.84966165  0.00244167]
 [ 0.37089875  0.70806444]]","[[ 0.7084494 -0.7057616]
 [ 0.7057616  0.7084494]]"
20200222-002129.121009,9,[1.7242072 1.0247282],"[[ 0.3706622  -0.70620036]
 [ 0.85321885  0.00232321]
 [ 0.36691597  0.7080083 ]]","[[ 0.70837545 -0.7058359 ]
 [ 0.7058359   0.70837545]]"
20200222-002129.121009,10,[1.7257286 1.0272225],"[[ 0.36923358 -0.705188  ]
 [ 0.85626215  0.00498882]
 [ 0.36122206  0.70900255]]","[[ 0.70984286 -0.70435995]
 [ 0.70435995  0.70984286]]"
20200222-002129.121009,11,[1.7272817 1.0297303],"[[ 0.36337915 -0.7063139 ]
 [ 0.8592526   0.00206828]
 [ 0.3600567   0.7078959 ]]","[[ 0.7082178 -0.7059941]
 [ 0.7059941  0.7082178]]"
20200222-002129.121009,12,[1.7289298 1.0322341],"[[ 3.5758826e-01  7.0739627e-01]
 [ 8.6215687e-01  8.4277987e-04]
 [ 3.5890943e-01 -7.0681655e-01]]","[[ 0.70660317  0.70760995]
 [ 0.70760995 -0.70660317]]"
20200222-002129.121009,13,[1.7258439 1.0348318],"[[ 0.35359153  0.7074235 ]
 [ 0.8653918   0.00094303]
 [ 0.3550635  -0.7067892 ]]","[[ 0.70654327  0.70766985]
 [ 0.70766985 -0.70654327]]"
20200222-002129.121009,14,[1.7277576 1.0373557],"[[ 0.34801847  0.7084105 ]
 [ 0.868127    0.00372431]
 [ 0.35389113 -0.70579094]]","[[ 0.7050104  0.709197 ]
 [ 0.709197  -0.7050104]]"
20200222-002129.121009,15,[1.7249596 1.0399723],"[[ 0.3443038   0.7083453 ]
 [ 0.87120473  0.00358212]
 [ 0.3499388  -0.70585704]]","[[ 0.70509785  0.70910996]
 [ 0.70910996 -0.70509785]]"
20200222-002129.121009,16,[1.7223393 1.0426029],"[[ 0.3406381   0.7082816 ]
 [ 0.87420017  0.00343806]
 [ 0.34603447 -0.7059218 ]]","[[ 0.70518625  0.7090221 ]
 [ 0.7090221  -0.70518625]]"
20200222-002129.121009,17,[1.729267  1.0450661],"[[ 0.33802322  0.7082323 ]
 [ 0.8763167   0.00332561]
 [ 0.3432337  -0.7059717 ]]","[[ 0.70525783  0.7089509 ]
 [ 0.7089509  -0.70525783]]"
20200222-002129.121009,18,[1.7314621 1.047612 ],"[[ 3.3707798e-01  7.0725733e-01]
 [ 8.7878531e-01  4.7242641e-04]
 [ 3.3780903e-01 -7.0695627e-01]]","[[ 0.7068302  0.7073832]
 [ 0.7073832 -0.7068302]]"
20200222-002129.121009,19,[1.7337462 1.0501549],"[[ 0.3315491   0.70826334]
 [ 0.881177    0.00353211]
 [ 0.33704942 -0.7059394 ]]","[[ 0.70514923  0.70905894]
 [ 0.70905894 -0.70514923]]"
20200222-002129.121009,20,[1.7361003 1.052694 ],"[[ 0.32609096  0.7092272 ]
 [ 0.8834963   0.00656834]
 [ 0.33630177 -0.70494926]]","[[ 0.7034846   0.71071047]
 [ 0.71071047 -0.7034846 ]]"
20200222-002129.121009,21,[1.7385228 1.0552303],"[[ 0.3207036   0.7101499 ]
 [ 0.8857453   0.00958019]
 [ 0.33556584 -0.70398515]]","[[ 0.7018368  0.7123378]
 [ 0.7123378 -0.7018368]]"
20200222-002129.121009,22,[1.7471312 1.057882 ],"[[ 0.31818473  0.7100193 ]
 [ 0.88779116  0.00927484]
 [ 0.33254397 -0.70412135]]","[[ 0.7020281   0.71214914]
 [ 0.71214914 -0.7020281 ]]"
20200222-002129.121009,23,[1.7494997 1.0604558],"[[ 0.3177446   0.708986  ]
 [ 0.88998145  0.00603256]
 [ 0.32706523 -0.705197  ]]","[[ 0.70381594  0.7103824 ]
 [ 0.7103824  -0.70381594]]"
20200222-002129.121009,24,[1.7474713 1.0631143],"[[ 0.31443077  0.70890766]
 [ 0.8924758   0.00584868]
 [ 0.3234505  -0.7052769 ]]","[[ 0.7039256  0.7102737]
 [ 0.7102737 -0.7039256]]"
20200222-002129.121009,25,[1.7455887 1.0657843],"[[ 0.31098932  0.70889395]
 [ 0.8948995   0.00589952]
 [ 0.32006353 -0.70529056]]","[[ 0.70389664  0.7103024 ]
 [ 0.7103024  -0.70389664]]"
20200222-002129.121009,26,[1.748259  1.0683857],"[[ 0.31058007  0.7079411 ]
 [ 0.8968896   0.00278088]
 [ 0.31484798 -0.7062662 ]]","[[ 0.70560133  0.70860904]
 [ 0.70860904 -0.70560133]]"
20200222-002129.121009,27,[1.7465798 1.0710737],"[[ 0.3073768   0.70788896]
 [ 0.8991921   0.00262773]
 [ 0.31140524 -0.70631886]]","[[ 0.7056916  0.7085192]
 [ 0.7085192 -0.7056916]]"
20200222-002129.121009,28,[1.7494262 1.0736687],"[[ 0.30232817  0.70876336]
 [ 0.9010422   0.00566798]
 [ 0.31099924 -0.7054236 ]]","[[ 0.70404285  0.7101575 ]
 [ 0.7101575  -0.70404285]]"
20200222-002129.121009,29,[1.747937  1.0763727],"[[ 0.29906633  0.7087515 ]
 [ 0.90322816  0.00571913]
 [ 0.3077953  -0.70543486]]","[[ 0.7040131  0.710187 ]
 [ 0.710187  -0.7040131]]"
20200222-002129.121009,30,[1.75089   1.0789626],"[[ 0.2941823   0.70955974]
 [ 0.9049672   0.00867131]
 [ 0.3073938  -0.70459163]]","[[ 0.7024125   0.71177006]
 [ 0.71177006 -0.7024125 ]]"
20200222-002129.121009,31,[1.7538998 1.0815505],"[[ 0.28917587  0.71039623]
 [ 0.9066483   0.01184711]
 [ 0.30719042 -0.7037021 ]]","[[ 0.7006873   0.71346843]
 [ 0.71346843 -0.7006873 ]]"
20200222-002129.121009,32,[1.7526352 1.0842785],"[[ 0.28629804  0.71028376]
 [ 0.9086808   0.01156899]
 [ 0.3038634  -0.7038207 ]]","[[ 0.7008507   0.71330804]
 [ 0.71330804 -0.7008507 ]]"
20200222-002129.121009,33,[1.7599466 1.0868092],"[[ 0.28456214  0.71018595]
 [ 0.9099446   0.01130232]
 [ 0.30170393 -0.7039232 ]]","[[ 0.7010198   0.71314174]
 [ 0.71314174 -0.7010198 ]]"
20200222-002129.121009,34,[1.762956  1.0894678],"[[ 0.28464958  0.7092664 ]
 [ 0.91156286  0.0079495 ]
 [ 0.29669476 -0.70489573]]","[[ 0.70285445  0.71133375]
 [ 0.71133375 -0.70285445]]"
20200222-002129.121009,35,[1.7618382 1.0922065],"[[ 0.28184348  0.7091833 ]
 [ 0.91346025  0.00771654]
 [ 0.29352158 -0.70498216]]","[[ 0.7029899   0.71119994]
 [ 0.71119994 -0.7029899 ]]"
20200222-002129.121009,36,[1.7608246 1.0949563],"[[ 0.279086    0.70910215]
 [ 0.915303    0.00748366]
 [ 0.29039884 -0.70506597]]","[[ 0.703125   0.7110662]
 [ 0.7110662 -0.703125 ]]"
20200222-002129.121009,37,[1.7640778 1.097581 ],"[[ 0.27426237  0.7099144 ]
 [ 0.9167196   0.01078519]
 [ 0.29052573 -0.70420516]]","[[ 0.70133513  0.7128317 ]
 [ 0.7128317  -0.70133513]]"
20200222-002129.121009,38,[1.7673779 1.1002132],"[[ 0.26964837  0.7106519 ]
 [ 0.9180875   0.01386732]
 [ 0.29052523 -0.70340693]]","[[ 0.69967103  0.71446514]
 [ 0.71446514 -0.69967103]]"
20200222-002129.121009,39,[1.7807628 1.1029005],"[[ 0.2709915   0.70973176]
 [ 0.9189961   0.01021707]
 [ 0.28637332 -0.7043977 ]]","[[ 0.70169103  0.7124814 ]
 [ 0.7124814  -0.70169103]]"
20200222-002129.121009,40,[1.7839513 1.1055028],"[[ 0.2663239   0.71048737]
 [ 0.92030966  0.01345199]
 [ 0.28653383 -0.70358145]]","[[ 0.69994515  0.7141966 ]
 [ 0.7141966  -0.69994515]]"
20200222-002129.121009,41,[1.7932438 1.1082623],"[[ 0.2646045   0.71039325]
 [ 0.9214575   0.01321214]
 [ 0.28442964 -0.7036806 ]]","[[ 0.70010054  0.7140442 ]
 [ 0.7140442  -0.70010054]]"
20200222-002129.121009,42,[1.7923253 1.111013 ],"[[ 0.26192024  0.71033514]
 [ 0.92308587  0.01314765]
 [ 0.28162032 -0.7037405 ]]","[[ 0.700135   0.7140104]
 [ 0.7140104 -0.700135 ]]"
20200222-002129.121009,43,[1.7954453 1.1136991],"[[ 0.2624086   0.70948386]
 [ 0.92437905  0.00966421]
 [ 0.2768845  -0.7046554 ]]","[[ 0.70202386  0.71215343]
 [ 0.71215343 -0.70202386]]"
20200222-002129.121009,44,[1.79465  1.116466],"[[ 0.25995308  0.7093982 ]
 [ 0.92592806  0.00939319]
 [ 0.27401042 -0.7047455 ]]","[[ 0.7021781  0.7120013]
 [ 0.7120013 -0.7021781]]"
20200222-002129.121009,45,[1.7978404 1.1191384],"[[ 0.26060763  0.7085418 ]
 [ 0.9271375   0.00576967]
 [ 0.26925793 -0.7056452 ]]","[[ 0.7041422  0.7100589]
 [ 0.7100589 -0.7041422]]"
20200222-002129.121009,46,[1.7971625 1.1219199],"[[ 0.25818712  0.7084807 ]
 [ 0.92860836  0.00555182]
 [ 0.26650703 -0.70570827]]","[[ 0.7042661   0.70993614]
 [ 0.70993614 -0.7042661 ]]"
20200222-002129.121009,47,[1.8043414 1.1244607],"[[ 0.2567606   0.7084716 ]
 [ 0.9294091   0.0055643 ]
 [ 0.26509055 -0.7057175 ]]","[[ 0.7042659   0.70993644]
 [ 0.70993644 -0.7042659 ]]"
20200222-002129.121009,48,[1.8037192 1.1272495],"[[ 0.2544027   0.70841306]
 [ 0.93081826  0.00534803]
 [ 0.26240566 -0.7057779 ]]","[[ 0.7043885  0.7098147]
 [ 0.7098147 -0.7043885]]"
20200222-002129.121009,49,[1.8031735 1.1300495],"[[ 0.25208855  0.70835644]
 [ 0.93218684  0.00513294]
 [ 0.25976753 -0.7058364 ]]","[[ 0.70451045  0.7096937 ]
 [ 0.7096937  -0.70451045]]"
20200222-002129.121009,50,[1.8027021 1.1328605],"[[ 0.24981757  0.7083014 ]
 [ 0.9335159   0.00491935]
 [ 0.25717553 -0.70589304]]","[[ 0.70463157  0.7095734 ]
 [ 0.7095734  -0.70463157]]"
