Timestamp,Epoch,s,u,v
20200227-213720.806061,0,[3.1744125  1.802962   1.499286   0.71661836],"[[ 0.16377059  0.02108665  0.9773748  -0.12836201]
 [ 0.4777909  -0.18238346 -0.18366458 -0.70781535]
 [-0.7636344  -0.48917115  0.10266457 -0.18305208]
 [ 0.17157857  0.10462639  0.02039063  0.58462214]
 [ 0.3637571  -0.84620166  0.00711393  0.3274608 ]]","[[ 0.70464104 -0.49476838  0.40619862 -0.30608577]
 [ 0.40936944  0.81372994  0.38761854  0.14146616]
 [-0.5655334   0.04033653  0.68147516 -0.46274927]
 [-0.12676822 -0.30235964  0.46941087  0.8198551 ]]"
20200227-213720.806061,1,[3.1723719  1.8017052  1.4714195  0.71987915],"[[ 0.15709516  0.04594176  0.97861266 -0.11971083]
 [ 0.4772674  -0.18904713 -0.17052257 -0.709826  ]
 [-0.7677283  -0.48248208  0.11061408 -0.18341249]
 [ 0.16906789  0.10451301  0.01149417  0.58350194]
 [ 0.3599261  -0.8476076   0.02952775  0.3281796 ]]","[[ 0.6994953  -0.48608416  0.42806703 -0.30197215]
 [ 0.40914145  0.8228371   0.36723554  0.14380759]
 [-0.5707012   0.06108002  0.6785045  -0.45847705]
 [-0.1327028  -0.2879769   0.47066805  0.8233658 ]]"
20200227-213720.806061,2,[3.1714654 1.7989662 1.4494821 0.7235972],"[[ 0.15305425  0.07427025  0.9780567  -0.11448472]
 [ 0.47617418 -0.19488789 -0.15996462 -0.71119356]
 [-0.7710318  -0.47545832  0.12165198 -0.18354651]
 [ 0.16732988  0.10474801  0.00440259  0.5828099 ]
 [ 0.3568523  -0.84821594  0.05474589  0.32823855]]","[[ 0.69584936 -0.4741728   0.448931   -0.2990233 ]
 [ 0.40954408  0.83320266  0.341987    0.14523132]
 [-0.5739378   0.08432723  0.67529273 -0.4554823 ]
 [-0.13661303 -0.27170324  0.47485307  0.8258505 ]]"
20200227-213720.806061,3,[3.1719866  1.7974714  1.4227808  0.72713876],"[[ 0.14943959  0.09755202  0.97729063 -0.1072108 ]
 [ 0.47544146 -0.19903359 -0.1492821  -0.7127373 ]
 [-0.77348363 -0.47001058  0.13048992 -0.18338798]
 [ 0.16568288  0.1048003  -0.00382666  0.5821679 ]
 [ 0.3548173  -0.84792495  0.0746719   0.32857347]]","[[ 0.6931317  -0.4633621   0.46642068 -0.29549307]
 [ 0.40944776  0.8413647   0.32062113  0.14717492]
 [-0.5765701   0.10302483  0.6731732  -0.45143214]
 [-0.13959938 -0.25843257  0.4759121   0.8289949 ]]"
20200227-213720.806061,4,[3.1731744  1.7971379  1.3942469  0.73037755],"[[ 0.14508685  0.11319061  0.97713625 -0.09759074]
 [ 0.4748252  -0.20205353 -0.13817464 -0.7145172 ]
 [-0.7762432  -0.4652901   0.13517587 -0.18322824]
 [ 0.16374932  0.10428616 -0.01281389  0.58133173]
 [ 0.35231218 -0.84793377  0.08761182  0.32927513]]","[[ 0.6897899  -0.45626596  0.48097458 -0.29098958]
 [ 0.40935278  0.8462738   0.30631647  0.1497366 ]
 [-0.57973784  0.11626821  0.67170143 -0.44632223]
 [-0.14326464 -0.249246    0.47291774  0.8328869 ]]"
20200227-213720.806061,5,[3.176117   1.7965736  1.3687485  0.73371166],"[[ 0.14347064  0.12702642  0.97636443 -0.08913545]
 [ 0.4743449  -0.20379479 -0.12948601 -0.7159187 ]
 [-0.7776495  -0.46182993  0.14103362 -0.18294795]
 [ 0.16242757  0.10393068 -0.02100433  0.5808033 ]
 [ 0.35112843 -0.84749234  0.09804942  0.3297163 ]]","[[ 0.68858635 -0.44920522  0.49159235 -0.28705412]
 [ 0.40956953  0.8506869   0.29238403  0.15197407]
 [-0.5806703   0.12747937  0.6720103  -0.44155747]
 [-0.14464925 -0.24144438  0.47037262  0.83637947]]"
20200227-213720.806061,6,[3.1795464 1.7968098 1.3405901 0.7374872],"[[ 0.14199686  0.13823101  0.9753954  -0.08396205]
 [ 0.47385612 -0.20446654 -0.12386147 -0.71678174]
 [-0.77859056 -0.45935467  0.14516634 -0.18275034]
 [ 0.16149877  0.10328085 -0.02688163  0.5808281 ]
 [ 0.35073078 -0.84700185  0.10707921  0.32926425]]","[[ 0.68787867 -0.44293344  0.49981573 -0.2842838 ]
 [ 0.40950456  0.8541957   0.2809748   0.15397748]
 [-0.5813748   0.13651554  0.6721565  -0.4376898 ]
 [-0.14536987 -0.23563413  0.46844745  0.83898836]]"
20200227-213720.806061,7,[3.1831458  1.7953814  1.3168991  0.74110246],"[[ 0.13995801  0.15332434  0.9738745  -0.07715753]
 [ 0.47266266 -0.20639557 -0.11565782 -0.7179621 ]
 [-0.78101546 -0.45401022  0.15084234 -0.18236013]
 [ 0.16034026  0.10272814 -0.03398945  0.5804837 ]
 [ 0.34829277 -0.8468851   0.11951356  0.32918215]]","[[ 0.6854698  -0.43519646  0.5118384  -0.28063676]
 [ 0.41050577  0.8583291   0.26547554  0.15581743]
 [-0.5829652   0.15004665  0.6706832  -0.43338403]
 [-0.14753939 -0.22663048  0.46661383  0.8421059 ]]"
20200227-213720.806061,8,[3.188233  1.7964602 1.2916162 0.7439577],"[[ 0.13932325  0.15604822  0.9743477  -0.06373025]
 [ 0.47255558 -0.20572248 -0.10639358 -0.71981007]
 [-0.7814865  -0.45334345  0.15300687 -0.18167381]
 [ 0.15901387  0.10167588 -0.0442744   0.5796355 ]
 [ 0.34824458 -0.8470357   0.1181372   0.32989365]]","[[ 0.68532395 -0.43357995  0.51640093 -0.2750817 ]
 [ 0.41040984  0.85892445  0.26147643  0.15950865]
 [-0.5831155   0.1522685   0.67485476 -0.42586634]
 [-0.14789012 -0.22599089  0.45774642  0.8470687 ]]"
20200227-213720.806061,9,[3.1918554  1.7949824  1.2716501  0.74778664],"[[ 0.13824439  0.17121853  0.9721906  -0.05845665]
 [ 0.47141662 -0.20708011 -0.0994553  -0.72051924]
 [-0.7834977  -0.44803065  0.15932238 -0.18132357]
 [ 0.1580148   0.10118491 -0.05003955  0.5795734 ]
 [ 0.34614712 -0.8466597   0.13064013  0.32962358]]","[[ 0.6836071  -0.4251062   0.527369   -0.27175057]
 [ 0.41150466  0.8629602   0.24511041  0.16088745]
 [-0.58397907  0.1659435   0.67324394 -0.4221066 ]
 [-0.14937945 -0.21690401  0.45666793  0.8497606 ]]"
