Timestamp,Epoch,s,u,v
20200226-195613.470187,0,[1.8434553  1.0881035  0.7728266  0.10234766],"[[ 0.1130359  -0.49841443 -0.8170551  -0.25248265]
 [-0.23024598  0.81963545 -0.48076883 -0.193287  ]
 [-0.11872008 -0.15082681  0.14343344 -0.50384474]
 [ 0.69196683  0.19223051  0.1957591  -0.61049837]
 [ 0.66430223  0.14170244 -0.20588343  0.52184725]]","[[ 0.46689248  0.7989864  -0.36842552  0.08885413]
 [-0.28457296 -0.03433581 -0.20963812  0.9348215 ]
 [ 0.6146049  -0.599853   -0.5097672   0.05074426]
 [ 0.56858677 -0.02486729  0.74863356  0.34005708]]"
20200226-195613.470187,1,[1.8290032  1.0884576  0.7719816  0.10021564],"[[ 0.10471278 -0.49989623 -0.81759274 -0.25009212]
 [-0.24236645  0.8169888  -0.4795524  -0.19459651]
 [-0.12021179 -0.15105845  0.14784779 -0.52571714]
 [ 0.6940068   0.19711496  0.18444943 -0.6039631 ]
 [ 0.6589365   0.14477587 -0.2137551   0.5083665 ]]","[[ 0.4582121   0.80062187 -0.37391207  0.09610516]
 [-0.29280722 -0.03690241 -0.19756688  0.93480986]
 [ 0.6125106  -0.5976926  -0.5138431   0.05966228]
 [ 0.57370406 -0.02016163  0.7464064   0.3366523 ]]"
20200226-195613.470187,2,[1.8066316  1.0902535  0.77082425 0.09791099],"[[ 0.09181179 -0.49875647 -0.82017225 -0.24781665]
 [-0.25066638  0.8177449  -0.4745221  -0.19525804]
 [-0.12278355 -0.15040545  0.15176253 -0.5465808 ]
 [ 0.6972548   0.19720641  0.17247677 -0.5975866 ]
 [ 0.65383255  0.14499491 -0.22218484  0.49457136]]","[[ 0.4514843   0.8027291  -0.3762621   0.10106905]
 [-0.30360532 -0.03318642 -0.18415265  0.93424314]
 [ 0.6070458  -0.5951037  -0.521506    0.0733388 ]
 [ 0.5792073  -0.01940575  0.7433344   0.33406016]]"
20200226-195613.470187,3,[1.791879   1.090975   0.76950043 0.09584316],"[[ 0.0820462  -0.50027096 -0.8205679  -0.24539283]
 [-0.26206112  0.81546485 -0.47255957 -0.19636236]
 [-0.12409195 -0.1503834   0.15637536 -0.5683266 ]
 [ 0.6992632   0.20112976  0.16058329 -0.59017396]
 [ 0.6482475   0.14723238 -0.23046777  0.4795032 ]]","[[ 0.4428564   0.8042639  -0.38126472  0.1080521 ]
 [-0.31219015 -0.03448069 -0.17068018  0.93392533]
 [ 0.6038591  -0.5930802  -0.5259087   0.08384696]
 [ 0.58461106 -0.01505447  0.74089533  0.33026916]]"
20200226-195613.470187,4,[1.7706543  1.0912533  0.76892406 0.09350354],"[[ 0.07392956 -0.5017508  -0.82072    -0.242586  ]
 [-0.2761376   0.8121316  -0.47067347 -0.19723435]
 [-0.12553386 -0.15087076  0.16068247 -0.59098864]
 [ 0.70036584  0.20739992  0.14862515 -0.5821464 ]
 [ 0.6418813   0.15136619 -0.23869851  0.4626974 ]]","[[ 0.4313391   0.8066393  -0.38695788  0.11637616]
 [-0.3228667  -0.03790919 -0.15853487  0.93230176]
 [ 0.6016002  -0.5897568  -0.5304706   0.09415552]
 [ 0.5897296  -0.00911749  0.73738146  0.32924858]]"
20200226-195613.470187,5,[1.7612906 1.0918463 0.7681362 0.0917949],"[[ 0.06584916 -0.50280935 -0.8209517  -0.23956937]
 [-0.28617954  0.8101177  -0.4683522  -0.19858834]
 [-0.1269415  -0.1510186   0.16510615 -0.616639  ]
 [ 0.7017206   0.21102993  0.13853961 -0.5717316 ]
 [ 0.636584    0.15346615 -0.24542089  0.4427732 ]]","[[ 0.42335352  0.8082014  -0.39072955  0.12211828]
 [-0.32996583 -0.03901181 -0.14703105  0.9316557 ]
 [ 0.5988744  -0.58758914 -0.5342677   0.10318317]
 [ 0.59434325 -0.0052755   0.7350309   0.32627884]]"
20200226-195613.470187,6,[1.7500532  1.0932237  0.76595217 0.09033325],"[[ 0.05406358 -0.5040657  -0.82119936 -0.23665966]
 [-0.29538783  0.80887944 -0.46503815 -0.19964035]
 [-0.12842408 -0.15056434  0.17021275 -0.6416241 ]
 [ 0.70369273  0.21275945  0.12649527 -0.56088346]
 [ 0.6309889   0.15393525 -0.25376675  0.4217396 ]]","[[ 0.41592157  0.8094109  -0.39434594  0.12788619]
 [-0.33799505 -0.03767018 -0.13185033  0.93110466]
 [ 0.5939646  -0.5860295  -0.53890127  0.11559057]
 [ 0.59997916 -0.00217181  0.7325929   0.3214469 ]]"
20200226-195613.470187,7,[1.7347957  1.0946167  0.7636265  0.08850026],"[[ 0.04192619 -0.50527304 -0.8213356  -0.2335339 ]
 [-0.3060081   0.8073051  -0.46129116 -0.20023072]
 [-0.12966032 -0.15014324  0.17529051 -0.66591644]
 [ 0.70538193  0.21534382  0.11354691 -0.5495441 ]
 [ 0.6246808   0.15505335 -0.26267666  0.3999076 ]]","[[ 0.4068019   0.8111148  -0.39813218  0.13452028]
 [-0.34746653 -0.0367131  -0.11566692  0.9298066 ]
 [ 0.58881587 -0.5837313  -0.54390025  0.12933007]
 [ 0.60586727  0.00163504  0.7295784   0.31723443]]"
20200226-195613.470187,8,[1.727347   1.0958484  0.76236874 0.08676366],"[[ 0.03294965 -0.50645965 -0.82114446 -0.22988895]
 [-0.3140911   0.8058859  -0.45855862 -0.20106539]
 [-0.13053234 -0.14984667  0.17972285 -0.69138944]
 [ 0.70678073  0.217538    0.10354544 -0.5359508 ]
 [ 0.6194217   0.15578684 -0.2691172   0.37611344]]","[[ 0.39996588  0.8123064  -0.400961    0.13934103]
 [-0.35364226 -0.03608577 -0.10303079  0.9289885 ]
 [ 0.58510786 -0.5820937  -0.54714876  0.13944238]
 [ 0.61042064  0.00480201  0.72749114  0.31324154]]"
20200226-195613.470187,9,[1.7161204  1.0958195  0.7608945  0.08514143],"[[ 0.02543945 -0.50981885 -0.81945866 -0.2256369 ]
 [-0.3275151   0.8012887  -0.45742223 -0.2017599 ]
 [-0.1310191  -0.15026546  0.18479991 -0.71727514]
 [ 0.70676166  0.22392435  0.09182692 -0.52131003]
 [ 0.61270624  0.15905635 -0.27689216  0.3494755 ]]","[[ 0.38842005  0.81358176 -0.40667105  0.1477613 ]
 [-0.36178172 -0.040283   -0.08927806  0.92710346]
 [ 0.5827803  -0.5799293  -0.5493203   0.14932072]
 [ 0.61531395  0.01200399  0.7244969   0.31040183]]"
20200226-195613.470187,10,[1.7063831  1.0968125  0.7587741  0.08384359],"[[ 0.01557528 -0.5123098  -0.818214   -0.22141075]
 [-0.33812872  0.7984592  -0.45490164 -0.20206705]
 [-0.13176848 -0.15005247  0.18996921 -0.7423082 ]
 [ 0.7073384   0.22751157  0.08008051 -0.5056867 ]
 [ 0.6064122   0.16038851 -0.2847625   0.32156795]]","[[ 0.37899336  0.81469434 -0.41078523  0.15457216]
 [-0.3695623  -0.04103089 -0.07414702  0.9253336 ]
 [ 0.5786466  -0.578183   -0.5521601   0.16121924]
 [ 0.6204479   0.01714315  0.7217181   0.30638766]]"
20200226-195613.470187,11,[1.7001796  1.0986896  0.7572744  0.08266489],"[[ 0.00522091 -0.5124755  -0.81824315 -0.2168833 ]
 [-0.34398252  0.7985406  -0.45067352 -0.20196365]
 [-0.13295303 -0.149352    0.19438955 -0.7674141 ]
 [ 0.7087383   0.2277155   0.07057056 -0.48796767]
 [ 0.60138345  0.1598183  -0.29086816  0.29178   ]]","[[ 0.3733625   0.81611574 -0.41184834  0.1579134 ]
 [-0.37576607 -0.03763535 -0.06096698  0.92394084]
 [ 0.57349837 -0.5763583  -0.5558344   0.17308713]
 [ 0.6249      0.01870922  0.7195223   0.3023868 ]]"
20200226-195613.470187,12,[1.695552   1.0994092  0.7542523  0.08208957],"[[-0.00508202 -0.51622677 -0.8158423  -0.21228452]
 [-0.3541963   0.79515237 -0.44884363 -0.20201488]
 [-0.13314986 -0.1489232   0.20021093 -0.7905933 ]
 [ 0.7090061   0.23096563  0.05851546 -0.4700298 ]
 [ 0.59506315  0.16037185 -0.2990517   0.2610728 ]]","[[ 0.3646575   0.81640714 -0.41612625  0.16535762]
 [-0.3817954  -0.03845062 -0.04346322  0.9224231 ]
 [ 0.5692609  -0.57568204 -0.5569254   0.18538134]
 [ 0.6302373   0.02431457  0.7174843   0.29567856]]"
20200226-195613.470187,13,[1.6906177 1.1008116 0.7521464 0.0814855],"[[-0.01498602 -0.5182027  -0.81439644 -0.20712203]
 [-0.36215     0.7934182  -0.44577453 -0.20145191]
 [-0.1337731  -0.14838867  0.2052575  -0.8134012 ]
 [ 0.7095051   0.2328159   0.04809242 -0.45026508]
 [ 0.58934736  0.160408   -0.3059414   0.22837867]]","[[ 0.3573344   0.81732625 -0.41853952  0.17062998]
 [-0.38774678 -0.03720603 -0.02840047  0.9205768 ]
 [ 0.5646827  -0.5742882  -0.55889463  0.19739151]
 [ 0.63490015  0.02804427  0.7153006   0.29062077]]"
20200226-195613.470187,14,[1.6872778  1.102114   0.7511055  0.08128995],"[[-0.02335431 -0.5193453  -0.8133599  -0.20172782]
 [-0.36863762  0.79232925 -0.44260952 -0.2005043 ]
 [-0.1348584  -0.14802285  0.20969337 -0.8342423 ]
 [ 0.7097881   0.234187    0.03965133 -0.43010756]
 [ 0.58444405  0.16043974 -0.31144658  0.19532417]]","[[ 0.35097286  0.81844974 -0.420178    0.17438056]
 [-0.39327413 -0.03560091 -0.01661998  0.91858155]
 [ 0.56055546 -0.5726406  -0.5610193   0.20764773]
 [ 0.6386947   0.03091037  0.71304387  0.28754482]]"
20200226-195613.470187,15,[1.6915808  1.1024748  0.74932885 0.08116734],"[[-0.03012764  0.5228642   0.8107561  -0.19599523]
 [-0.3751625  -0.7895368   0.44197255 -0.20004268]
 [-0.13466866  0.14759874 -0.2145761  -0.8535514 ]
 [ 0.7100058  -0.23628657 -0.03136919 -0.40831915]
 [ 0.57974285 -0.1600885   0.31671542  0.1621563 ]]","[[ 0.34583902 -0.81798935  0.42308924  0.17967854]
 [-0.39538917  0.0361665   0.00334849  0.9177953 ]
 [ 0.5580218   0.57301974  0.5600911   0.21577379]
 [ 0.6423976  -0.03512619 -0.7122377   0.28072968]]"
20200226-195613.470187,16,[1.6927713  1.1028074  0.748487   0.08096842],"[[-0.0359526   0.52570915  0.80855876 -0.18978307]
 [-0.3821016  -0.78680724  0.4408812  -0.19892548]
 [-0.13483417  0.147422   -0.21891697 -0.8710863 ]
 [ 0.7098188  -0.23893432 -0.02376659 -0.3861798 ]
 [ 0.5750504  -0.16044194  0.3215086   0.12839319]]","[[ 0.3396702  -0.81807685  0.42581087  0.1845529 ]
 [-0.39879844  0.03717128 -0.00758173  0.9162537 ]
 [ 0.5556597   0.5725517   0.55998534  0.22325623]
 [ 0.645621   -0.03940981 -0.7106648   0.2767241 ]]"
20200226-195613.470187,17,[1.6887751  1.1035056  0.7462112  0.08113049],"[[-0.04439475  0.52933     0.8055974  -0.18353488]
 [-0.39172775 -0.78326005  0.4388923  -0.19707595]
 [-0.13490506  0.14705287 -0.22418746 -0.8866782 ]
 [ 0.7090492  -0.24236043 -0.01334586 -0.36406246]
 [ 0.5688833  -0.16109036  0.32855502  0.09346872]]","[[ 0.3306288  -0.8185121   0.42898792  0.19155158]
 [-0.40450847  0.03807603 -0.02345773  0.9134401 ]
 [ 0.55196816  0.5714396   0.55996937  0.2349943 ]
 [ 0.6499144  -0.04522245 -0.70841616  0.271501  ]]"
20200226-195613.470187,18,[1.6826953  1.103596   0.7453517  0.08133233],"[[-0.05041816  0.5328563   0.80278176 -0.17627391]
 [-0.40186137 -0.7790831   0.43734127 -0.19470742]
 [-0.13528097  0.1471878  -0.2288216  -0.90096277]
 [ 0.707672   -0.246909   -0.00427798 -0.34064707]
 [ 0.5629075  -0.16268276  0.3345089   0.05693741]]","[[ 0.3205188  -0.81907487  0.43251958  0.19827002]
 [-0.4109409   0.04074491 -0.03548994  0.91005933]
 [ 0.5492534   0.5699011   0.56020284  0.24434856]
 [ 0.653235   -0.05166228 -0.705578    0.26976818]]"
