Timestamp,Epoch,s,u,v
20200225-145103.023494,0,[1.7374893 1.0023503],"[[ 4.0462363e-01  7.0712584e-01]
 [ 8.2005787e-01  4.9620867e-05]
 [ 4.0470326e-01 -7.0708752e-01]]","[[ 0.707078   0.7071355]
 [ 0.7071355 -0.707078 ]]"
20200225-145103.023494,1,[1.742948  1.0046979],"[[ 4.0104863e-01  7.0714420e-01]
 [ 8.2352507e-01  9.8705292e-05]
 [ 4.0120625e-01 -7.0706940e-01]]","[[ 0.70704985  0.70716363]
 [ 0.70716363 -0.70704985]]"
20200225-145103.023494,2,[1.749684  1.0071887],"[[ 3.9732093e-01  7.0713365e-01]
 [ 8.2715607e-01  6.5356493e-05]
 [ 3.9742768e-01 -7.0707977e-01]]","[[ 0.7070724  0.7071411]
 [ 0.7071411 -0.7070724]]"
20200225-145103.023494,3,[1.7447588 1.0096751],"[[ 3.9308304e-01 -7.0709825e-01]
 [ 8.3126581e-01  2.5719404e-05]
 [ 3.9304325e-01  7.0711535e-01]]","[[ 0.70712876 -0.7070848 ]
 [ 0.7070848   0.70712876]]"
20200225-145103.023494,4,[1.7452449 1.0120893],"[[ 0.39138582 -0.7060096 ]
 [ 0.8348541   0.00262144]
 [ 0.38708627  0.7081975 ]]","[[ 0.70857716 -0.70563334]
 [ 0.70563334  0.70857716]]"
20200225-145103.023494,5,[1.7458673 1.0145165],"[[ 0.38960388 -0.70499444]
 [ 0.83835125  0.00508821]
 [ 0.38128182  0.7091945 ]]","[[ 0.7099322 -0.70427  ]
 [ 0.70427    0.7099322]]"
20200225-145103.023494,6,[1.7414846 1.0170313],"[[ 0.38528192 -0.7050751 ]
 [ 0.84219116  0.0049651 ]
 [ 0.37718976  0.70911545]]","[[ 0.70985246 -0.7043504 ]
 [ 0.7043504   0.70985246]]"
20200225-145103.023494,7,[1.7423967 1.0194618],"[[ 0.38370326 -0.70403296]
 [ 0.84550273  0.00761417]
 [ 0.37134492  0.71012646]]","[[ 0.7113032 -0.7028853]
 [ 0.7028853  0.7113032]]"
20200225-145103.023494,8,[1.7483947 1.0218225],"[[ 0.38049418 -0.7040802 ]
 [ 0.84832615  0.00760439]
 [ 0.3681944   0.7100799 ]]","[[ 0.7112779  -0.70291096]
 [ 0.70291096  0.7112779 ]]"
20200225-145103.023494,9,[1.7493974 1.0242946],"[[ 0.3747165  -0.7051767 ]
 [ 0.85151535  0.0049403 ]
 [ 0.366755    0.70901436]]","[[ 0.70980805 -0.7043951 ]
 [ 0.7043951   0.70980805]]"
20200225-145103.023494,10,[1.7455585 1.0268335],"[[ 0.37053445 -0.70525444]
 [ 0.8550272   0.00480637]
 [ 0.36281234  0.70893806]]","[[ 0.70972395 -0.7044799 ]
 [ 0.7044799   0.70972395]]"
20200225-145103.023494,11,[1.7419301 1.0293868],"[[ 0.36639482 -0.7053307 ]
 [ 0.8584494   0.00466931]
 [ 0.35891435  0.7088631 ]]","[[ 0.70963854 -0.704566  ]
 [ 0.704566    0.70963854]]"
20200225-145103.023494,12,[1.7433984 1.0318503],"[[ 0.3651118  -0.70431364]
 [ 0.8613516   0.00745103]
 [ 0.3532229   0.70984966]]","[[ 0.7111521  -0.70303816]
 [ 0.70303816  0.7111521 ]]"
20200225-145103.023494,13,[1.7448951 1.034349 ],"[[ 0.3593315  -0.7054373 ]
 [ 0.864217    0.00450829]
 [ 0.35215053  0.70875806]]","[[ 0.70953095 -0.7046742 ]
 [ 0.7046742   0.70953095]]"
20200225-145103.023494,14,[1.7513024 1.0367504],"[[ 0.35194796  0.70750844]
 [ 0.8665825   0.00117603]
 [ 0.3537904  -0.70670414]]","[[ 0.7064158   0.70779717]
 [ 0.70779717 -0.7064158 ]]"
20200225-145103.023494,15,[1.7529334 1.0392231],"[[ 0.34634575  0.708506  ]
 [ 0.86928135  0.00403476]
 [ 0.35269624 -0.70569324]]","[[ 0.7048501   0.70935625]
 [ 0.70935625 -0.7048501 ]]"
20200225-145103.023494,16,[1.754629  1.0417281],"[[ 0.34526056  0.707511  ]
 [ 0.8719294   0.0012356 ]
 [ 0.3471805  -0.7067014 ]]","[[ 0.70638007  0.7078328 ]
 [ 0.7078328  -0.70638007]]"
20200225-145103.023494,17,[1.751675  1.0443138],"[[ 0.34157005  0.7074679 ]
 [ 0.8749133   0.0011172 ]
 [ 0.34330267 -0.7067446 ]]","[[ 0.7064508  0.7077621]
 [ 0.7077621 -0.7064508]]"
20200225-145103.023494,18,[1.7488985 1.0469131],"[[ 0.33792794  0.707426  ]
 [ 0.87781703  0.0009979 ]
 [ 0.33947304 -0.70678675]]","[[ 0.7065219  0.7076912]
 [ 0.7076912 -0.7065219]]"
20200225-145103.023494,19,[1.7462943 1.0495262],"[[ 3.3433479e-01  7.0738536e-01]
 [ 8.8064247e-01  8.7752938e-04]
 [ 3.3569220e-01 -7.0682764e-01]]","[[ 0.70659345  0.70761985]
 [ 0.70761985 -0.70659345]]"
20200225-145103.023494,20,[1.7438555 1.0521522],"[[ 0.3306203   0.7074106 ]
 [ 0.88339055  0.00098136]
 [ 0.33213142 -0.70680207]]","[[ 0.70653224  0.7076808 ]
 [ 0.7076808  -0.70653224]]"
20200225-145103.023494,21,[1.7461472 1.0546925],"[[ 0.3299572  -0.7064109 ]
 [ 0.8856685   0.00210232]
 [ 0.32667953  0.7077987 ]]","[[ 0.7082131  -0.70599866]
 [ 0.70599866  0.7082131 ]]"
20200225-145103.023494,22,[1.7530489 1.0571302],"[[ 0.32278845  0.70834666]
 [ 0.8874857   0.00395614]
 [ 0.32890263 -0.7058537 ]]","[[ 0.70491654  0.70929027]
 [ 0.70929027 -0.70491654]]"
20200225-145103.023494,23,[1.755422  1.0596691],"[[ 0.3175952   0.7092263 ]
 [ 0.8896392   0.00682706]
 [ 0.32813883 -0.7049474 ]]","[[ 0.70336443  0.7108294 ]
 [ 0.7108294  -0.70336443]]"
20200225-145103.023494,24,[1.7686146 1.0621959],"[[ 0.31325594  0.7100727 ]
 [ 0.89115816  0.00968531]
 [ 0.32818913 -0.70406204]]","[[ 0.70183754  0.7123371 ]
 [ 0.7123371  -0.70183754]]"
20200225-145103.023494,25,[1.7771522 1.0648178],"[[ 0.31065395  0.7100199 ]
 [ 0.8930609   0.00963452]
 [ 0.32547852 -0.7041156 ]]","[[ 0.70189184  0.71228355]
 [ 0.71228355 -0.70189184]]"
20200225-145103.023494,26,[1.7793679 1.0673646],"[[ 0.3102774   0.7090319 ]
 [ 0.8951192   0.00642321]
 [ 0.3201401  -0.7051472 ]]","[[ 0.70363677  0.7105599 ]
 [ 0.7105599  -0.70363677]]"
20200225-145103.023494,27,[1.7816486 1.0699066],"[[ 0.30990803  0.70806825]
 [ 0.897114    0.00323883]
 [ 0.31487077 -0.7061364 ]]","[[ 0.7053565   0.70885277]
 [ 0.70885277 -0.7053565 ]]"
20200225-145103.023494,28,[1.7840105 1.072454 ],"[[ 3.0942962e-01  7.0717043e-01]
 [ 8.9904386e-01  2.4443865e-04]
 [ 3.0979609e-01 -7.0704317e-01]]","[[ 0.7069592  0.7072544]
 [ 0.7072544 -0.7069592]]"
20200225-145103.023494,29,[1.7820473 1.0750932],"[[ 3.0604461e-01  7.0719814e-01]
 [ 9.0130234e-01  3.5721064e-04]
 [ 3.0657902e-01 -7.0701545e-01]]","[[ 0.7068938  0.7073196]
 [ 0.7073196 -0.7068938]]"
20200225-145103.023494,30,[1.780219  1.0777451],"[[ 3.0271053e-01  7.0722455e-01]
 [ 9.0349728e-01  4.7007203e-04]
 [ 3.0341196e-01 -7.0698869e-01]]","[[ 0.7068286  0.7073848]
 [ 0.7073848 -0.7068286]]"
20200225-145103.023494,31,[1.7828195 1.0803027],"[[ 0.30249962 -0.7063157 ]
 [ 0.90525556  0.00272661]
 [ 0.29833946  0.7078917 ]]","[[ 0.7085382  -0.70567256]
 [ 0.70567256  0.7085382 ]]"
20200225-145103.023494,32,[1.7854458 1.0828635],"[[ 2.9745123e-01  7.0722884e-01]
 [ 9.0697247e-01  5.0458312e-04]
 [ 2.9820108e-01 -7.0698488e-01]]","[[ 0.7068053   0.70740825]
 [ 0.70740825 -0.7068053 ]]"
20200225-145103.023494,33,[1.792397  1.0853153],"[[ 0.2908217   0.7089058 ]
 [ 0.90825236  0.00661036]
 [ 0.30083296 -0.7052722 ]]","[[ 0.7035463   0.71064943]
 [ 0.71064943 -0.7035463 ]]"
20200225-145103.023494,34,[1.7992778 1.0877835],"[[ 0.28891328  0.70887125]
 [ 0.9095241   0.0065524 ]
 [ 0.29882258 -0.70530736]]","[[ 0.70358866  0.7106075 ]
 [ 0.7106075  -0.70358866]]"
20200225-145103.023494,35,[1.7976913 1.0904503],"[[ 0.28582707  0.7088526 ]
 [ 0.9114959   0.0065856 ]
 [ 0.2957669  -0.70532584]]","[[ 0.7035687   0.71062726]
 [ 0.71062726 -0.7035687 ]]"
20200225-145103.023494,36,[1.7962219 1.0931294],"[[ 0.2827909   0.70883435]
 [ 0.9134115   0.00661829]
 [ 0.29276085 -0.7053441 ]]","[[ 0.70354897  0.7106468 ]
 [ 0.7106468  -0.70354897]]"
20200225-145103.023494,37,[1.7989793 1.0957248],"[[ 0.2829374   0.7079425 ]
 [ 0.91493714  0.00324458]
 [ 0.28781337 -0.70626265]]","[[ 0.705358   0.7088512]
 [ 0.7088512 -0.705358 ]]"
20200225-145103.023494,38,[1.8121454 1.0983012],"[[ 0.2791753   0.70870703]
 [ 0.9158595   0.00623775]
 [ 0.28855234 -0.7054752 ]]","[[ 0.70377576  0.7104222 ]
 [ 0.7104222  -0.70377576]]"
20200225-145103.023494,39,[1.8148314 1.1008843],"[[ 0.27935687  0.70783824]
 [ 0.91732466  0.00288272]
 [ 0.2836817  -0.70636857]]","[[ 0.7055629  0.7086474]
 [ 0.7086474 -0.7055629]]"
20200225-145103.023494,40,[1.8134941 1.1035701],"[[ 0.2765952   0.7077925 ]
 [ 0.9190847   0.00272086]
 [ 0.2806747  -0.70641494]]","[[ 0.7056545  0.7085561]
 [ 0.7085561 -0.7056545]]"
