Timestamp,Epoch,s,u,v
20200219-193528.784830,0,[0.11984534 0.10234251],"[[-0.5525416  -0.6352256 ]
 [-0.07421818  0.6823478 ]
 [ 0.83017415 -0.36178687]]","[[ 0.7930158 -0.6092011]
 [ 0.6092011  0.7930158]]"
20200219-193528.784830,1,[0.12050907 0.10250904],"[[-0.656182    0.47666794]
 [ 0.15222672 -0.67567396]
 [ 0.73908883  0.562363  ]]","[[ 0.64127755  0.767309  ]
 [ 0.767309   -0.64127755]]"
20200219-193528.784830,2,[0.1232927  0.10118107],"[[-0.6963708   0.3502369 ]
 [ 0.3285702  -0.6204065 ]
 [ 0.6380512   0.70173347]]","[[ 0.5100894   0.86012137]
 [ 0.86012137 -0.5100894 ]]"
20200219-193528.784830,3,[0.1273643  0.09921169],"[[-0.69409364  0.27929863]
 [ 0.44449872 -0.55871165]
 [ 0.566264    0.78091836]]","[[ 0.4325371  0.9016161]
 [ 0.9016161 -0.4325371]]"
20200219-193528.784830,4,[0.1330619  0.09708969],"[[-0.67348087  0.24757835]
 [ 0.5231766  -0.5060096 ]
 [ 0.5222161   0.8262318 ]]","[[ 0.39722216  0.9177224 ]
 [ 0.9177224  -0.39722216]]"
20200219-193528.784830,5,[0.1385206  0.09492952],"[[-0.6485013   0.23165624]
 [ 0.5853383  -0.45722377]
 [ 0.48664695  0.8586512 ]]","[[ 0.37625128  0.9265177 ]
 [ 0.9265177  -0.37625128]]"
20200219-193528.784830,6,[0.14539863 0.09302699],"[[-0.61915123  0.23280448]
 [ 0.63199115 -0.41912866]
 [ 0.46608895  0.87757236]]","[[ 0.3749634  0.9270396]
 [ 0.9270396 -0.3749634]]"
20200219-193528.784830,7,[0.1521882  0.09123398],"[[-0.5903716   0.2385666 ]
 [ 0.6719503  -0.38397515]
 [ 0.44715124  0.89199173]]","[[ 0.37689546  0.9262558 ]
 [ 0.9262558  -0.37689546]]"
20200219-193528.784830,8,[0.1593067  0.08961221],"[[-0.5621141   0.24855746]
 [ 0.70577574 -0.3530699 ]
 [ 0.43117088  0.90197605]]","[[ 0.3828303   0.92381865]
 [ 0.92381865 -0.3828303 ]]"
20200219-193528.784830,9,[0.16679928 0.08817708],"[[-0.53502184  0.26113892]
 [ 0.7343708  -0.3264215 ]
 [ 0.41767347  0.90843576]]","[[ 0.39153883  0.9201616 ]
 [ 0.9201616  -0.39153883]]"
