Timestamp,Epoch,s,u,v
20200220-163603.454535,0,[1.341155   0.64242274],"[[ 0.70339453  0.4523644 ]
 [-0.5488265  -0.14452448]
 [ 0.4516921  -0.8800452 ]]","[[ 0.7758116  -0.63096476]
 [ 0.63096476  0.7758116 ]]"
20200220-163603.454535,1,[1.3300415 0.6447734],"[[ 0.7069875   0.45171762]
 [-0.54494387 -0.1424906 ]
 [ 0.4507826  -0.8807086 ]]","[[ 0.7751517 -0.6317751]
 [ 0.6317751  0.7751517]]"
20200220-163603.454535,2,[1.3119779  0.64715576],"[[ 0.7101921   0.4506614 ]
 [-0.5419929  -0.1403097 ]
 [ 0.44930047 -0.8815994 ]]","[[ 0.7744403  -0.63264704]
 [ 0.63264704  0.7744403 ]]"
20200220-163603.454535,3,[1.2982184  0.64952624],"[[ 0.71287227  0.4508004 ]
 [-0.5382174  -0.13940711]
 [ 0.44959426 -0.8816714 ]]","[[ 0.7743069  -0.63281024]
 [ 0.63281024  0.7743069 ]]"
20200220-163603.454535,4,[1.280865   0.65191877],"[[ 0.71614456  0.44971022]
 [-0.53510106 -0.1372302 ]
 [ 0.44811153 -0.8825693 ]]","[[ 0.77354646 -0.63373965]
 [ 0.63373965  0.77354646]]"
20200220-163603.454535,5,[1.2684402  0.65434843],"[[ 0.7173331   0.45205343]
 [-0.5305641  -0.13878927]
 [ 0.4515915  -0.88112724]]","[[ 0.77469236 -0.63233835]
 [ 0.63233835  0.77469236]]"
20200220-163603.454535,6,[1.251773  0.6567488],"[[ 0.72074246  0.4508441 ]
 [-0.5272912  -0.13653976]
 [ 0.44999406 -0.8820977 ]]","[[ 0.773826   -0.63339823]
 [ 0.63339823  0.773826  ]]"
20200220-163603.454535,7,[1.2361828 0.6592147],"[[ 0.7225554   0.45198292]
 [-0.5233058  -0.13683723]
 [ 0.45173532 -0.88146865]]","[[ 0.7743464 -0.6327619]
 [ 0.6327619  0.7743464]]"
20200220-163603.454535,8,[1.2267386 0.6616077],"[[ 0.72642654  0.45104736]
 [-0.5189105  -0.13469943]
 [ 0.45059538 -0.88227665]]","[[ 0.7734481 -0.6338595]
 [ 0.6338595  0.7734481]]"
20200220-163603.454535,9,[1.2145541 0.664079 ],"[[ 0.72936356  0.45109236]
 [-0.51455295 -0.1337425 ]
 [ 0.450848   -0.8823993 ]]","[[ 0.77322114 -0.6341364 ]
 [ 0.6341364   0.77322114]]"
20200220-163603.454535,10,[1.1991333  0.66649896],"[[ 0.7329831   0.44964463]
 [-0.5109696  -0.13141286]
 [ 0.44904983 -0.8834876 ]]","[[ 0.7721511  -0.63543886]
 [ 0.63543886  0.7721511 ]]"
20200220-163603.454535,11,[1.1910083  0.66897774],"[[ 0.73528814  0.451045  ]
 [-0.5057086  -0.13181515]
 [ 0.45123157 -0.88271344]]","[[ 0.77264524 -0.634838  ]
 [ 0.634838    0.77264524]]"
20200220-163603.454535,12,[1.1761403 0.6714091],"[[ 0.7390047   0.4494682 ]
 [-0.50197995 -0.12944724]
 [ 0.4493196  -0.88386744]]","[[ 0.77147    -0.63626564]
 [ 0.63626564  0.77147   ]]"
20200220-163603.454535,13,[1.1677425  0.67382413],"[[ 0.7431474   0.44810075]
 [-0.49722242 -0.12716179]
 [ 0.44777444 -0.8848931 ]]","[[ 0.77026254 -0.6377269 ]
 [ 0.6377269   0.77026254]]"
20200220-163603.454535,14,[1.1534166 0.6762675],"[[ 0.74693406  0.44638413]
 [-0.4933446  -0.12479226]
 [ 0.44575843 -0.88609695]]","[[ 0.76897466 -0.6392791 ]
 [ 0.6392791   0.76897466]]"
20200220-163603.454535,15,[1.1459874 0.6787924],"[[ 0.7491891   0.44787255]
 [-0.48779142 -0.12532113]
 [ 0.44807956 -0.8852711 ]]","[[ 0.7695215 -0.638621 ]
 [ 0.638621   0.7695215]]"
20200220-163603.454535,16,[1.1327857  0.68134284],"[[ 0.75114346  0.44900244]
 [-0.483101   -0.12569557]
 [ 0.4498853  -0.88464534]]","[[ 0.76997346 -0.63807595]
 [ 0.63807595  0.76997346]]"
20200220-163603.454535,17,[1.1257052 0.6838937],"[[ 0.7533813   0.45055473]
 [-0.47736394 -0.1262342 ]
 [ 0.45226145 -0.88377905]]","[[ 0.7705561 -0.6373722]
 [ 0.6373722  0.7705561]]"
20200220-163603.454535,18,[1.1155899 0.6863796],"[[ 0.75637627  0.45043492]
 [-0.47245318 -0.12535457]
 [ 0.45241886 -0.88396525]]","[[ 0.77015644 -0.63785505]
 [ 0.63785505  0.77015644]]"
20200220-163603.454535,19,[1.1055813 0.6889391],"[[ 0.75951004  0.45020765]
 [-0.4673572  -0.12439604]
 [ 0.45246223 -0.88421655]]","[[ 0.7696941  -0.63841295]
 [ 0.63841295  0.7696941 ]]"
20200220-163603.454535,20,[1.095772   0.69150776],"[[ 0.76266193  0.44994003]
 [-0.46218944 -0.12343511]
 [ 0.4524684  -0.8844873 ]]","[[ 0.7691996  -0.63900864]
 [ 0.63900864  0.7691996 ]]"
20200220-163603.454535,21,[1.0862647  0.69400537],"[[ 0.76570225  0.44970894]
 [-0.4570788  -0.12255684]
 [ 0.45252514 -0.884727  ]]","[[ 0.76871246 -0.63959444]
 [ 0.63959444  0.76871246]]"
20200220-163603.454535,22,[1.0744275  0.69661874],"[[ 0.7675767   0.45101637]
 [-0.45191717 -0.12305489]
 [ 0.45452937 -0.8839919 ]]","[[ 0.7692522 -0.6389452]
 [ 0.6389452  0.7692522]]"
20200220-163603.454535,23,[1.0652515 0.6992148],"[[ 0.7708242   0.45060113]
 [-0.44650722 -0.12204492]
 [ 0.4543801  -0.8843436 ]]","[[ 0.76863754 -0.63968456]
 [ 0.63968456  0.76863754]]"
20200220-163603.454535,24,[1.0562743 0.7018152],"[[ 0.7741637   0.4500117 ]
 [-0.44104427 -0.12095559]
 [ 0.45403773 -0.88479316]]","[[ 0.76789796 -0.64057213]
 [ 0.64057213  0.76789796]]"
20200220-163603.454535,25,[1.0451211  0.70447016],"[[ 0.77595186  0.45147943]
 [-0.43561915 -0.1215589 ]
 [ 0.45621806 -0.8839626 ]]","[[ 0.76853085 -0.63981277]
 [ 0.63981277  0.76853085]]"
20200220-163603.454535,26,[1.0365403 0.7070895],"[[ 0.7793248   0.4508114 ]
 [-0.43000865 -0.12045771]
 [ 0.45579115 -0.8844542 ]]","[[ 0.7677246 -0.64078  ]
 [ 0.64078    0.7677246]]"
