Timestamp,Epoch,s,u,v
20200227-200123.157406,0,[1.5094701 1.1830578 0.9117603 0.3672161],"[[ 0.65309    -0.5915278   0.26863575  0.12101294]
 [ 0.4430333   0.39734715 -0.5142706   0.6170465 ]
 [ 0.4541112  -0.14400516 -0.39886793 -0.54301697]
 [-0.26291457 -0.550699   -0.02684015  0.54416525]
 [ 0.31914666  0.41012657  0.7096091   0.11673178]]","[[ 0.7041591  -0.05513438 -0.4419454  -0.55299616]
 [ 0.5412058  -0.03053918  0.840078    0.02081426]
 [ 0.17644489 -0.8685801  -0.15604907  0.43598697]
 [ 0.42441002  0.4915244  -0.27313462  0.70970255]]"
20200227-200123.157406,1,[1.4681145  1.1828314  0.91503197 0.36579156],"[[ 0.6330575  -0.6091651   0.28059196  0.12935351]
 [ 0.45688275  0.38298693 -0.5101553   0.6196329 ]
 [ 0.4554712  -0.16046414 -0.39160806 -0.5413649 ]
 [-0.28751826 -0.5412379  -0.02874931  0.54086614]
 [ 0.31682128  0.40441555  0.7119175   0.11709236]]","[[ 0.7115675  -0.07969287 -0.43288133 -0.5476625 ]
 [ 0.5313779  -0.04393518  0.84551495  0.02849397]
 [ 0.14709084 -0.8732293  -0.15260482  0.4388013 ]
 [ 0.43551493  0.47873694 -0.272819    0.71183366]]"
20200227-200123.157406,2,[1.4407313 1.1835011 0.9180955 0.3653101],"[[ 0.61519367 -0.61980695  0.29961544  0.13478614]
 [ 0.4729017   0.3692151  -0.5046312   0.62061393]
 [ 0.45942205 -0.17433059 -0.3797533  -0.54128116]
 [-0.30464995 -0.5345773  -0.03195726  0.5382503 ]
 [ 0.3066287   0.40417317  0.7143839   0.11820657]]","[[ 0.71977514 -0.0996478  -0.41800326 -0.5452225 ]
 [ 0.51661074 -0.0498034   0.8539962   0.03637595]
 [ 0.12657574 -0.877054   -0.14644553  0.4396687 ]
 [ 0.4461121   0.4672967  -0.27297848  0.7128117 ]]"
20200227-200123.157406,3,[1.4142985  1.1804131  0.92101777 0.3645612 ],"[[ 0.58048624 -0.647046    0.31434944  0.14168881]
 [ 0.49530223  0.343354   -0.49993145  0.6218878 ]
 [ 0.4555919  -0.20065627 -0.37067363 -0.54054415]
 [-0.33697134 -0.5165998  -0.03405444  0.5358637 ]
 [ 0.31080154  0.3953502   0.7160267   0.1176554 ]]","[[ 0.7228869  -0.13929947 -0.40633002 -0.5412264 ]
 [ 0.50268346 -0.06892033  0.8606449   0.04300982]
 [ 0.08272167 -0.8813719  -0.14104551  0.44322312]
 [ 0.46679854  0.44612676 -0.27256674  0.71328634]]"
20200227-200123.157406,4,[1.3871906  1.1799971  0.92349684 0.36421993],"[[ 0.5504676  -0.6636741   0.33578733  0.14724569]
 [ 0.5159647   0.3196599  -0.49343118  0.622967  ]
 [ 0.4553814  -0.22236171 -0.35698333 -0.5403641 ]
 [-0.36122167 -0.50315523 -0.03761443  0.5330791 ]
 [ 0.30481553  0.3933753   0.7175801   0.1185913 ]]","[[ 0.72800446 -0.17197229 -0.38866267 -0.53793705]
 [ 0.48378384 -0.07874621  0.8701316   0.05121673]
 [ 0.04832831 -0.88459456 -0.13308     0.44434977]
 [ 0.48334962  0.42628294 -0.27221686  0.7145306 ]]"
20200227-200123.157406,5,[1.3678136  1.1793956  0.9261762  0.36304393],"[[ 0.5237093  -0.67966497  0.34798673  0.15339105]
 [ 0.52961206  0.2996527  -0.48859435  0.6252949 ]
 [ 0.45218444 -0.2414349  -0.34911868 -0.53900284]
 [-0.38450402 -0.48896214 -0.03968825  0.5300678 ]
 [ 0.30483702  0.38844535  0.7188341   0.11824588]]","[[ 0.72907305 -0.2013563  -0.37809187 -0.5338119 ]
 [ 0.47048816 -0.09064567  0.8759264   0.05637124]
 [ 0.01513298 -0.88574725 -0.1284789   0.44577628]
 [ 0.49685487  0.40827844 -0.27072704  0.71634567]]"
20200227-200123.157406,6,[1.3413626  1.1736459  0.92834824 0.36214608],"[[ 0.46049935 -0.7142958   0.36985862  0.16135602]
 [ 0.55859214  0.25018921 -0.48193806  0.6269753 ]
 [ 0.43763995 -0.28387746 -0.3349586  -0.5379714 ]
 [-0.42966107 -0.45305076 -0.04276251  0.5268181 ]
 [ 0.3158765   0.37596002  0.7189682   0.11796697]]","[[ 0.72110486 -0.26815596 -0.35923472 -0.52825254]
 [ 0.44545388 -0.11557104  0.88546133  0.06459343]
 [-0.0585488  -0.88354564 -0.11864021  0.44927004]
 [ 0.52739984  0.36617306 -0.26987615  0.71758896]]"
20200227-200123.157406,7,[1.3283885  1.1688839  0.93060696 0.3609986 ],"[[ 0.41328886 -0.7349296   0.38607615  0.16799657]
 [ 0.57638115  0.21366443 -0.47624716  0.6286846 ]
 [ 0.42521805 -0.31417614 -0.32423458 -0.5366664 ]
 [-0.46047583 -0.42454025 -0.04515746  0.52421665]
 [ 0.32269004  0.36781144  0.7190039   0.11712912]]","[[ 0.71181935 -0.31585166 -0.34473497 -0.5241269 ]
 [ 0.42581487 -0.13065949  0.8925896   0.06995522]
 [-0.11067611 -0.87812346 -0.11116696  0.45198703]
 [ 0.5474905   0.33476162 -0.26848394  0.7184048 ]]"
20200227-200123.157406,8,[1.317706   1.1627308  0.9313103  0.35987455],"[[ 0.35619175 -0.747291    0.41898027  0.1758356 ]
 [ 0.5985839   0.16569868 -0.46720293  0.62912256]
 [ 0.41274142 -0.35075504 -0.30175564 -0.5362021 ]
 [-0.49059737 -0.39222616 -0.04954167  0.52145606]
 [ 0.32215455  0.37044507  0.7160072   0.1177197 ]]","[[ 0.7007954  -0.37110215 -0.31541574 -0.5212314 ]
 [ 0.39601982 -0.13255338  0.90517765  0.07906747]
 [-0.1652756  -0.87006414 -0.09481394  0.4546238 ]
 [ 0.56985825  0.29614404 -0.26865777  0.71790236]]"
20200227-200123.157406,9,[1.3077872 1.152555  0.9326269 0.3589403],"[[ 0.28930923 -0.76268464  0.4431763   0.1831953 ]
 [ 0.61562634  0.11043345 -0.45955202  0.63032645]
 [ 0.38858214 -0.39013872 -0.28503472 -0.5349934 ]
 [-0.52424884 -0.34876397 -0.05224533  0.51896745]
 [ 0.3338741   0.36369297  0.7130443   0.1165452 ]]","[[ 0.6773513  -0.43454048 -0.29288414 -0.5163227 ]
 [ 0.36948767 -0.14197695  0.9143313   0.08555592]
 [-0.23304352 -0.8535849  -0.08129814  0.45877483]
 [ 0.5919165   0.24982035 -0.26759645  0.7180649 ]]"
