Timestamp,Epoch,s,u,v
20200219-193133.050647,0,[0.97890514 0.4353477 ],"[[ 0.72499067  0.29422563]
 [ 0.26558533  0.71482116]
 [-0.63549423  0.634399  ]]","[[ 0.9997838   0.02079308]
 [-0.02079308  0.9997838 ]]"
20200219-193133.050647,1,[0.98267645 0.4415307 ],"[[ 0.72290385  0.2813401 ]
 [ 0.27259412  0.7231351 ]
 [-0.6349033   0.6308114 ]]","[[ 0.9998312  0.0183724]
 [-0.0183724  0.9998312]]"
20200219-193133.050647,2,[0.9864989  0.44894448],"[[ 0.72120553  0.26778817]
 [ 0.2804858   0.73038805]
 [-0.6333958   0.62834924]]","[[ 0.9998851   0.01515748]
 [-0.01515748  0.9998851 ]]"
20200219-193133.050647,3,[0.99037313 0.4563896 ],"[[ 0.71950006  0.25448173]
 [ 0.2883279   0.73701453]
 [-0.6318121   0.62613785]]","[[ 0.99993014  0.01181673]
 [-0.01181673  0.99993014]]"
20200219-193133.050647,4,[0.9916369  0.46391878],"[[ 0.7169884   0.24331819]
 [ 0.29432657  0.74380815]
 [-0.6319017   0.6225317 ]]","[[ 0.9999268   0.01210548]
 [-0.01210548  0.9999268 ]]"
20200219-193133.050647,5,[0.9956873  0.47013706],"[[ 0.71497226  0.23139088]
 [ 0.30102935  0.7498142 ]
 [-0.6310277   0.6198684 ]]","[[ 0.9999578   0.00918516]
 [-0.00918516  0.9999578 ]]"
20200219-193133.050647,6,[0.99968433 0.47776258],"[[ 0.7132425   0.21882962]
 [ 0.30868307  0.7548586 ]
 [-0.6292853   0.6183056 ]]","[[ 0.9999844   0.00559506]
 [-0.00559506  0.9999844 ]]"
20200219-193133.050647,7,[1.0037235  0.48401082],"[[ 0.711193    0.20741874]
 [ 0.31521088  0.7599632 ]
 [-0.6283684   0.6159817 ]]","[[ 0.99999654  0.00263981]
 [-0.00263981  0.99999654]]"
20200219-193133.050647,8,[1.0052029 0.4916444],"[[ 0.7087864   0.19714856]
 [ 0.32095098  0.7648939 ]
 [-0.6281819   0.61324537]]","[[ 0.999997    0.00245917]
 [-0.00245917  0.999997  ]]"
20200219-193133.050647,9,[1.0093169 0.500646 ],"[[ 0.70735645  0.18425877]
 [ 0.32966688  0.76800364]
 [-0.6252733   0.61336696]]","[[ 0.9999974  -0.00231171]
 [ 0.00231171  0.9999974 ]]"
20200219-193133.050647,10,[1.0161597 0.5067118],"[[ 0.7059774   0.17166963]
 [ 0.33788326  0.77101326]
 [-0.6224396   0.613244  ]]","[[ 0.9999572  -0.00925683]
 [ 0.00925683  0.9999572 ]]"
20200219-193133.050647,11,[1.0177014  0.51430917],"[[ 0.7035837   0.16212079]
 [ 0.3434097   0.77481806]
 [-0.6221254   0.6110433 ]]","[[ 0.99995327 -0.00966896]
 [ 0.00966896  0.99995327]]"
20200219-193133.050647,12,[1.0191598 0.5233401],"[[ 0.70145035  0.15176876]
 [ 0.35012746  0.7776591 ]
 [-0.62078834  0.61009204]]","[[ 0.99993956 -0.01099525]
 [ 0.01099525  0.99993956]]"
20200219-193133.050647,13,[1.0206566  0.53097343],"[[ 0.69904923  0.14267632]
 [ 0.35548052  0.7808939 ]
 [-0.6204546   0.6081514 ]]","[[ 0.9999347 -0.0114303]
 [ 0.0114303  0.9999347]]"
20200219-193133.050647,14,[1.0250053 0.5370389],"[[ 0.69703764  0.13282578]
 [ 0.36152968  0.7835367 ]
 [-0.6192211   0.60698247]]","[[ 0.99988866 -0.01492473]
 [ 0.01492473  0.99988866]]"
20200219-193133.050647,15,[1.026571 0.544674],"[[ 0.6946751   0.12410101]
 [ 0.3667814   0.7862255 ]
 [-0.61878735  0.60534966]]","[[ 0.9998796  -0.01552106]
 [ 0.01552106  0.9998796 ]]"
20200219-193133.050647,16,[1.0309232  0.55066794],"[[ 0.69267267  0.11467217]
 [ 0.37266552  0.7883784 ]
 [-0.6175155   0.60440874]]","[[ 0.9998184  -0.01906126]
 [ 0.01906126  0.9998184 ]]"
