Timestamp,Epoch,s,u,v
20200228-222055.868563,0,[1.4096159  1.2302356  0.85718244 0.3812083 ],"[[-0.2562827  -0.31977254  0.5317738  -0.04125571]
 [-0.676275   -0.34544966 -0.2878189  -0.54552364]
 [-0.50723404 -0.07511633 -0.2817254   0.8100268 ]
 [ 0.4666944  -0.7930681  -0.37122026  0.08517999]
 [ 0.04337196  0.37922361 -0.64591324 -0.19314128]]","[[ 0.8149719  -0.04043051 -0.5557017  -0.15931694]
 [ 0.48449722 -0.3502242   0.5762677   0.5572443 ]
 [-0.26118228 -0.13284987 -0.58924127  0.7529474 ]
 [ 0.18129288  0.926315    0.10911517  0.311717  ]]"
20200228-222055.868563,1,[1.4141809  1.2303752  0.85789245 0.38227996],"[[-0.2602175  -0.32030135  0.53504086 -0.060952  ]
 [-0.6751362  -0.34481084 -0.29049852 -0.53973985]
 [-0.50627196 -0.07537945 -0.28339005  0.80866575]
 [ 0.4672696  -0.7929567  -0.37010536  0.0816381 ]
 [ 0.04273555  0.37953976 -0.64191437 -0.21062095]]","[[ 0.8163584  -0.03995799 -0.5540318  -0.15815026]
 [ 0.48271033 -0.3509432   0.577587    0.5569769 ]
 [-0.2605091  -0.1328163  -0.5892707   0.7531634 ]
 [ 0.1807903   0.92606807  0.11046423  0.31226665]]"
20200228-222055.868563,2,[1.4192091 1.2301228 0.8580463 0.3823619],"[[-0.26508296 -0.32079527  0.5374314  -0.08084319]
 [-0.6753631  -0.34115154 -0.29461858 -0.5331367 ]
 [-0.5061511  -0.07182779 -0.2838337   0.80696267]
 [ 0.4642408  -0.7936807  -0.37124613  0.07945517]
 [ 0.04367086  0.38159835 -0.63716763 -0.22743833]]","[[ 0.81751037 -0.04094829 -0.55282557 -0.15615375]
 [ 0.47994715 -0.3534718   0.5786978   0.5566126 ]
 [-0.26008245 -0.12769438 -0.58837837  0.75489235]
 [ 0.18353361  0.9257834   0.11534387  0.30973566]]"
20200228-222055.868563,3,[1.4232372  1.2302765  0.85781884 0.3836466 ],"[[-0.2683715  -0.32099414  0.5411162  -0.10016542]
 [-0.6750547  -0.33944127 -0.2965179  -0.5267005 ]
 [-0.50633955 -0.07127567 -0.28346843  0.804581  ]
 [ 0.46272683 -0.79420733 -0.37114707  0.07617109]
 [ 0.04221362  0.3819646  -0.63337684 -0.24372368]]","[[ 0.81804055 -0.0413483  -0.5529175  -0.15291238]
 [ 0.47809252 -0.35495073  0.5801983   0.55570495]
 [-0.2614577  -0.12704962 -0.5864156   0.7560524 ]
 [ 0.18405683  0.92528856  0.11734248  0.31015337]]"
20200228-222055.868563,4,[1.4291192  1.2306517  0.8591337  0.38551775],"[[-0.27210766 -0.32192945  0.54353476 -0.11737793]
 [-0.6730334  -0.34020838 -0.29972145 -0.5200986 ]
 [-0.5043284  -0.07274205 -0.2867649   0.8016124 ]
 [ 0.46567455 -0.79325235 -0.36905995  0.07152347]
 [ 0.04222983  0.38220334 -0.6295216  -0.26080933]]","[[ 0.820145   -0.03960464 -0.5495899  -0.15409355]
 [ 0.4768554  -0.35468113  0.58134514  0.55574125]
 [-0.25842226 -0.1278191  -0.5882638   0.7555303 ]
 [ 0.18217918  0.92536235  0.1180451   0.3107749 ]]"
20200228-222055.868563,5,[1.4325311  1.231156   0.857997   0.38766664],"[[-0.27346897 -0.32207677  0.5481523  -0.13580336]
 [-0.67196894 -0.3408592  -0.30026326 -0.5133946 ]
 [-0.5047342  -0.07522327 -0.28502858  0.79842067]
 [ 0.4662862  -0.79312944 -0.3678198   0.06758806]
 [ 0.03864124  0.3812729  -0.6267682  -0.27557287]]","[[ 0.82030237 -0.03869919 -0.55070823 -0.14942223]
 [ 0.47616875 -0.35484022  0.58406204  0.5533745 ]
 [-0.26065657 -0.13106607 -0.58448106  0.75714064]
 [ 0.18007176  0.92488515  0.11821049  0.31334966]]"
20200228-222055.868563,6,[1.436316  1.2316258 0.8599503 0.3902153],"[[-0.27653223 -0.32268018  0.55095756 -0.15090401]
 [-0.6698522  -0.34175596 -0.30152756 -0.50749063]
 [-0.5037845  -0.07723874 -0.28829968  0.79407847]
 [ 0.46863845 -0.7924273  -0.3659121   0.06256578]
 [ 0.03751235  0.3810168  -0.6233121  -0.29190114]]","[[ 0.8216088  -0.03717567 -0.54889256 -0.14931124]
 [ 0.47471967 -0.35443744  0.5834848   0.55548245]
 [-0.26105523 -0.13330148 -0.5870135   0.7546497 ]
 [ 0.17734246  0.9247826   0.11695039  0.31567308]]"
20200228-222055.868563,7,[1.4405929 1.2316097 0.8602427 0.3931543],"[[-0.28041682 -0.32293904  0.5535434  -0.16632286]
 [-0.67028886 -0.33872354 -0.3034896  -0.5003232 ]
 [-0.5036603  -0.07474056 -0.28947422  0.7899043 ]
 [ 0.46584532 -0.79322237 -0.36683932  0.05866162]
 [ 0.03733522  0.38234663 -0.6189646  -0.30761054]]","[[ 0.8222012  -0.03807038 -0.5485144  -0.14720026]
 [ 0.47226712 -0.35653985  0.5833463   0.5563725 ]
 [-0.26243705 -0.1300299  -0.5869207   0.75481355]
 [ 0.17909801  0.9244039   0.11984678  0.3147038 ]]"
20200228-222055.868563,8,[1.4457675  1.2316265  0.86108434 0.3961307 ],"[[-0.2844657  -0.32355544  0.55553335 -0.18060942]
 [-0.66994494 -0.33681986 -0.30630276 -0.49301204]
 [-0.50248986 -0.07315085 -0.29196218  0.78548187]
 [ 0.46510348 -0.7933392  -0.3667796   0.05433773]
 [ 0.03789688  0.3835705  -0.6146481  -0.3230866 ]]","[[ 0.8235593  -0.03801075 -0.5465152  -0.14706044]
 [ 0.470164   -0.35786036  0.5834616   0.5571846 ]
 [-0.2614087  -0.12733525 -0.5881425   0.7546787 ]
 [ 0.17989387  0.92427105  0.1224024   0.3136542 ]]"
20200228-222055.868563,9,[1.4510157  1.2317506  0.8598854  0.39878598],"[[-0.28714144 -0.32452175  0.5578201  -0.19581737]
 [-0.6699471  -0.33507758 -0.30946806 -0.4849933 ]
 [-0.50193095 -0.07185251 -0.29133007  0.7814337 ]
 [ 0.46410644 -0.79312664 -0.3675745   0.05091795]
 [ 0.03730819  0.38496295 -0.6108044  -0.336461  ]]","[[ 0.8244991  -0.03731419 -0.54584837 -0.14442639]
 [ 0.46878326 -0.35954314  0.5859037   0.55469626]
 [-0.26045966 -0.12464986 -0.5853584   0.7576139 ]
 [ 0.18056796  0.9240126   0.12697332  0.31220856]]"
20200228-222055.868563,10,[1.4567382  1.2324297  0.86004823 0.4016583 ],"[[-0.2884924  -0.32550818  0.5607736  -0.20989317]
 [-0.66735417 -0.33801275 -0.31149763 -0.47777194]
 [-0.50030327 -0.07607917 -0.29258165  0.7766111 ]
 [ 0.46889433 -0.79144293 -0.36472282  0.04584204]
 [ 0.03529145  0.3842165  -0.6081738  -0.34993207]]","[[ 0.8260814  -0.03420567 -0.5437355  -0.1441221 ]
 [ 0.46893337 -0.3582602   0.5884866   0.5526613 ]
 [-0.25800976 -0.12883383 -0.5848377   0.75815403]
 [ 0.17641382  0.9240572   0.1264918   0.31463715]]"
20200228-222055.868563,11,[1.4591236  1.2325847  0.8607243  0.40492588],"[[-0.2914133  -0.32523185  0.5636511  -0.22261965]
 [-0.66773444 -0.33496922 -0.31183353 -0.4713687 ]
 [-0.50145465 -0.07418868 -0.29310498  0.7709454 ]
 [ 0.46536866 -0.7927004  -0.36559457  0.041866  ]
 [ 0.0344206   0.38489288 -0.60455614 -0.36351508]]","[[ 0.82596064 -0.0356454  -0.5447872  -0.14044711]
 [ 0.46620625 -0.36028585  0.58735436  0.5548525 ]
 [-0.26245883 -0.12713042 -0.58475095  0.7569808 ]
 [ 0.17764084  0.92345107  0.12762637  0.31526795]]"
20200228-222055.868563,12,[1.4638205 1.2333888 0.8620436 0.4081147],"[[-0.29254937 -0.3260092   0.56667084 -0.23452505]
 [-0.6644742  -0.33868238 -0.3128082  -0.46509823]
 [-0.4999429  -0.07959276 -0.295686    0.76521534]
 [ 0.47107238 -0.79088944 -0.36195642  0.03616434]
 [ 0.03220495  0.38362893 -0.6021565  -0.37658873]]","[[ 0.82747436 -0.03235022 -0.5426335  -0.14067303]
 [ 0.46618998 -0.35851303  0.5884311   0.5548732 ]
 [-0.26130402 -0.13333529 -0.5862796   0.7551279 ]
 [ 0.17226057  0.923387    0.12479503  0.31954494]]"
20200228-222055.868563,13,[1.4675933 1.2340081 0.8627383 0.4117475],"[[-0.29425064 -0.32645312  0.56950617 -0.24594973]
 [-0.6629552  -0.33940455 -0.31364352 -0.4586577 ]
 [-0.4994609  -0.08173705 -0.29714793  0.75944555]
 [ 0.4727696  -0.7902656  -0.36054462  0.03123311]
 [ 0.03056455  0.3834475  -0.59916675 -0.3891128 ]]","[[ 0.8282688  -0.03090268 -0.541923   -0.13905072]
 [ 0.46511015 -0.3585617   0.5888248   0.55533016]
 [-0.26231968 -0.13583826 -0.58665663  0.75403625]
 [ 0.1697989   0.9230528   0.12425364  0.32202923]]"
