Timestamp,Epoch,s,u,v
20200226-214150.463474,0,[1.4198017 1.3550532 1.1541324 0.3254309],"[[-0.5762501   0.09720575  0.6599052   0.36655617]
 [ 0.6544215   0.26045334  0.31799844  0.58571714]
 [ 0.44400236  0.11449043  0.15928413 -0.2892732 ]
 [-0.16156548  0.94919676 -0.11016998 -0.22437768]
 [ 0.12816781 -0.09291007  0.6526053  -0.6233361 ]]","[[ 0.866876   -0.37968192  0.2542536   0.19930565]
 [ 0.3582845   0.5942914  -0.620474    0.3653246 ]
 [-0.22122547  0.26698637  0.5676274   0.74671084]
 [ 0.26686615  0.6567934   0.477668   -0.5188818 ]]"
20200226-214150.463474,1,[1.4148318  1.3478559  1.1455457  0.32818466],"[[-0.6035962  -0.01680457  0.64153326  0.36693093]
 [ 0.6044441   0.32543153  0.3579992   0.5832704 ]
 [ 0.41985777  0.16303103  0.1808613  -0.28953224]
 [-0.283639    0.9244645  -0.06728677 -0.22355004]
 [ 0.11656548 -0.11224496  0.6504101  -0.6255832 ]]","[[ 0.9014068  -0.27651873  0.2657335   0.200971  ]
 [ 0.29379666  0.6677523  -0.5781324   0.3654499 ]
 [-0.272681    0.20211141  0.56855655  0.7493595 ]
 [ 0.1636913   0.6609052   0.5214328  -0.5143126 ]]"
20200226-214150.463474,2,[1.4168216  1.338135   1.1304203  0.32991254],"[[-0.6166014  -0.10180939  0.6197156   0.3679155 ]
 [ 0.57520133  0.3296225   0.39977655  0.5829636 ]
 [ 0.40541667  0.17337425  0.20412259 -0.28907695]
 [-0.3369766   0.9094897  -0.00533409 -0.22113478]
 [ 0.10502729 -0.15412474  0.6437685  -0.6263594 ]]","[[ 0.9099964  -0.24544613  0.2665316   0.20155326]
 [ 0.26735842  0.7223317  -0.52331233  0.3645561 ]
 [-0.2956985   0.14094222  0.56895226  0.75431514]
 [ 0.11396669  0.6309746   0.57567257 -0.507429  ]]"
20200226-214150.463474,3,[1.4187633  1.3338494  1.1120112  0.33243045],"[[-0.6268237  -0.16081059  0.59525794  0.36891213]
 [ 0.55583596  0.31819278  0.43654534  0.58120036]
 [ 0.39537737  0.17188916  0.22445032 -0.2891016 ]
 [-0.36516294  0.897734    0.04565422 -0.21985354]
 [ 0.09204037 -0.19344538  0.6345345  -0.6278492 ]]","[[ 0.9113516  -0.23617917  0.26949328  0.20256223]
 [ 0.25666323  0.7598597  -0.47459772  0.36262187]
 [-0.3108594   0.09514384  0.5641337   0.75899094]
 [ 0.08324127  0.5981475   0.61958367 -0.5014047 ]]"
20200226-214150.463474,4,[1.422317   1.3311814  1.0978577  0.33437875],"[[-0.63251615 -0.19097775  0.57891035  0.3698599 ]
 [ 0.5496538   0.2980818   0.4585543   0.58014315]
 [ 0.39264002  0.16364893  0.23648699 -0.28858235]
 [-0.36980194  0.8936586   0.08292314 -0.2178972 ]
 [ 0.08297242 -0.22196308  0.62593025 -0.6291886 ]]","[[ 0.9096687  -0.24607012  0.26635617  0.20250185]
 [ 0.25949395  0.7795699  -0.4408084   0.36141607]
 [-0.3154352   0.06816759  0.5603055   0.7628314 ]
 [ 0.07527679  0.57190317  0.64869124 -0.49644735]]"
20200226-214150.463474,5,[1.4220827  1.3265458  1.0779922  0.33668017],"[[-0.6356194  -0.25680858  0.5480993   0.37065557]
 [ 0.52198166  0.29673114  0.4912408   0.57929224]
 [ 0.3777965   0.16990677  0.2558497  -0.2883345 ]
 [-0.41825184  0.8676656   0.12367383 -0.21611229]
 [ 0.07654575 -0.2535515   0.61442333 -0.6302335 ]]","[[ 0.9145707  -0.21488294  0.27457446  0.2049273 ]
 [ 0.22868627  0.81370324 -0.39420983  0.3608163 ]
 [-0.33212122  0.01888838  0.5484793   0.7671435 ]
 [ 0.03096861  0.5397735   0.68438166 -0.48919037]]"
20200226-214150.463474,6,[1.4240444  1.3261366  1.05852    0.33874822],"[[-0.6401651  -0.28861707  0.5251314   0.37168688]
 [ 0.50979596  0.28162736  0.51269203  0.5785812 ]
 [ 0.37150714  0.16529672  0.26873088 -0.28776553]
 [-0.43320143  0.8561453   0.15264136 -0.21415064]
 [ 0.06793443 -0.2776293   0.60487044 -0.63120764]]","[[ 0.9135741  -0.21311112  0.27803898  0.20654418]
 [ 0.22288378  0.8304769  -0.36269742  0.35927927]
 [-0.3398834  -0.00764971  0.53782153  0.7714719 ]
 [ 0.01358855  0.51461947  0.7084441  -0.48279303]]"
20200226-214150.463474,7,[1.4274832  1.3248821  1.037867   0.34095922],"[[-0.6441539  -0.31191966  0.5049675   0.37277704]
 [ 0.5039403   0.2600875   0.5299316   0.57786447]
 [ 0.36863664  0.1559177   0.27879032 -0.2874656 ]
 [-0.4377384   0.8483672   0.18321747 -0.21204655]
 [ 0.06001565 -0.301701    0.5940433  -0.6320678 ]]","[[ 0.91201717 -0.22252214  0.27516365  0.20734943]
 [ 0.2247094   0.8430265  -0.3327407   0.3579049 ]
 [-0.34305266 -0.0297628   0.5279607   0.77632916]
 [ 0.00674712  0.48877877  0.7313181  -0.47562975]]"
20200226-214150.463474,8,[1.4297435  1.32706    1.0201892  0.34265628],"[[-0.6481876  -0.32762873  0.4880677   0.373846  ]
 [ 0.4962323   0.24772198  0.5423544   0.5779107 ]
 [ 0.36500683  0.15203862  0.28701344 -0.286441  ]
 [-0.44455528  0.84187204  0.19875892 -0.20977935]
 [ 0.0524192  -0.31532404  0.58801365 -0.63261575]]","[[ 0.9102691  -0.22390918  0.27843508  0.20916338]
 [ 0.2239323   0.85051227 -0.315668    0.3561422 ]
 [-0.34821546 -0.04290084  0.5177319   0.7802943 ]
 [-0.00332998  0.47397614  0.74483657 -0.46963197]]"
20200226-214150.463474,9,[1.4344096  1.3265901  1.0005397  0.34480307],"[[-0.652396   -0.33632675  0.47450575  0.37516406]
 [ 0.4974388   0.22350362  0.55173945  0.5772874 ]
 [ 0.36628237  0.14003372  0.29261866 -0.28582808]
 [-0.43678     0.8402007   0.22415595 -0.20737782]
 [ 0.04466548 -0.33374193  0.57840854 -0.63347274]]","[[ 0.90791523 -0.24327725  0.2698964   0.20895557]
 [ 0.23517239  0.8555671  -0.29462355  0.35481817]
 [-0.34696114 -0.05475346  0.5098097   0.78531164]
 [ 0.0014812   0.4536776   0.7618711  -0.46230665]]"
