Timestamp,Epoch,s,u,v
20200220-014754.735791,0,[1.749973  0.9930106],"[[ 0.41135138  0.7119638 ]
 [ 0.81603765 -0.00951204]
 [ 0.40604496 -0.70215166]]","[[ 0.7066599  0.7075534]
 [ 0.7075534 -0.7066599]]"
20200220-014754.735791,1,[1.7499678 0.9953987],"[[ 0.40925416 -0.71097517]
 [ 0.8199452   0.01164088]
 [ 0.400251    0.7031207 ]]","[[ 0.70784885 -0.7063639 ]
 [ 0.7063639   0.70784885]]"
20200220-014754.735791,2,[1.7500696 0.9977815],"[[ 0.40316218  0.7121514 ]
 [ 0.823814   -0.00896841]
 [ 0.39848548 -0.70196867]]","[[ 0.7063653  0.7078475]
 [ 0.7078475 -0.7063653]]"
20200220-014754.735791,3,[1.7620502 1.0001643],"[[ 0.39786288  0.7132097 ]
 [ 0.8270121  -0.00648612]
 [ 0.39718527 -0.70092094]]","[[ 0.70500267  0.70920473]
 [ 0.70920473 -0.70500267]]"
20200220-014754.735791,4,[1.7622192 1.0025483],"[[ 0.39603168  0.7121705 ]
 [ 0.83065844 -0.00881648]
 [ 0.39136398 -0.7019515 ]]","[[ 0.7063021  0.7079106]
 [ 0.7079106 -0.7063021]]"
20200220-014754.735791,5,[1.7625567 1.0049313],"[[ 0.39017668  0.7132299 ]
 [ 0.8342512  -0.00625184]
 [ 0.38959816 -0.7009019 ]]","[[ 0.7049047  0.709302 ]
 [ 0.709302  -0.7049047]]"
20200220-014754.735791,6,[1.7578489 1.0073973],"[[ 0.38596174  0.7132282 ]
 [ 0.8381605  -0.00615817]
 [ 0.3853837  -0.70090485]]","[[ 0.70486885  0.70933765]
 [ 0.70933765 -0.70486885]]"
20200220-014754.735791,7,[1.7533784 1.0098771],"[[ 0.3816363   0.71329355]
 [ 0.8419757  -0.0058794 ]
 [ 0.38135386 -0.70084095]]","[[ 0.7047203  0.7094852]
 [ 0.7094852 -0.7047203]]"
20200220-014754.735791,8,[1.7592653 1.0122195],"[[ 0.37835726  0.7133221 ]
 [ 0.8448558  -0.00570011]
 [ 0.37823886 -0.70081323]]","[[ 0.70463914  0.7095659 ]
 [ 0.7095659  -0.70463914]]"
20200220-014754.735791,9,[1.7651284 1.0145432],"[[ 0.37524456  0.71329725]
 [ 0.8476569  -0.00566855]
 [ 0.37505892 -0.70083874]]","[[ 0.7046421   0.70956284]
 [ 0.70956284 -0.7046421 ]]"
20200220-014754.735791,10,[1.7659847 1.0169564],"[[ 0.3737377   0.7122883 ]
 [ 0.8507916  -0.00814846]
 [ 0.36942372 -0.7018396 ]]","[[ 0.7060116   0.70820034]
 [ 0.70820034 -0.7060116 ]]"
