Timestamp,Epoch,s,u,v
20200219-232010.938812,0,[1.7323878 1.0103985],"[[ 0.41657645 -0.6987381 ]
 [ 0.81508964  0.00376046]
 [ 0.40260795  0.71536785]]","[[ 0.71314126 -0.70102036]
 [ 0.70102036  0.71314126]]"
20200219-232010.938812,1,[1.7325709 1.0128075],"[[ 0.41474074 -0.69760007]
 [ 0.81903136  0.0064449 ]
 [ 0.3964565   0.71645844]]","[[ 0.7146282 -0.6995045]
 [ 0.6995045  0.7146282]]"
20200219-232010.938812,2,[1.7329161 1.0152273],"[[ 0.4128219  -0.6965445 ]
 [ 0.82286865  0.00899902]
 [ 0.39046788  0.71745706]]","[[ 0.7160232 -0.6980764]
 [ 0.6980764  0.7160232]]"
20200219-232010.938812,3,[1.7333753 1.0176352],"[[ 0.41103315 -0.69545937]
 [ 0.82660556  0.01169342]
 [ 0.38441533  0.71847045]]","[[ 0.7174905  -0.69656837]
 [ 0.69656837  0.7174905 ]]"
20200219-232010.938812,4,[1.733986  1.0200546],"[[ 0.4091598  -0.69445664]
 [ 0.83024216  0.01424909]
 [ 0.37853208  0.7193938 ]]","[[ 0.7188627 -0.6951521]
 [ 0.6951521  0.7188627]]"
20200219-232010.938812,5,[1.7397499 1.0224314],"[[ 0.40570396 -0.69459844]
 [ 0.83340824  0.01425394]
 [ 0.37527943  0.71925616]]","[[ 0.7187956  -0.69522136]
 [ 0.69522136  0.7187956 ]]"
20200219-232010.938812,6,[1.7402998 1.0249493],"[[ 0.39965525 -0.69591165]
 [ 0.83695555  0.0115554 ]
 [ 0.3738728   0.71803427]]","[[ 0.71724844 -0.6968175 ]
 [ 0.6968175   0.71724844]]"
20200219-232010.938812,7,[1.7461681 1.0273433],"[[ 0.39629516 -0.6960373 ]
 [ 0.83995473  0.01154634]
 [ 0.37071052  0.7179129 ]]","[[ 0.71718335 -0.6968846 ]
 [ 0.6968846   0.71718335]]"
20200219-232010.938812,8,[1.7418925 1.0298955],"[[ 0.39204293 -0.69616866]
 [ 0.843718    0.01154646]
 [ 0.3666639   0.7177855 ]]","[[ 0.717151  -0.6969179]
 [ 0.6969179  0.717151 ]]"
20200219-232010.938812,9,[1.7378411 1.0324626],"[[ 0.38782787 -0.6962998 ]
 [ 0.8473884   0.01153931]
 [ 0.3626603   0.71765834]]","[[ 0.7171152 -0.6969546]
 [ 0.6969546  0.7171152]]"
20200219-232010.938812,10,[1.7502544 1.035001 ],"[[ 0.3826138  -0.6975356 ]
 [ 0.8499968   0.00876129]
 [ 0.36209458  0.7164969 ]]","[[ 0.715507  -0.6986056]
 [ 0.6986056  0.715507 ]]"
20200219-232010.938812,11,[1.7563094 1.0374023],"[[ 0.37941265 -0.6976592 ]
 [ 0.8526669   0.00867558]
 [ 0.359173    0.7163773 ]]","[[ 0.7154114  -0.69870347]
 [ 0.69870347  0.7154114 ]]"
20200219-232010.938812,12,[1.7524729 1.0399637],"[[ 0.37547386 -0.69769216]
 [ 0.8561129   0.00887492]
 [ 0.3550916   0.7163427 ]]","[[ 0.7155048 -0.6986077]
 [ 0.6986077  0.7155048]]"
