Timestamp,Epoch,s,u,v
20200228-115509.304927,0,[1.7423348  0.9859435  0.59885854 0.5056873 ],"[[ 0.5125416  -0.36312577 -0.52222013 -0.15735961]
 [-0.29298544 -0.85961527  0.4089342  -0.02503522]
 [-0.49288702  0.20211184 -0.04418752 -0.78030413]
 [ 0.6336377   0.09090702  0.63020265 -0.435795  ]
 [-0.08382224  0.2829989   0.40118736  0.41930768]]","[[-0.23030597 -0.32716227 -0.00479923  0.91646093]
 [ 0.349516    0.5337646   0.71647465  0.28213066]
 [ 0.66046894  0.28755477 -0.6408774   0.26527184]
 [ 0.62336063 -0.72482574  0.2755306  -0.10065854]]"
20200228-115509.304927,1,[1.7337351  0.9896421  0.59923625 0.5035288 ],"[[ 0.5075044  -0.36834744 -0.5198539  -0.17169829]
 [-0.29995412 -0.8549582   0.41344357 -0.0214312 ]
 [-0.4929141   0.20514505 -0.03928335 -0.78679836]
 [ 0.63362455  0.09062745  0.6366457  -0.42657524]
 [-0.08956905  0.28821695  0.38981524  0.41114798]]","[[-0.23696466 -0.3250881  -0.01441917  0.9154004 ]
 [ 0.34923777  0.5362349   0.71077454  0.29203552]
 [ 0.66235614  0.2802     -0.6440057   0.26082438]
 [ 0.6190034  -0.7268136   0.28257498 -0.0934258 ]]"
20200228-115509.304927,2,[1.7252218  0.9924397  0.59951776 0.5004279 ],"[[ 0.5017866  -0.37532488 -0.516208   -0.18686189]
 [-0.30898756 -0.8489256   0.41894373 -0.01563084]
 [-0.49162748  0.20833023 -0.03215919 -0.7938905 ]
 [ 0.63407     0.08901474  0.6441165  -0.4150193 ]
 [-0.09484056  0.295181    0.37695563  0.4029087 ]]","[[-0.24437177 -0.32009372 -0.02625971  0.9149497 ]
 [ 0.34973902  0.5399804   0.7032734   0.30250672]
 [ 0.6645624   0.2715476  -0.648195    0.25389326]
 [ 0.6134505  -0.7295361   0.2907925  -0.08303601]]"
20200228-115509.304927,3,[1.7140979  0.9951904  0.60098535 0.49829066],"[[ 0.49435735 -0.38206905 -0.51571643 -0.1952935 ]
 [-0.31840196 -0.8429554   0.42353535 -0.01553075]
 [-0.490749    0.21243995 -0.03422741 -0.7995266 ]
 [ 0.63529354  0.08592175  0.6449284  -0.4126644 ]
 [-0.09898985  0.3015556   0.37087753  0.38998055]]","[[-0.2529377  -0.31473854 -0.02396526  0.91454273]
 [ 0.35084084  0.5425821   0.7008808   0.30212831]
 [ 0.66660804  0.2627186  -0.6481938   0.2577943 ]
 [ 0.60709745 -0.7331598   0.2967098  -0.07663407]]"
20200228-115509.304927,4,[1.7082762  0.99967086 0.60156083 0.49694663],"[[ 0.48998114 -0.38530794 -0.5148193  -0.20725922]
 [-0.32289466 -0.83945346  0.4267735  -0.01494681]
 [-0.4912514   0.21511407 -0.03236447 -0.8040551 ]
 [ 0.6352672   0.08668372  0.6482215  -0.40747333]
 [-0.10375839  0.3050707   0.3627492   0.37984347]]","[[-0.2578886  -0.31511322 -0.02864553  0.9128946 ]
 [ 0.35070103  0.543625    0.6973137   0.3086009 ]
 [ 0.6677362   0.25683382 -0.64974487  0.25689805]
 [ 0.60384667 -0.7343106   0.30127203 -0.07343207]]"
20200228-115509.304927,5,[1.709947   1.0036391  0.6027652  0.49707964],"[[ 0.48503056 -0.38826033 -0.51672    -0.21467847]
 [-0.32610002 -0.83582866  0.43081883 -0.01808862]
 [-0.49225593  0.21798809 -0.03658679 -0.80723464]
 [ 0.6362872   0.08768576  0.64609784 -0.4090259 ]
 [-0.10595631  0.30892885  0.3586288   0.36695576]]","[[-0.25959653 -0.31465405 -0.02330372  0.9127212 ]
 [ 0.35248628  0.5456449   0.69592357  0.30613005]
 [ 0.66821784  0.25146723 -0.6500552   0.26014906]
 [ 0.6015383  -0.73486656  0.30426234 -0.0744818 ]]"
20200228-115509.304927,6,[1.6988643  1.0081506  0.6032762  0.49560913],"[[ 0.4802592  -0.3921591  -0.5149053  -0.2268073 ]
 [-0.33230984 -0.8318091   0.43364635 -0.0171461 ]
 [-0.49241728  0.2211119  -0.03469352 -0.8112939 ]
 [ 0.63561726  0.0875772   0.6503435  -0.40352377]
 [-0.11152199  0.31264174  0.35024762  0.35670033]]","[[-0.26704288 -0.3144623  -0.02887233  0.9104768 ]
 [ 0.3515977   0.5461859   0.6925568   0.31372815]
 [ 0.6698827   0.24458651 -0.6509011   0.26031157]
 [ 0.59692883 -0.73686653  0.30961135 -0.06960297]]"
20200228-115509.304927,7,[1.6945513 1.0120881 0.6043961 0.4933223],"[[ 0.47514626 -0.39613855 -0.51472664 -0.23636016]
 [-0.33755267 -0.8275805   0.4372721  -0.017387  ]
 [-0.49156013  0.22368833 -0.03460165 -0.81555516]
 [ 0.63668287  0.08701098  0.6515117  -0.40011021]
 [-0.11531317  0.31713885  0.3437805   0.344403  ]]","[[-0.27222008 -0.31264672 -0.02886996  0.90956855]
 [ 0.3523839   0.5478129   0.6899878   0.31566373]
 [ 0.6708455   0.23822694 -0.6515996   0.26197785]
 [ 0.5930331  -0.7385129   0.31384942 -0.06640213]]"
20200228-115509.304927,8,[1.6898336  1.0155654  0.60510564 0.49225447],"[[ 0.46966162 -0.40107754 -0.51376194 -0.2463688 ]
 [-0.34428188 -0.8223744   0.44137573 -0.01721934]
 [-0.4910416   0.22706148 -0.03470955 -0.81893057]
 [ 0.63696676  0.08622395  0.65324056 -0.39708018]
 [-0.11848799  0.32225123  0.33661243  0.3326959 ]]","[[-0.27753505 -0.3098187  -0.03022014  0.9088861 ]
 [ 0.35357267  0.5499472   0.68648225  0.31825596]
 [ 0.6722623   0.23078279 -0.6527095   0.26224655]
 [ 0.58823824 -0.74047965  0.3190602  -0.06218119]]"
20200228-115509.304927,9,[1.6779947  1.0183583  0.60599303 0.49003157],"[[ 0.46266112 -0.4082148  -0.5113661  -0.25664094]
 [-0.35482964 -0.815391    0.44561085 -0.01571076]
 [-0.4889219   0.23128319 -0.03410888 -0.823003  ]
 [ 0.6372036   0.08293992  0.6563521  -0.39239687]
 [-0.12234396  0.32882762  0.32859376  0.3202805 ]]","[[-0.28709948 -0.30390358 -0.03267758  0.9078265 ]
 [ 0.3545      0.55220026  0.6826557   0.3215371 ]
 [ 0.67447126  0.22096372 -0.6532196   0.2637578 ]
 [ 0.58051085 -0.74423987  0.32591066 -0.05382397]]"
20200228-115509.304927,10,[1.6725333  1.0220057  0.60662407 0.49015707],"[[ 0.45713112 -0.41260606 -0.5108458  -0.26586244]
 [-0.3615155  -0.81026465  0.44911978 -0.01712076]
 [-0.48906156  0.23523521 -0.03629865 -0.82490706]
 [ 0.6367338   0.08250447  0.6573512  -0.39169866]
 [-0.12540624  0.33329386  0.32233435  0.3084222 ]]","[[-0.2928509  -0.3020965  -0.03241747  0.90660095]
 [ 0.35535672  0.55347335  0.68022907  0.32353848]
 [ 0.6759529   0.2133533  -0.65327555  0.2660808 ]
 [ 0.57536757 -0.7462473   0.33086002 -0.05097743]]"
20200228-115509.304927,11,[1.6657993  1.0242043  0.60733944 0.49011388],"[[ 0.44970292 -0.41987213 -0.50949323 -0.2741122 ]
 [-0.3718875  -0.80248785  0.4540361  -0.01755098]
 [-0.4879333   0.24023545 -0.03916252 -0.82688737]
 [ 0.6365983   0.07978585  0.65810806 -0.39132503]
 [-0.12700625  0.34006193  0.3156391   0.29610306]]","[[-0.3000978  -0.29556662 -0.03100299  0.906433  ]
 [ 0.35766873  0.55645984  0.676822    0.32301348]
 [ 0.67802787  0.20317236 -0.6534312   0.26837876]
 [ 0.5677083  -0.7494759   0.3376073  -0.04488494]]"
20200228-115509.304927,12,[1.6597582 1.0269608 0.6085441 0.4894505],"[[ 0.4426099  -0.4258753  -0.50957996 -0.28117207]
 [-0.38046572 -0.79576075  0.45821697 -0.01925719]
 [-0.48654705  0.24449913 -0.0428079  -0.82882863]
 [ 0.6372394   0.07718534  0.6574598  -0.39195213]
 [-0.12861049  0.34591523  0.31028947  0.2828219 ]]","[[-0.30667186 -0.29018828 -0.02681036  0.9061039 ]
 [ 0.3599324   0.5586123   0.67495036  0.3206912 ]
 [ 0.67946196  0.19428355 -0.65278393  0.27287078]
 [ 0.56101024 -0.7523276   0.34292302 -0.04091879]]"
20200228-115509.304927,13,[1.6540933  1.0299457  0.6083112  0.48922744],"[[ 0.4366477  -0.43250257 -0.5059429  -0.2925999 ]
 [-0.39015087 -0.7882352   0.4626128  -0.01739934]
 [-0.48524538  0.2489605  -0.0413061  -0.83055466]
 [ 0.6360225   0.07578747  0.6615663  -0.38740325]
 [-0.13089572  0.35199752  0.30105674  0.2723618 ]]","[[-0.31347093 -0.2852797  -0.03304562  0.9051298 ]
 [ 0.36140952  0.5611349   0.6692795   0.32645985]
 [ 0.6815538   0.18445858 -0.65452826  0.27028203]
 [ 0.5537182  -0.7547969   0.3500942  -0.03334842]]"
20200228-115509.304927,14,[1.6475085  1.0328366  0.6084898  0.48838058],"[[ 0.43041077  0.43900093 -0.5028797  -0.30291283]
 [-0.39962322  0.7807592   0.46675813 -0.01605195]
 [-0.48338646 -0.2531201  -0.04041674 -0.8323238 ]
 [ 0.63537073 -0.07383472  0.66476446 -0.3834677 ]
 [-0.1330021  -0.3580119   0.29275173  0.2611066 ]]","[[-0.32074857  0.27993938 -0.03718222  0.9040864 ]
 [ 0.36295956 -0.5634177   0.6644964   0.33055362]
 [ 0.6833489  -0.17480648 -0.6555857   0.26960063]
 [ 0.54627407  0.7573886   0.35674828 -0.02603908]]"
20200228-115509.304927,15,[1.6405361  1.0368164  0.609805   0.48816445],"[[ 0.4242175   0.44292507 -0.5042222  -0.30913   ]
 [-0.4063194   0.77559114  0.46918103 -0.01965461]
 [-0.48243275 -0.2570591  -0.0453573  -0.83295316]
 [ 0.63553894 -0.07195432  0.6635226  -0.38576698]
 [-0.13525374 -0.361966    0.28863528  0.24784228]]","[[-0.32769263  0.2776615  -0.03160204  0.9025094 ]
 [ 0.3640963  -0.5633388   0.66481483  0.328793  ]
 [ 0.6843311  -0.16717774 -0.6534517   0.27702618]
 [ 0.54013187  0.7600035   0.36058795 -0.02507585]]"
20200228-115509.304927,16,[1.6361334 1.0406818 0.6107135 0.4881284],"[[ 0.4184231   0.44700098 -0.50478214 -0.31617343]
 [-0.41289178  0.77014935  0.47193378 -0.02232893]
 [-0.48142806 -0.26088217 -0.04887703 -0.8333497 ]
 [ 0.6355164  -0.07053272  0.6630904  -0.386868  ]
 [-0.137072   -0.3660953   0.28354087  0.23536612]]","[[-0.3335866   0.27522776 -0.02839009  0.9012013 ]
 [ 0.3655613  -0.5637468   0.66385955  0.32839733]
 [ 0.6853099  -0.15953603 -0.65227383  0.28184682]
 [ 0.5342618   0.76222545  0.3647233  -0.02353355]]"
20200228-115509.304927,17,[1.6309352  1.0449845  0.61139476 0.48786867],"[[ 0.41316843 -0.4506284  -0.50472456 -0.32423693]
 [-0.4191926  -0.76510215  0.47418904 -0.02439676]
 [-0.48038265  0.26459128 -0.05093297 -0.8335812 ]
 [ 0.6351192   0.06943722  0.66377103 -0.38662806]
 [-0.13937542  0.36976096  0.27787027  0.2234645 ]]","[[-0.33986083 -0.27381477 -0.02761035  0.8993096 ]
 [ 0.36646345  0.563509    0.6625663   0.330406  ]
 [ 0.68627876  0.15208238 -0.65137595  0.28566024]
 [ 0.52841324 -0.7644307   0.36871812 -0.02173338]]"
20200228-115509.304927,18,[1.6281148  1.0482773  0.6129778  0.48693648],"[[ 0.40647122 -0.4553212  -0.5064388  -0.32927576]
 [-0.42616934 -0.75886434  0.47738257 -0.02795998]
 [-0.47815666  0.26839775 -0.05566813 -0.83397144]
 [ 0.636365    0.06663889  0.6615194  -0.38891238]
 [-0.13988142  0.37460575  0.27371365  0.20984411]]","[[-0.34560123 -0.26925033 -0.02031276  0.8986943 ]
 [ 0.36919254  0.56436014  0.66249275  0.32603368]
 [ 0.686872    0.14403921 -0.64948815  0.29261738]
 [ 0.52198035 -0.7669776   0.3726341  -0.02063293]]"
20200228-115509.304927,19,[1.6275493  1.0525043  0.61373454 0.48718438],"[[ 0.40183318 -0.45812538 -0.5073916  -0.3362874 ]
 [-0.43048584 -0.7544016   0.480003   -0.03082555]
 [-0.47755098  0.27147368 -0.05827853 -0.83348197]
 [ 0.6365724   0.06651272  0.66075265 -0.3898974 ]
 [-0.14118613  0.37799105  0.26862767  0.19811288]]","[[-0.34903482 -0.2683854  -0.01764543  0.89768183]
 [ 0.37090325  0.5646584   0.66128296  0.32603174]
 [ 0.68730474  0.1378414  -0.64898324  0.29569077]
 [ 0.51789767 -0.7681991   0.37578535 -0.02091863]]"
20200228-115509.304927,20,[1.6253551  1.0572754  0.6146139  0.48643434],"[[ 0.39727363 -0.4607755  -0.50819135 -0.3435685 ]
 [-0.43501857 -0.750248    0.48195675 -0.0332202 ]
 [-0.47630742  0.27438584 -0.05973946 -0.8332298 ]
 [ 0.6369152   0.06563985  0.66060704 -0.3897372 ]
 [-0.14284049  0.38107502  0.26360807  0.18625532]]","[[-0.35363314 -0.26783827 -0.01581828  0.8960784 ]
 [ 0.37227052  0.5639942   0.6605273   0.3271531 ]
 [ 0.68769336  0.13162597 -0.64820904  0.2992953 ]
 [ 0.5132606  -0.7699661   0.3785221  -0.02090545]]"
20200228-115509.304927,21,[1.6212444  1.061266   0.6155534  0.48527876],"[[ 0.39169386 -0.4648674  -0.5081269  -0.35070148]
 [-0.44173476 -0.7445383   0.4842677  -0.03490821]
 [-0.4740233   0.27789295 -0.06101131 -0.8331132 ]
 [ 0.63719225  0.06337341  0.6610175  -0.38899016]
 [-0.14399548  0.38512424  0.2581191   0.17435345]]","[[-0.3600626  -0.26488099 -0.01442608  0.89441884]
 [ 0.37397256  0.5637137   0.65932137  0.32812604]
 [ 0.6883287   0.12378128 -0.64721006  0.3033166 ]
 [ 0.5066585  -0.7724915   0.38236955 -0.01864167]]"
20200228-115509.304927,22,[1.6222677  1.0624899  0.6161184  0.48580804],"[[ 0.3842577  -0.47174954 -0.5072155  -0.3567304 ]
 [-0.4505664  -0.73517114  0.48959413 -0.03655076]
 [-0.47154683  0.28238943 -0.06430072 -0.83236486]
 [ 0.63775355  0.06106258  0.66005844 -0.39004317]
 [-0.14230233  0.3917942   0.25143215  0.16260988]]","[[-0.36403936 -0.256485   -0.01115045  0.8953025 ]
 [ 0.37841776  0.56748337  0.6552833   0.32460165]
 [ 0.6891433   0.11381281 -0.64749783  0.30475357]
 [ 0.49935645 -0.7740959   0.3888779  -0.0138752 ]]"
20200228-115509.304927,23,[1.6200694  1.0655586  0.61687154 0.48720565],"[[ 0.37727815 -0.47671038 -0.508186   -0.36182165]
 [-0.45854157 -0.7276007   0.4927467  -0.04034199]
 [-0.4699827   0.28731656 -0.06979399 -0.83050907]
 [ 0.63751847  0.05877349  0.6584133  -0.39357072]
 [-0.1417286   0.39666036  0.24610691  0.15104479]]","[[-0.36935976 -0.2515811  -0.00597564  0.8945639 ]
 [ 0.3815527   0.56828815  0.65418214  0.32173216]
 [ 0.6899432   0.10459398 -0.64571965  0.30997515]
 [ 0.49190363 -0.7764118   0.39377177 -0.01261855]]"
20200228-115509.304927,24,[1.6181508  1.0682642  0.61800826 0.48731056],"[[ 0.3703053  -0.48188493 -0.50912106 -0.36650527]
 [-0.4661732  -0.71997786  0.4960541  -0.04358961]
 [-0.46751276  0.291495   -0.07425141 -0.8292243 ]
 [ 0.63808125  0.05589142  0.65664744 -0.39601183]
 [-0.14085686  0.40165308  0.2408874   0.13905367]]","[[-3.7464926e-01 -2.4566001e-01 -3.0236560e-04  8.9402986e-01]
 [ 3.8492045e-01  5.6944329e-01  6.5303093e-01  3.1799513e-01]
 [ 6.9039166e-01  9.5716283e-02 -6.4398980e-01  3.1539622e-01]
 [ 4.8459640e-01 -7.7860361e-01  3.9853162e-01 -1.0735253e-02]]"
20200228-115509.304927,25,[1.6133871  1.0729349  0.61858875 0.48651007],"[[ 0.36548424 -0.48520395 -0.5086107  -0.37380445]
 [-0.4724281  -0.7146884   0.49744383 -0.04511451]
 [-0.46537012  0.29490903 -0.07489018 -0.82809776]
 [ 0.63753897  0.05409602  0.6579713  -0.39498514]
 [-0.1421558   0.4048461   0.23522379  0.12836088]]","[[-0.38150045 -0.2440424  -0.00089423  0.8915719 ]
 [ 0.38582367  0.5680884   0.6520872   0.32124475]
 [ 0.6908766   0.08810779 -0.64273226  0.31909606]
 [ 0.4777944  -0.7809971   0.4020908  -0.00892579]]"
20200228-115509.304927,26,[1.6149119  1.0774384  0.6201896  0.48656538],"[[ 0.36085644 -0.4870261  -0.51208186 -0.37749597]
 [-0.47507626 -0.7108778   0.49952942 -0.05021041]
 [-0.46438718  0.297453   -0.0795077  -0.82612205]
 [ 0.63891983  0.0533782   0.6544095  -0.3986659 ]
 [-0.14216599  0.40759176  0.23166685  0.11646123]]","[[-0.38356608 -0.2432477   0.00743303  0.89087176]
 [ 0.38839462  0.5677491   0.65303195  0.31679615]
 [ 0.6905126   0.08301941 -0.6406797   0.32531482]
 [ 0.4745722  -0.782048    0.40376222 -0.01257505]]"
20200228-115509.304927,27,[1.6172138  1.0805439  0.6211083  0.48626432],"[[ 0.35528818 -0.4911933  -0.5127351  -0.38249186]
 [-0.4802775  -0.7043345   0.50302327 -0.05287625]
 [-0.46216628  0.30048504 -0.0818867  -0.82467335]
 [ 0.6400269   0.05183835  0.65280676 -0.39964575]
 [-0.14096723  0.41190213  0.22629128  0.10536206]]","[[-0.38605267 -0.23871028  0.01165765  0.8909797 ]
 [ 0.39203262  0.5692517   0.6509647   0.3138599 ]
 [ 0.6904947   0.07586797 -0.6402737   0.32788846]
 [ 0.46956435 -0.78308     0.40762597 -0.0116777 ]]"
20200228-115509.304927,28,[1.6182374  1.0853751  0.62157613 0.48620158],"[[ 0.35121927 -0.49358046 -0.51325023 -0.38881817]
 [-0.4842612  -0.6998477   0.5048632  -0.05524124]
 [-0.46069357  0.30336255 -0.08268564 -0.8228394 ]
 [ 0.64027286  0.05118021  0.6526637  -0.3995412 ]
 [-0.14123917  0.4146605   0.22109005  0.09524364]]","[[-0.38917914 -0.23815005  0.01247844  0.8897575 ]
 [ 0.39412242  0.5683989   0.64969605  0.3154132 ]
 [ 0.6905254   0.06979068 -0.6400061   0.32969096]
 [ 0.46516868 -0.7844339   0.4100386  -0.01224562]]"
20200228-115509.304927,29,[1.6177276  1.089782   0.6227557  0.48626122],"[[ 0.34636173 -0.49612293 -0.51523924 -0.39323702]
 [-0.4884146  -0.69506603  0.506712   -0.05903496]
 [-0.45913932  0.30632654 -0.08586453 -0.8205828 ]
 [ 0.6409234   0.04978878  0.6507432  -0.40175098]
 [-0.14104302  0.41764936  0.2166393   0.0843816 ]]","[[-0.39254367 -0.23641014  0.01759226  0.8886566 ]
 [ 0.39655602  0.5677786   0.64975446  0.3133534 ]
 [ 0.6903968   0.06361285 -0.63827777  0.33452561]
 [ 0.4604402  -0.7859336   0.4124457  -0.01385861]]"
20200228-115509.304927,30,[1.6145049  1.094167   0.623771   0.48608732],"[[ 0.3405233  -0.49962676 -0.51634973 -0.3979738 ]
 [-0.49501243 -0.68893343  0.508074   -0.06217677]
 [-0.4566461   0.3103056  -0.08878528 -0.8182655 ]
 [ 0.64086485  0.04682204  0.65000844 -0.4033942 ]
 [-0.14061542  0.4210249   0.21177575  0.07392932]]","[[-0.39877552 -0.2333667   0.0210815   0.88660806]
 [ 0.39883256  0.56616247  0.64996415  0.31295228]
 [ 0.69050384  0.05546477 -0.6358694   0.34029105]
 [ 0.45289615 -0.78862137  0.41565862 -0.01375662]]"
20200228-115509.304927,31,[1.6153414 1.0976067 0.6246635 0.4856813],"[[ 0.33474344 -0.5035233  -0.5169448  -0.40280303]
 [-0.50091815 -0.6822529   0.51056397 -0.06487178]
 [-0.4539093   0.3138859  -0.09071825 -0.8161919 ]
 [ 0.64155966  0.04433463  0.6490092  -0.40413535]
 [-0.13926834  0.42485967  0.20651886  0.06361775]]","[[-0.402876   -0.22921352  0.02430936  0.8857547 ]
 [ 0.40219823  0.566021    0.64865893  0.3116068 ]
 [ 0.6903608   0.04766981 -0.63479     0.34376076]
 [ 0.44646373 -0.7904487   0.41915703 -0.01298498]]"
