Timestamp,Epoch,s,u,v
20200227-233051.683459,0,[0.16152674 0.13252006 0.04889372 0.02574794],"[[ 0.23519903  0.24757375 -0.73403794 -0.58349186]
 [ 0.73166823  0.43053177  0.3448027   0.08681715]
 [-0.4260842   0.32082218  0.509097   -0.6604899 ]
 [-0.43515104  0.19049186 -0.27031684  0.33008605]
 [-0.19605923  0.78366864 -0.10024177  0.32679752]]","[[ 0.8730318  -0.03293103  0.36585942 -0.3207462 ]
 [-0.23892346  0.77787614  0.57670426 -0.07236665]
 [-0.27343032 -0.610158    0.7284561   0.14931536]
 [ 0.32552597  0.1467379   0.05395339  0.93251806]]"
20200227-233051.683459,1,[0.16173774 0.13856874 0.05239627 0.02442897],"[[ 0.2841959   0.155197   -0.62183416 -0.5602119 ]
 [ 0.8121656   0.33418542  0.39764914  0.20048362]
 [-0.34307602  0.4317215   0.57596636 -0.588475  ]
 [-0.36710152  0.27741072 -0.06015763  0.5213563 ]
 [-0.08458613  0.7751734  -0.34618092  0.16689424]]","[[ 0.8619604  -0.10852762  0.38837934 -0.30725783]
 [-0.12070625  0.89120203  0.41958046 -0.12304872]
 [-0.3536226  -0.40799186  0.82025194  0.18889232]
 [ 0.34264448  0.16590098  0.01732987  0.9245383 ]]"
20200227-233051.683459,2,[0.16500036 0.14758769 0.05823598 0.02452042],"[[ 0.31923923 -0.01455888 -0.5173548  -0.43219408]
 [ 0.9004341  -0.07553879  0.37520236  0.20658058]
 [-0.14485413 -0.5649128   0.55626726 -0.5813071 ]
 [-0.21686526 -0.41270843  0.08938338  0.6540891 ]
 [ 0.13889414 -0.7103714  -0.5235879   0.06915715]]","[[ 0.8065855   0.32049504  0.37760004 -0.32267803]
 [ 0.18049748 -0.93364334  0.23959257 -0.19577108]
 [-0.39824897  0.11736084  0.8941915   0.16746874]
 [ 0.3977918  -0.10871865  0.02086078  0.9107726 ]]"
20200227-233051.683459,3,[0.175531   0.15312608 0.06341695 0.02504171],"[[ 0.29761085 -0.12847765 -0.4374135  -0.3242266 ]
 [ 0.8801513  -0.26767713  0.32691312  0.17739502]
 [ 0.12398504  0.5978945   0.5139207  -0.5953572 ]
 [ 0.00531308  0.48389748  0.17560686  0.71278983]
 [ 0.34836945  0.5658698  -0.6378442   0.02981641]]","[[ 0.6584368  -0.5727787   0.34852284 -0.34193173]
 [ 0.5280549   0.80857146  0.09378671 -0.24202189]
 [-0.3068334   0.13311425  0.93245655  0.13659734]
 [ 0.4398549  -0.02043283  0.01615074  0.89769113]]"
20200227-233051.683459,4,[0.19113648 0.1557276  0.06705234 0.02560312],"[[ 0.26300877  0.20465164 -0.3812763  -0.25194627]
 [ 0.8084645   0.45410097  0.2845151   0.14673747]
 [ 0.28277877 -0.5647482   0.46795    -0.61308736]
 [ 0.15498747 -0.4816098   0.21994804  0.734039  ]
 [ 0.41620475 -0.44835436 -0.7115651   0.01737927]]","[[ 0.548164    0.68248767  0.32913664 -0.35411263]
 [ 0.6828831  -0.67725873 -0.02624119 -0.2725854 ]
 [-0.17462738 -0.257339    0.94390345  0.1110327 ]
 [ 0.4502137   0.0964761   0.00517569  0.8876786 ]]"
20200227-233051.683459,5,[0.20814691 0.15712117 0.0696848  0.02602367],"[[ 0.24798703  0.23857246 -0.33647412 -0.20163374]
 [ 0.76138586  0.5328032   0.24962462  0.12310606]
 [ 0.35753506 -0.5373681   0.43211544 -0.62605584]
 [ 0.23570879 -0.47013092  0.24356212  0.743036  ]
 [ 0.418813   -0.38654432 -0.76054376  0.01186248]]","[[ 0.5020688   0.7198727   0.31392518 -0.36216214]
 [ 0.7306531  -0.60680926 -0.11349702 -0.2916285 ]
 [-0.07559986 -0.31179172  0.9426098   0.09250614]
 [ 0.45646212  0.1278748  -0.00750093  0.8804739 ]]"
20200227-233051.683459,6,[0.22549458 0.15818301 0.07176948 0.02638892],"[[ 0.23867434  0.26047674 -0.3055791  -0.16781916]
 [ 0.7266783   0.57923764  0.22368866  0.10485606]
 [ 0.40324083 -0.5160243   0.40109566 -0.63749903]
 [ 0.29031864 -0.45930982  0.2554843   0.7445143 ]
 [ 0.40998256 -0.3455277  -0.7939994   0.011651  ]]","[[ 4.7734174e-01  7.3792392e-01  3.0416808e-01 -3.6755291e-01]
 [ 7.4793458e-01 -5.6077158e-01 -1.8189837e-01 -3.0502862e-01]
 [-7.9868827e-04 -3.4635881e-01  9.3491352e-01  7.7276446e-02]
 [ 4.6123588e-01  1.4504920e-01 -1.8206151e-02  8.7515187e-01]]"
20200227-233051.683459,7,[0.23921658 0.15911964 0.07345378 0.0266141 ],"[[ 0.23460516  0.27578312 -0.2805845  -0.14389567]
 [ 0.69965404  0.6091465   0.20501733  0.09366935]
 [ 0.43406487 -0.49961913  0.37988836 -0.6437513 ]
 [ 0.3268498  -0.45046228  0.25884145  0.7456594 ]
 [ 0.40025207 -0.31677848 -0.81726736  0.00982857]]","[[ 0.46200624  0.7475048   0.30177498 -0.36975503]
 [ 0.7546532  -0.5291508  -0.22863382 -0.3134082 ]
 [ 0.04840815 -0.3703479   0.9252158   0.06689562]
 [ 0.46336338  0.15517266 -0.02518685  0.87211335]]"
20200227-233051.683459,8,[0.25773656 0.15997465 0.07510684 0.02680484],"[[ 0.23029387  0.28800386 -0.26214465 -0.12548818]
 [ 0.6779308   0.63160616  0.18655793  0.08487043]
 [ 0.45929474 -0.48548287  0.35963017 -0.64900017]
 [ 0.35695028 -0.44265324  0.25742388  0.74550223]
 [ 0.38601714 -0.29409516 -0.8371827   0.00864728]]","[[ 0.45405537  0.7535777   0.2951782  -0.37259096]
 [ 0.7523594  -0.50437754 -0.27576512 -0.32173297]
 [ 0.09875223 -0.38912436  0.91407096  0.05748212]
 [ 0.4669444   0.16219088 -0.03601997  0.86853874]]"
20200227-233051.683459,9,[0.27344137 0.16084056 0.07590131 0.02703834],"[[ 0.23607339  0.29083395 -0.24722558 -0.11017091]
 [ 0.6732038   0.6345298   0.17194004  0.0756133 ]
 [ 0.46401358 -0.48229873  0.347285   -0.6549522 ]
 [ 0.3704017  -0.44245473  0.2625967   0.74370146]
 [ 0.37223634 -0.29053286 -0.84838206  0.00951995]]","[[ 0.4580149   0.75421876  0.28263843 -0.37615407]
 [ 0.7426602  -0.50066966 -0.3019694  -0.3264966 ]
 [ 0.12790433 -0.39255098  0.90931356  0.05189314]
 [ 0.47150654  0.16244309 -0.04559242  0.86557215]]"
20200227-233051.683459,10,[0.28504038 0.16168755 0.07723151 0.02718304],"[[ 0.23504671  0.2976733  -0.23638952 -0.09920984]
 [ 0.66093785  0.64547163  0.16022712  0.07085732]
 [ 0.4771251  -0.4740272   0.3348077  -0.65820664]
 [ 0.3867821  -0.43849218  0.26009136  0.74284714]
 [ 0.36147654 -0.27889085 -0.85947883  0.00889022]]","[[ 0.45450667  0.7566601   0.28039387 -0.3771852 ]
 [ 0.7395677  -0.4880052  -0.32566938 -0.32989427]
 [ 0.15185767 -0.40248606  0.9015805   0.04579404]
 [ 0.47265494  0.1652927  -0.04971547  0.8641783 ]]"
20200227-233051.683459,11,[0.2959694  0.16253886 0.07821599 0.02731194],"[[ 0.2348847   0.3032375  -0.22722377 -0.0902368 ]
 [ 0.6507733   0.65375924  0.15124877  0.067311  ]
 [ 0.48700902 -0.4671297   0.3254154  -0.6607091 ]
 [ 0.39940214 -0.43547145  0.25752214  0.742111  ]
 [ 0.35302034 -0.2698151  -0.86791724  0.00782298]]","[[ 0.45225316  0.7583462   0.2786934  -0.3777674 ]
 [ 0.7360345  -0.4781238  -0.34468442 -0.33293146]
 [ 0.17126228 -0.41029385  0.8947662   0.04149282]
 [ 0.47369757  0.1672356  -0.05400079  0.8629755 ]]"
20200227-233051.683459,12,[0.3092974  0.16341308 0.07895276 0.02755008],"[[ 0.23875624  0.3042391  -0.22071429 -0.08184715]
 [ 0.6501957   0.65313596  0.14124584  0.06041553]
 [ 0.48665652 -0.4660864   0.31504574 -0.6667872 ]
 [ 0.407697   -0.4366662   0.2616762   0.7381889 ]
 [ 0.34233046 -0.27007136 -0.8738461   0.01109605]]","[[ 0.45636842  0.75813836  0.26868483 -0.3804773 ]
 [ 0.7274637  -0.47844025 -0.36005712 -0.3350384 ]
 [ 0.18800269 -0.41068637  0.89142966  0.03667766]
 [ 0.476634    0.16630737 -0.05933679  0.86118597]]"
