Timestamp,Epoch,s,u,v
20200228-010803.515706,0,[1.0469217  0.8121056  0.7380004  0.49505657],"[[ 0.02679411  0.6321665   0.15729627 -0.42773792]
 [ 0.48879066 -0.36924884  0.7571786  -0.22665602]
 [ 0.2469942   0.6322304   0.32073146  0.5637399 ]
 [-0.815016    0.04817116  0.51277125 -0.13007382]
 [-0.18737395 -0.24896783  0.19009352  0.6564647 ]]","[[ 0.76552486 -0.04967332  0.2835601   0.57541126]
 [-0.52033967 -0.24200274  0.7640299   0.29485583]
 [-0.3380965   0.6301649  -0.2781366   0.64126694]
 [ 0.17002754  0.73611116  0.50842136 -0.41320574]]"
20200228-010803.515706,1,[1.0520535  0.80928147 0.7295784  0.4926324 ],"[[ 0.03223245  0.6177425   0.20092708 -0.42728928]
 [ 0.49228242 -0.42157245  0.7309511  -0.21339716]
 [ 0.25164092  0.6043302   0.35427535  0.5844546 ]
 [-0.8109354   0.01998039  0.52712643 -0.11557191]
 [-0.18889223 -0.27396488  0.14820856  0.64571047]]","[[ 0.7672487  -0.07977363  0.25948152  0.5810637 ]
 [-0.5159665  -0.29441124  0.7426056   0.30925325]
 [-0.33630967  0.6432567  -0.2461245   0.6422923 ]
 [ 0.1788967   0.7022671   0.566241   -0.39266777]]"
20200228-010803.515706,2,[1.057325  0.8061891 0.7217936 0.4910728],"[[ 0.03707147  0.6013339   0.23932262 -0.42794997]
 [ 0.4957439  -0.46908242  0.7019152  -0.20328116]
 [ 0.25572002  0.575896    0.38493595  0.60335505]
 [-0.8069622  -0.00857591  0.5387491  -0.10280623]
 [-0.19048104 -0.294329    0.10776859  0.63318986]]","[[ 0.76879025 -0.10679202  0.23514146  0.58503467]
 [-0.5116874  -0.34406307  0.71903604  0.32059932]
 [-0.33483407  0.6529623  -0.21340586  0.64496845]
 [ 0.18714693  0.6662252   0.6181859  -0.37278172]]"
20200228-010803.515706,3,[1.0626774 0.8033763 0.714104  0.4910171],"[[ 0.04067601  0.58370614  0.27082804 -0.43096152]
 [ 0.49864522 -0.51050115  0.6722022  -0.19642332]
 [ 0.2581834   0.5489961   0.41349658  0.618917  ]
 [-0.8037778  -0.03671717  0.5466586  -0.09311281]
 [-0.19230431 -0.30972707  0.07057812  0.61964685]]","[[ 0.76949453 -0.12895778  0.21318239  0.5880488 ]
 [-0.50858736 -0.38919312  0.69423616  0.32848725]
 [-0.3343734   0.65959585 -0.18184988  0.64811933]
 [ 0.19342138  0.629946    0.6629632  -0.35529748]]"
20200228-010803.515706,4,[1.0680797  0.802727   0.70458734 0.48928294],"[[ 0.0434926   0.5716219   0.29054856 -0.43265867]
 [ 0.5008274  -0.5336797   0.65611106 -0.18280028]
 [ 0.25923747  0.5322453   0.42107013  0.6376303 ]
 [-0.80139846 -0.05266397  0.5537542  -0.07843311]
 [-0.19451587 -0.31996134  0.03400505  0.60552955]]","[[ 0.76941574 -0.14091587  0.18987468  0.5933717 ]
 [-0.50670284 -0.41366443  0.6741124   0.3430842 ]
 [-0.33469993  0.6623869  -0.17446457  0.64713347]
 [ 0.19805998  0.60849667  0.6921579  -0.33379912]]"
20200228-010803.515706,5,[1.0734015  0.80040485 0.6973174  0.48735482],"[[ 0.04507957  0.55602306  0.318012   -0.43233427]
 [ 0.5026037  -0.56474036  0.6307881  -0.1729987 ]
 [ 0.2582336   0.505611    0.43666485  0.65799487]
 [-0.7999425  -0.07861073  0.5569974  -0.06540885]
 [-0.19688855 -0.33178976 -0.00727322  0.58815235]]","[[ 0.76829064 -0.15813749  0.16661951  0.5974614 ]
 [-0.5063438  -0.452763    0.6441874   0.3516312 ]
 [-0.33645445  0.66275644 -0.15400903  0.65102506]
 [ 0.20036018  0.5751106   0.73043954 -0.30913088]]"
20200228-010803.515706,6,[1.0789007  0.7993389  0.6898876  0.48695773],"[[ 0.04696074  0.5439774   0.333079   -0.43554163]
 [ 0.5041431  -0.58470035  0.6132138  -0.1645751 ]
 [ 0.2578053   0.48833886  0.44442463  0.67371666]
 [-0.7984275  -0.0950112   0.56027746 -0.05453036]
 [-0.19921085 -0.3386922  -0.04004155  0.57127154]]","[[ 0.76736546 -0.1688307   0.14704381  0.6008534 ]
 [-0.50584656 -0.4767387   0.62243086  0.35974914]
 [-0.33765003  0.662755   -0.14402121  0.6526914 ]
 [ 0.20313066  0.5522427   0.7551264  -0.2890499 ]]"
20200228-010803.515706,7,[1.084434   0.7991196  0.6806047  0.48542196],"[[ 0.04928016  0.5354807   0.34439388 -0.43724453]
 [ 0.5057614  -0.5970607   0.603243   -0.15068798]
 [ 0.2580412   0.47734386  0.43914336  0.69175124]
 [-0.7965938  -0.10439317  0.5650635  -0.03863921]
 [-0.20156935 -0.3435464  -0.07312746  0.553261  ]]","[[ 0.76677704 -0.175297    0.12362131  0.6050138 ]
 [-0.5048323  -0.4900564   0.6039935   0.37440765]
 [-0.3383121   0.66287977 -0.14860128  0.6511933 ]
 [ 0.20674238  0.5382435   0.77319294 -0.2640534 ]]"
20200228-010803.515706,8,[1.0899379  0.7983633  0.67336506 0.4826727 ],"[[ 0.05075989  0.52615947  0.35983208 -0.4367606 ]
 [ 0.50693655 -0.6118595   0.590176   -0.13757288]
 [ 0.2565844   0.46161407  0.43431163  0.711932  ]
 [-0.795587   -0.11790614  0.567125   -0.02236592]
 [-0.20406976 -0.34899148 -0.10934089  0.5319458 ]]","[[ 0.7652442  -0.18403117  0.10002745  0.6087105 ]
 [-0.50523674 -0.509579    0.57983553  0.38581818]
 [-0.34015796  0.6609664  -0.14935425  0.6520043 ]
 [ 0.20839812  0.51921606  0.79465604 -0.23559797]]"
20200228-010803.515706,9,[1.095566   0.7980771  0.6664864  0.48100877],"[[ 0.05255055  0.5186804   0.36972818 -0.43859884]
 [ 0.50859565 -0.6224571   0.5798162  -0.12629345]
 [ 0.25601992  0.4502986   0.4272718   0.7285864 ]
 [-0.7940066  -0.12749416  0.57003343 -0.00770878]
 [-0.20634174 -0.35283852 -0.14005327  0.51066977]]","[[ 0.76435286 -0.1903193   0.07821682  0.61108565]
 [-0.5045928  -0.523224    0.5607823   0.3964168 ]
 [-0.34145516  0.6594447  -0.15289515  0.65204644]
 [ 0.21109131  0.50512236  0.8099559  -0.21038933]]"
